Uniprot ID	Number of domains	Pfam domains
A0A075B706	0	
A0A075B734	0	
A0A075B759	1	{'PF00160': 1}
A0A075B767	1	{'PF00160': 1}
A0A087WSX0	1	{'PF07686': 1}
A0A087WSY4	1	{'PF07686': 1}
A0A087WSY6	1	{'PF07686': 1}
A0A087WSZ0	1	{'PF07686': 1}
A0A087WSZ9	1	{'PF07686': 1}
A0A087WT01	1	{'PF07686': 1}
A0A087WT02	1	{'PF07686': 1}
A0A087WT03	1	{'PF07686': 1}
A0A087WTH1	0	
A0A087WTH5	0	
A0A087WUL8	45	{'PF06758': 45}
A0A087WV53	2	{'PF07679': 2}
A0A087WV62	1	{'PF07686': 1}
A0A087WVF3	0	
A0A087WW87	1	{'PF07686': 1}
A0A087WWA1	0	
A0A087WXM9	0	
A0A087WXS9	0	
A0A087X0K7	1	{'PF07686': 1}
A0A087X0M5	1	{'PF07686': 1}
A0A087X179	0	
A0A087X1C5	2	{'PF00067': 2}
A0A087X1G2	0	
A0A096LNP1	1	{'PF13841': 1}
A0A096LP01	0	
A0A096LP49	0	
A0A096LP55	0	
A0A096LPI5	0	
A0A096LPK9	0	
A0A0A0MRZ7	1	{'PF07686': 1}
A0A0A0MRZ8	1	{'PF07686': 1}
A0A0A0MRZ9	1	{'PF07686': 1}
A0A0A0MS00	1	{'PF07686': 1}
A0A0A0MS01	1	{'PF07686': 1}
A0A0A0MS02	1	{'PF07686': 1}
A0A0A0MS03	1	{'PF07686': 1}
A0A0A0MS04	1	{'PF07686': 1}
A0A0A0MS05	1	{'PF07686': 1}
A0A0A0MS06	1	{'PF07686': 1}
A0A0A0MS14	1	{'PF07686': 1}
A0A0A0MS15	1	{'PF07686': 1}
A0A0A0MT36	1	{'PF07686': 1}
A0A0A0MT70	0	
A0A0A0MT76	0	
A0A0A0MT78	0	
A0A0A0MT87	0	
A0A0A0MT89	0	
A0A0A0MT94	0	
A0A0A0MTA4	0	
A0A0A0MTA7	0	
A0A0A6YYC5	1	{'PF07686': 1}
A0A0A6YYD4	1	{'PF07686': 1}
A0A0A6YYG2	1	{'PF07686': 1}
A0A0A6YYG3	1	{'PF07686': 1}
A0A0A6YYJ7	1	{'PF07686': 1}
A0A0A6YYK1	1	{'PF07686': 1}
A0A0A6YYK4	1	{'PF07686': 1}
A0A0A6YYK6	1	{'PF07686': 1}
A0A0A6YYK7	1	{'PF07686': 1}
A0A0A6YYL3	0	
A0A0B4J1U3	1	{'PF07686': 1}
A0A0B4J1U4	1	{'PF07686': 1}
A0A0B4J1U6	1	{'PF07686': 1}
A0A0B4J1U7	1	{'PF07686': 1}
A0A0B4J1V0	1	{'PF07686': 1}
A0A0B4J1V1	1	{'PF07686': 1}
A0A0B4J1V2	1	{'PF07686': 1}
A0A0B4J1V6	1	{'PF07686': 1}
A0A0B4J1V7	1	{'PF07686': 1}
A0A0B4J1X5	1	{'PF07686': 1}
A0A0B4J1X8	1	{'PF07686': 1}
A0A0B4J1Y8	1	{'PF07686': 1}
A0A0B4J1Y9	1	{'PF07686': 1}
A0A0B4J1Z2	1	{'PF07686': 1}
A0A0B4J200	0	
A0A0B4J234	1	{'PF07686': 1}
A0A0B4J235	1	{'PF07686': 1}
A0A0B4J237	1	{'PF07686': 1}
A0A0B4J238	1	{'PF07686': 1}
A0A0B4J240	1	{'PF07686': 1}
A0A0B4J241	1	{'PF07686': 1}
A0A0B4J244	1	{'PF07686': 1}
A0A0B4J245	1	{'PF07686': 1}
A0A0B4J248	1	{'PF07686': 1}
A0A0B4J249	1	{'PF07686': 1}
A0A0B4J262	1	{'PF07686': 1}
A0A0B4J263	1	{'PF07686': 1}
A0A0B4J264	1	{'PF07686': 1}
A0A0B4J265	1	{'PF07686': 1}
A0A0B4J266	1	{'PF07686': 1}
A0A0B4J268	1	{'PF07686': 1}
A0A0B4J271	1	{'PF07686': 1}
A0A0B4J272	1	{'PF07686': 1}
A0A0B4J273	1	{'PF07686': 1}
A0A0B4J274	1	{'PF07686': 1}
A0A0B4J275	1	{'PF07686': 1}
A0A0B4J276	1	{'PF07686': 1}
A0A0B4J277	1	{'PF07686': 1}
A0A0B4J279	1	{'PF07686': 1}
A0A0B4J280	1	{'PF07686': 1}
A0A0B4J2A2	1	{'PF00160': 1}
A0A0B4J2D5	0	
A0A0B4J2D9	1	{'PF07686': 1}
A0A0B4J2E0	1	{'PF07686': 1}
A0A0B4J2F0	0	
A0A0B4J2F2	1	{'PF00069': 1}
A0A0B4J2H0	1	{'PF07686': 1}
A0A0C4DH24	1	{'PF07686': 1}
A0A0C4DH25	1	{'PF07686': 1}
A0A0C4DH26	1	{'PF07686': 1}
A0A0C4DH27	1	{'PF07686': 1}
A0A0C4DH28	1	{'PF07686': 1}
A0A0C4DH29	1	{'PF07686': 1}
A0A0C4DH30	1	{'PF07686': 1}
A0A0C4DH31	1	{'PF07686': 1}
A0A0C4DH32	1	{'PF07686': 1}
A0A0C4DH33	1	{'PF07686': 1}
A0A0C4DH34	1	{'PF07686': 1}
A0A0C4DH35	1	{'PF07686': 1}
A0A0C4DH36	1	{'PF07686': 1}
A0A0C4DH38	1	{'PF07686': 1}
A0A0C4DH39	1	{'PF07686': 1}
A0A0C4DH41	1	{'PF07686': 1}
A0A0C4DH42	1	{'PF07686': 1}
A0A0C4DH43	1	{'PF07686': 1}
A0A0C4DH55	1	{'PF07686': 1}
A0A0C4DH59	1	{'PF07686': 1}
A0A0C4DH62	0	
A0A0C4DH67	1	{'PF07686': 1}
A0A0C4DH68	1	{'PF07686': 1}
A0A0C4DH69	1	{'PF07686': 1}
A0A0C4DH72	1	{'PF07686': 1}
A0A0C4DH73	1	{'PF07686': 1}
A0A0C5B5G6	0	
A0A0D9SF12	0	
A0A0G2JMD5	0	
A0A0G2JMI3	1	{'PF07686': 1}
A0A0G2JS06	1	{'PF07686': 1}
A0A0J9YVY3	1	{'PF07686': 1}
A0A0J9YWL9	0	
A0A0J9YWP8	0	
A0A0J9YWX3	0	
A0A0J9YX06	0	
A0A0J9YX35	1	{'PF07686': 1}
A0A0J9YX75	1	{'PF07686': 1}
A0A0J9YX94	0	
A0A0J9YXA8	0	
A0A0J9YXG5	0	
A0A0J9YXM7	0	
A0A0J9YXQ4	0	
A0A0J9YXX1	1	{'PF07686': 1}
A0A0J9YXY3	1	{'PF07686': 1}
A0A0J9YY54	0	
A0A0K0K1A3	1	{'PF07686': 1}
A0A0K0K1A5	1	{'PF07686': 1}
A0A0K0K1B3	1	{'PF07686': 1}
A0A0K0K1C0	1	{'PF07686': 1}
A0A0K0K1C4	1	{'PF07686': 1}
A0A0K0K1D8	1	{'PF07686': 1}
A0A0K0K1E9	1	{'PF07686': 1}
A0A0K0K1G6	1	{'PF07686': 1}
A0A0K0K1G8	1	{'PF07686': 1}
A0A0K2S4Q6	1	{'PF07686': 1}
A0A0U1RQE8	0	
A0A0U1RQF7	0	
A0A0U1RQI7	2	{'PF00096': 2}
A0A0U1RQS6	0	
A0A0U1RR11	1	{'PF04828': 1}
A0A0U1RR37	0	
A0A0U1RRA0	0	
A0A0U1RRE5	0	
A0A0U1RRI6	1	{'PF04828': 1}
A0A0U1RRK4	0	
A0A0U1RRL7	0	
A0A0U1RRN3	0	
A0A0X1KG70	0	
A0A183	0	
A0A1B0GTB2	0	
A0A1B0GTC6	0	
A0A1B0GTD5	0	
A0A1B0GTH6	0	
A0A1B0GTI1	0	
A0A1B0GTI8	0	
A0A1B0GTK4	0	
A0A1B0GTK5	0	
A0A1B0GTL2	0	
A0A1B0GTQ4	0	
A0A1B0GTR0	0	
A0A1B0GTR3	0	
A0A1B0GTR4	0	
A0A1B0GTS1	1	{'PF00447': 1}
A0A1B0GTU1	0	
A0A1B0GTU2	0	
A0A1B0GTW7	0	
A0A1B0GTY4	0	
A0A1B0GTZ2	0	
A0A1B0GU29	0	
A0A1B0GU33	0	
A0A1B0GU71	0	
A0A1B0GUA5	0	
A0A1B0GUA6	0	
A0A1B0GUA7	0	
A0A1B0GUA9	0	
A0A1B0GUC4	0	
A0A1B0GUI7	0	
A0A1B0GUJ8	0	
A0A1B0GUQ0	0	
A0A1B0GUS0	0	
A0A1B0GUS4	1	{'PF00179': 1}
A0A1B0GUT2	0	
A0A1B0GUU1	0	
A0A1B0GUV1	0	
A0A1B0GUV7	0	
A0A1B0GUW6	0	
A0A1B0GUW7	0	
A0A1B0GUX0	0	
A0A1B0GUY1	0	
A0A1B0GV03	0	
A0A1B0GV22	0	
A0A1B0GV85	0	
A0A1B0GV90	0	
A0A1B0GVD1	0	
A0A1B0GVG4	0	
A0A1B0GVG6	0	
A0A1B0GVH4	1	{'PF00089': 1}
A0A1B0GVH6	0	
A0A1B0GVH7	0	
A0A1B0GVK7	0	
A0A1B0GVM5	0	
A0A1B0GVM6	0	
A0A1B0GVN3	0	
A0A1B0GVQ0	0	
A0A1B0GVQ3	0	
A0A1B0GVR7	0	
A0A1B0GVS7	0	
A0A1B0GVT2	0	
A0A1B0GVV1	0	
A0A1B0GVX0	0	
A0A1B0GVY4	0	
A0A1B0GVZ2	0	
A0A1B0GVZ6	1	{'PF16564': 1}
A0A1B0GVZ9	0	
A0A1B0GW35	1	{'PF15277': 1}
A0A1B0GW54	0	
A0A1B0GW64	0	
A0A1B0GWB2	0	
A0A1B0GWG4	0	
A0A1B0GWH4	1	{'PF00447': 1}
A0A1B0GWK0	1	{'PF13499': 1}
A0A1B0GX31	1	{'PF07686': 1}
A0A1B0GX49	1	{'PF07686': 1}
A0A1B0GX51	1	{'PF07686': 1}
A0A1B0GX56	1	{'PF07686': 1}
A0A1B0GX68	1	{'PF07686': 1}
A0A1B0GX78	1	{'PF07686': 1}
A0A1B0GX95	1	{'PF07686': 1}
A0A1B0GXF2	1	{'PF07686': 1}
A0A1W2PP97	0	
A0A1W2PPF3	2	{'PF00046': 2}
A0A1W2PPG7	0	
A0A1W2PPK0	1	{'PF00046': 1}
A0A1W2PPM1	1	{'PF00046': 1}
A0A1W2PQ73	1	{'PF00178': 1}
A0A1W2PQL4	6	{'PF00096': 6}
A0A1W2PR19	2	{'PF00043': 1, 'PF13417': 1}
A0A1W2PR48	0	
A0A1W2PR82	0	
A0A1W2PRP0	1	{'PF00250': 1}
A0A1W2PS18	0	
A0A286YEV6	0	
A0A286YEX9	0	
A0A286YEY9	0	
A0A286YF01	0	
A0A286YF18	0	
A0A286YF46	0	
A0A286YF58	0	
A0A286YF60	0	
A0A286YF77	0	
A0A286YFB4	0	
A0A286YFG1	0	
A0A286YFK9	0	
A0A2R8Y4L2	2	{'PF00076': 2}
A0A2R8Y4Y8	0	
A0A2R8Y619	1	{'PF00125': 1}
A0A2R8Y7D0	0	
A0A2R8YCJ5	0	
A0A2R8YFL7	0	
A0A2R8YFM6	0	
A0A2Z4LIS9	1	{'PF00250': 1}
A0A3B3IRV3	1	{'PF17832': 1}
A0A3B3IS91	0	
A0A3B3IT33	1	{'PF15227': 1}
A0A3B3IT52	0	
A0A3B3IU63	0	
A0A455ZAR2	0	
A0A494BZU4	0	
A0A494C086	0	
A0A494C0N9	0	
A0A494C0Y3	0	
A0A494C0Z2	0	
A0A494C191	0	
A0A494C1R9	0	
A0A539	1	{'PF07686': 1}
A0A576	1	{'PF07686': 1}
A0A577	1	{'PF07686': 1}
A0A578	1	{'PF07686': 1}
A0A584	1	{'PF07686': 1}
A0A589	1	{'PF07686': 1}
A0A590UK83	0	
A0A597	1	{'PF07686': 1}
A0A599	1	{'PF07686': 1}
A0A5A2	1	{'PF07686': 1}
A0A5A6	1	{'PF07686': 1}
A0A5B0	1	{'PF07686': 1}
A0A5B6	1	{'PF07686': 1}
A0A5B7	1	{'PF07686': 1}
A0A5B9	1	{'PF07654': 1}
A0A5F9ZH02	0	
A0A5F9ZHS7	0	
A0A6I8PU40	0	
A0AUZ9	0	
A0AV02	1	{'PF00324': 1}
A0AV96	3	{'PF00076': 3}
A0AVF1	0	
A0AVI2	9	{'PF00168': 7, 'PF08150': 1, 'PF08165': 1}
A0AVI4	0	
A0AVK6	2	{'PF02319': 2}
A0AVT1	6	{'PF00899': 2, 'PF09358': 1, 'PF10585': 1, 'PF16190': 1, 'PF16191': 1}
A0FGR8	4	{'PF00168': 3, 'PF17047': 1}
A0FGR9	4	{'PF00168': 3, 'PF17047': 1}
A0JD32	1	{'PF07686': 1}
A0JD36	1	{'PF07686': 1}
A0JD37	1	{'PF07686': 1}
A0JLT2	0	
A0JNW5	0	
A0JP26	0	
A0M8Q6	1	{'PF07654': 1}
A0MZ66	0	
A0PG75	1	{'PF03803': 1}
A0PJE2	1	{'PF00106': 1}
A0PJK1	0	
A0PJW6	0	
A0PJW8	0	
A0PJX0	1	{'PF13499': 1}
A0PJX2	1	{'PF07534': 1}
A0PJX4	0	
A0PJX8	0	
A0PJY2	6	{'PF00096': 5, 'PF13912': 1}
A0PJZ0	0	
A0PJZ3	0	
A0PK00	0	
A0PK05	0	
A0PK11	0	
A0ZSE6	0	
A1A4F0	0	
A1A4G5	0	
A1A4S6	4	{'PF00620': 1, 'PF14604': 1, 'PF16746': 1, 'PF00169': 1}
A1A4V9	0	
A1A4Y4	0	
A1A519	0	
A1A580	0	
A1A5B4	0	
A1A5C7	0	
A1A5D9	0	
A1E959	0	
A1IGU5	3	{'PF00621': 1, 'PF07653': 1, 'PF00018': 1}
A1KXE4	0	
A1KZ92	6	{'PF00093': 1, 'PF03098': 1, 'PF07679': 3, 'PF13927': 1}
A1L020	3	{'PF00013': 2, 'PF13920': 1}
A1L0T0	3	{'PF00205': 1, 'PF02775': 1, 'PF02776': 1}
A1L157	0	
A1L162	0	
A1L167	1	{'PF00179': 1}
A1L168	0	
A1L170	0	
A1L188	0	
A1L190	0	
A1L1A6	0	
A1L390	2	{'PF00621': 1, 'PF00169': 1}
A1L3X0	0	
A1L3X4	1	{'PF00131': 1}
A1L429	0	
A1L443	0	
A1L453	1	{'PF00089': 1}
A1L4H1	5	{'PF00530': 5}
A1L4K1	1	{'PF00041': 1}
A1L4L8	0	
A1L4Q6	0	
A1X283	5	{'PF00787': 1, 'PF07653': 1, 'PF00018': 3}
A1XBS5	0	
A1YPR0	3	{'PF00096': 2, 'PF00651': 1}
A1Z1Q3	1	{'PF01661': 1}
A2A288	2	{'PF11977': 1, 'PF18039': 1}
A2A2V5	0	
A2A2Y4	3	{'PF00373': 1, 'PF09379': 1, 'PF09380': 1}
A2A2Z9	0	
A2A368	0	
A2A3K4	1	{'PF00782': 1}
A2A3L6	0	
A2A3N6	1	{'PF13519': 1}
A2AJT9	0	
A2CJ06	3	{'PF00569': 1, 'PF09068': 1, 'PF09069': 1}
A2IDD5	0	
A2NJV5	1	{'PF07686': 1}
A2PYH4	2	{'PF00270': 1, 'PF00271': 1}
A2RRD8	11	{'PF00096': 11}
A2RRH5	0	
A2RRL7	0	
A2RRP1	0	
A2RTX5	4	{'PF00587': 1, 'PF02824': 1, 'PF03129': 1, 'PF07973': 1}
A2RTY3	0	
A2RU14	0	
A2RU30	0	
A2RU37	0	
A2RU48	0	
A2RU49	0	
A2RU54	1	{'PF00046': 1}
A2RU67	0	
A2RUB1	0	
A2RUB6	0	
A2RUC4	1	{'PF13621': 1}
A2RUG3	0	
A2RUH7	3	{'PF00041': 1, 'PF07679': 2}
A2RUQ5	0	
A2RUR9	0	
A2RUS2	0	
A2RUT3	0	
A2RUU4	0	
A2VCK2	0	
A2VDF0	0	
A2VDJ0	1	{'PF12371': 1}
A2VEC9	41	{'PF00090': 22, 'PF00094': 3, 'PF00754': 1, 'PF01826': 12, 'PF08742': 3}
A3KFT3	0	
A3KMH1	3	{'PF07728': 3}
A3KN83	2	{'PF13871': 1, 'PF13872': 1}
A3QJZ6	0	
A3QJZ7	0	
A4D0S4	14	{'PF00053': 13, 'PF00055': 1}
A4D0T7	0	
A4D0V7	0	
A4D0Y5	0	
A4D126	1	{'PF18706': 1}
A4D161	0	
A4D1B5	0	
A4D1E1	0	
A4D1E9	1	{'PF01018': 1}
A4D1F6	0	
A4D1N5	0	
A4D1P6	0	
A4D1S0	1	{'PF00059': 1}
A4D1S5	1	{'PF00071': 1}
A4D1T9	1	{'PF00089': 1}
A4D1U4	0	
A4D1Z8	1	{'PF00337': 1}
A4D250	0	
A4D256	2	{'PF00782': 1, 'PF14671': 1}
A4D263	0	
A4D2B0	1	{'PF00753': 1}
A4D2B8	1	{'PF13589': 1}
A4D2G3	0	
A4D2H0	0	
A4D2P6	2	{'PF00595': 2}
A4FU01	2	{'PF06602': 2}
A4FU28	0	
A4FU49	1	{'PF07653': 1}
A4FU69	0	
A4GXA9	1	{'PF02732': 1}
A4IF30	0	
A4QMS7	0	
A4QN01	0	
A4QPB2	0	
A4QPH2	0	
A4UGR9	0	
A5A3E0	0	
A5D6W6	0	
A5D8T8	2	{'PF00059': 1, 'PF00188': 1}
A5D8V6	1	{'PF07200': 1}
A5D8V7	0	
A5D8W1	0	
A5LHX3	1	{'PF00227': 1}
A5PKW4	2	{'PF01369': 1, 'PF00169': 1}
A5PL33	0	
A5PLK6	1	{'PF00615': 1}
A5PLL1	0	
A5PLL7	1	{'PF10520': 1}
A5PLN7	0	
A5PLN9	0	
A5X5Y0	0	
A5YKK6	4	{'PF12842': 1, 'PF16415': 1, 'PF16417': 1, 'PF16418': 1}
A5YM69	0	
A5YM72	2	{'PF15632': 1, 'PF18130': 1}
A6BM72	12	{'PF00053': 8, 'PF12661': 4}
A6H8M9	1	{'PF00028': 1}
A6H8Y1	1	{'PF15963': 1}
A6H8Z2	0	
A6NC05	0	
A6NC42	1	{'PF16005': 1}
A6NC51	0	
A6NC57	0	
A6NC62	0	
A6NC78	0	
A6NC86	2	{'PF00021': 1, 'PF02988': 1}
A6NC97	0	
A6NC98	1	{'PF19047': 1}
A6NCC3	0	
A6NCE7	1	{'PF02991': 1}
A6NCF5	1	{'PF07707': 1}
A6NCF6	0	
A6NCI4	3	{'PF13768': 3}
A6NCI5	0	
A6NCI8	0	
A6NCJ1	0	
A6NCK2	1	{'PF15227': 1}
A6NCL1	0	
A6NCL2	0	
A6NCL7	0	
A6NCM1	1	{'PF00004': 1}
A6NCN2	0	
A6NCN8	0	
A6NCQ9	1	{'PF13639': 1}
A6NCS4	1	{'PF00046': 1}
A6NCS6	0	
A6NCV1	0	
A6NCW0	0	
A6NCW7	0	
A6ND01	1	{'PF03024': 1}
A6ND36	0	
A6ND48	0	
A6ND91	1	{'PF03447': 1}
A6NDA9	1	{'PF13927': 1}
A6NDB9	0	
A6NDD5	0	
A6NDE4	1	{'PF00076': 1}
A6NDE8	0	
A6NDG6	2	{'PF13242': 1, 'PF13344': 1}
A6NDH6	0	
A6NDI0	2	{'PF00643': 1, 'PF15227': 1}
A6NDK9	0	
A6NDL7	0	
A6NDL8	0	
A6NDN3	0	
A6NDN8	1	{'PF00240': 1}
A6NDP7	2	{'PF01284': 2}
A6NDR6	0	
A6NDS4	0	
A6NDU8	0	
A6NDV4	0	
A6NDX4	0	
A6NDX5	16	{'PF00096': 13, 'PF13912': 3}
A6NDY0	1	{'PF00076': 1}
A6NDY2	1	{'PF15288': 1}
A6NDZ8	1	{'PF16564': 1}
A6NE01	0	
A6NE02	2	{'PF00651': 1, 'PF07707': 1}
A6NE52	0	
A6NE82	1	{'PF16564': 1}
A6NEC2	2	{'PF01433': 1, 'PF17900': 1}
A6NED2	0	
A6NEE1	1	{'PF00169': 1}
A6NEF3	0	
A6NEH6	0	
A6NEH8	0	
A6NEK1	2	{'PF00339': 1, 'PF02752': 1}
A6NEL2	0	
A6NEL3	0	
A6NEM1	0	
A6NEN9	0	
A6NEQ0	1	{'PF00076': 1}
A6NEQ2	0	
A6NER0	0	
A6NER3	0	
A6NES4	0	
A6NET4	0	
A6NEV1	0	
A6NEY3	0	
A6NEY8	0	
A6NF01	0	
A6NF34	2	{'PF00092': 1, 'PF05587': 1}
A6NF36	0	
A6NF83	0	
A6NF89	0	
A6NFA0	0	
A6NFA1	0	
A6NFC5	0	
A6NFC9	0	
A6NFD8	2	{'PF00010': 1, 'PF07527': 1}
A6NFE2	0	
A6NFE3	0	
A6NFF2	0	
A6NFH5	1	{'PF00061': 1}
A6NFI3	13	{'PF00096': 13}
A6NFK2	0	
A6NFN3	1	{'PF00076': 1}
A6NFN9	1	{'PF00240': 1}
A6NFQ2	2	{'PF13402': 1, 'PF17291': 1}
A6NFQ7	1	{'PF00046': 1}
A6NFR6	0	
A6NFT4	0	
A6NFU0	1	{'PF07686': 1}
A6NFU8	1	{'PF01470': 1}
A6NFX1	0	
A6NFY4	0	
A6NFY7	0	
A6NFZ4	0	
A6NG13	0	
A6NGA9	0	
A6NGB0	0	
A6NGB7	0	
A6NGB9	0	
A6NGC4	1	{'PF03798': 1}
A6NGD5	5	{'PF00096': 3, 'PF02023': 1, 'PF12874': 1}
A6NGE4	0	
A6NGE7	1	{'PF09349': 1}
A6NGG3	0	
A6NGG8	0	
A6NGH7	0	
A6NGH8	0	
A6NGJ6	1	{'PF00097': 1}
A6NGK3	0	
A6NGN4	0	
A6NGN9	3	{'PF00047': 1, 'PF13927': 2}
A6NGQ2	1	{'PF16005': 1}
A6NGR9	0	
A6NGS2	0	
A6NGU5	1	{'PF01019': 1}
A6NGU7	0	
A6NGW2	0	
A6NGY1	0	
A6NGY3	0	
A6NGY5	0	
A6NGZ8	0	
A6NH00	0	
A6NH11	1	{'PF08718': 1}
A6NH13	0	
A6NH21	0	
A6NH52	0	
A6NH57	1	{'PF00025': 1}
A6NHA9	0	
A6NHC0	1	{'PF01067': 1}
A6NHG4	1	{'PF01187': 1}
A6NHG9	0	
A6NHJ4	10	{'PF00096': 10}
A6NHL2	2	{'PF00091': 1, 'PF03953': 1}
A6NHM9	3	{'PF01082': 1, 'PF03351': 1, 'PF03712': 1}
A6NHN0	1	{'PF00386': 1}
A6NHN6	0	
A6NHP3	0	
A6NHQ2	1	{'PF01269': 1}
A6NHQ4	0	
A6NHR8	0	
A6NHR9	2	{'PF06470': 1, 'PF13589': 1}
A6NHS1	0	
A6NHS7	1	{'PF07502': 1}
A6NHT5	1	{'PF00046': 1}
A6NHX0	3	{'PF13840': 2, 'PF18700': 1}
A6NHY2	0	
A6NHZ5	0	
A6NI03	1	{'PF00097': 1}
A6NI15	1	{'PF00010': 1}
A6NI28	4	{'PF00620': 1, 'PF14604': 1, 'PF16746': 1, 'PF00169': 1}
A6NI47	0	
A6NI56	0	
A6NI61	0	
A6NI72	3	{'PF00787': 1, 'PF00018': 2}
A6NI73	1	{'PF13895': 1}
A6NI79	0	
A6NI86	0	
A6NI87	0	
A6NIE6	0	
A6NIE9	1	{'PF00089': 1}
A6NIH7	0	
A6NIJ5	1	{'PF15288': 1}
A6NIJ9	0	
A6NIK2	0	
A6NIL9	0	
A6NIM6	0	
A6NIN4	1	{'PF14634': 1}
A6NIR3	1	{'PF01412': 1}
A6NIU2	0	
A6NIV6	0	
A6NIX2	3	{'PF00412': 3}
A6NIY4	0	
A6NIZ1	1	{'PF00071': 1}
A6NJ08	1	{'PF16564': 1}
A6NJ46	1	{'PF00046': 1}
A6NJ64	0	
A6NJ69	0	
A6NJ78	0	
A6NJ88	0	
A6NJB7	0	
A6NJG2	0	
A6NJG6	1	{'PF00046': 1}
A6NJI1	0	
A6NJI9	0	
A6NJJ6	0	
A6NJL1	6	{'PF00096': 4, 'PF02023': 1, 'PF12874': 1}
A6NJQ4	1	{'PF15288': 1}
A6NJR5	0	
A6NJT0	1	{'PF00046': 1}
A6NJU9	0	
A6NJV1	0	
A6NJW4	0	
A6NJW9	1	{'PF07686': 1}
A6NJY1	0	
A6NJY4	0	
A6NJZ3	0	
A6NJZ7	2	{'PF07653': 1, 'PF14604': 1}
A6NK02	2	{'PF00643': 1, 'PF15227': 1}
A6NK06	2	{'PF03972': 1, 'PF19305': 1}
A6NK44	1	{'PF00903': 1}
A6NK53	6	{'PF00096': 6}
A6NK58	0	
A6NK59	1	{'PF07525': 1}
A6NK75	13	{'PF00096': 13}
A6NK89	0	
A6NK97	0	
A6NKB5	0	
A6NKC0	1	{'PF15288': 1}
A6NKC9	1	{'PF00017': 1}
A6NKD2	0	
A6NKD9	0	
A6NKF1	0	
A6NKF2	1	{'PF01388': 1}
A6NKF7	0	
A6NKG5	1	{'PF17919': 1}
A6NKH3	0	
A6NKK0	0	
A6NKL6	0	
A6NKN8	0	
A6NKP2	0	
A6NKQ9	1	{'PF00007': 1}
A6NKT7	3	{'PF00638': 2, 'PF16704': 1}
A6NKU9	0	
A6NKW6	0	
A6NKX1	0	
A6NKX4	0	
A6NL05	0	
A6NL08	0	
A6NL26	0	
A6NL46	0	
A6NL82	0	
A6NL88	0	
A6NL99	0	
A6NLC5	0	
A6NLC8	1	{'PF04719': 1}
A6NLE4	0	
A6NLI5	0	
A6NLJ0	0	
A6NLP5	0	
A6NLU0	2	{'PF11002': 1, 'PF15227': 1}
A6NLU5	1	{'PF07686': 1}
A6NLW8	2	{'PF00046': 2}
A6NLX3	0	
A6NLX4	0	
A6NM03	0	
A6NM10	0	
A6NM11	0	
A6NM28	8	{'PF00096': 8}
A6NM36	0	
A6NM43	0	
A6NM45	0	
A6NM62	0	
A6NM66	0	
A6NM76	0	
A6NMA1	0	
A6NMB1	3	{'PF07686': 1, 'PF13895': 1, 'PF13927': 1}
A6NMB9	1	{'PF00004': 1}
A6NMD0	0	
A6NMD2	0	
A6NMK7	2	{'PF14608': 2}
A6NMK8	0	
A6NML5	0	
A6NMN3	0	
A6NMS3	0	
A6NMS7	0	
A6NMT0	1	{'PF00046': 1}
A6NMU1	0	
A6NMX2	1	{'PF01652': 1}
A6NMY6	4	{'PF00191': 4}
A6NMZ2	0	
A6NMZ5	0	
A6NMZ7	8	{'PF00092': 8}
A6NN06	0	
