Pfam domain	Domain 1	Domain 2	Length Domain 1	Length Domain 2	Seq Id	RMSD	Prop aligned	Dist centroids (A)	Pocket 1	Pocket 2	PocketVec Similarity
PF00004	P36776_PF00004_519_661	Q5T2N8_PF00004_173_300	143	128	0.556	0.394	0.947368	1.549	P36776_PF00004_519_661_fpocket_1	Q5T2N8_PF00004_173_300_fpocket_2	0.85
PF00004	P36776_PF00004_519_661	Q86XH1_PF00004_571_701	143	131	0.421	0.526	1.0	1.411	P36776_PF00004_519_661_fpocket_1	Q86XH1_PF00004_571_701_fpocket_4	0.81
PF00004	P36776_PF00004_519_661	Q9Y4W6_PF00004_344_477	143	134	0.667	0.298	1.0	1.844	P36776_PF00004_519_661_fpocket_1	Q9Y4W6_PF00004_344_477_fpocket_3	0.867
PF00004	P40937_PF00004_56_177	Q5T2N8_PF00004_173_300	122	128	0.211	1.176	0.875	5.888	P40937_PF00004_56_177_fpocket_4	Q5T2N8_PF00004_173_300_fpocket_3	0.764
PF00004	Q5T2N8_PF00004_173_300	Q86XH1_PF00004_571_701	128	131	0.333	0.677	0.947368	1.256	Q5T2N8_PF00004_173_300_fpocket_2	Q86XH1_PF00004_571_701_fpocket_4	0.782
PF00004	Q5T2N8_PF00004_173_300	Q9Y4W6_PF00004_344_477	128	134	0.8	0.455	1.0	2.41	Q5T2N8_PF00004_173_300_fpocket_2	Q9Y4W6_PF00004_344_477_fpocket_3	0.795
PF00004	Q5T2N8_PF00004_173_300	Q9Y4W6_PF00004_344_477	128	134	0.214	2.456	0.875	1.054	Q5T2N8_PF00004_173_300_fpocket_3	Q9Y4W6_PF00004_344_477_fpocket_6	0.808
PF00004	Q86XH1_PF00004_571_701	Q9Y4W6_PF00004_344_477	131	134	0.444	0.392	1.0	1.531	Q86XH1_PF00004_571_701_fpocket_4	Q9Y4W6_PF00004_344_477_fpocket_3	0.819
PF00005	O14678_PF00005_404_552	O15439_PF00005_1058_1205	149	148	0.312	1.333	0.941176	4.141	O14678_PF00005_404_552_fpocket_12	O15439_PF00005_1058_1205_fpocket_15	0.8260000000000001
PF00005	O14678_PF00005_404_552	P13569_PF00005_1227_1374	149	148	0.222	2.356	1.0	3.917	O14678_PF00005_404_552_fpocket_12	P13569_PF00005_1227_1374_fpocket_11	0.8140000000000001
PF00005	O14678_PF00005_404_552	P33527_PF00005_661_796	149	136	0.286	1.277	0.928571	3.816	O14678_PF00005_404_552_fpocket_10	P33527_PF00005_661_796_fpocket_5	0.853
PF00005	O14678_PF00005_404_552	Q09428_PF00005_696_857	149	162	0.412	1.221	0.866667	5.519	O14678_PF00005_404_552_fpocket_12	Q09428_PF00005_696_857_fpocket_19	0.8240000000000001
PF00005	O14678_PF00005_404_552	Q8WWZ7_PF00005_497_643	149	147	0.308	0.507	0.928571	1.592	O14678_PF00005_404_552_fpocket_10	Q8WWZ7_PF00005_497_643_fpocket_11	0.861
PF00005	O14678_PF00005_404_552	Q9NRK6_PF00005_510_662	149	153	0.235	1.4	0.944444	4.232	O14678_PF00005_404_552_fpocket_12	Q9NRK6_PF00005_510_662_fpocket_13	0.806
PF00005	O15439_PF00005_1058_1205	P13569_PF00005_1227_1374	148	148	0.412	0.528	1.0	0.577	O15439_PF00005_1058_1205_fpocket_15	P13569_PF00005_1227_1374_fpocket_11	0.89
PF00005	O15439_PF00005_1058_1205	P33527_PF00005_661_796	148	136	0.429	0.516	0.823529	3.43	O15439_PF00005_1058_1205_fpocket_15	P33527_PF00005_661_796_fpocket_6	0.871
PF00005	O15439_PF00005_1058_1205	Q09428_PF00005_696_857	148	162	0.294	0.989	0.882353	2.448	O15439_PF00005_1058_1205_fpocket_15	Q09428_PF00005_696_857_fpocket_19	0.846
PF00005	O15439_PF00005_1058_1205	Q8WWZ7_PF00005_497_643	148	147	0.353	0.847	1.0	4.759	O15439_PF00005_1058_1205_fpocket_15	Q8WWZ7_PF00005_497_643_fpocket_12	0.895
PF00005	O15439_PF00005_1058_1205	Q96J65_PF00005_496_631	148	136	0.318	0.587	0.823529	2.31	O15439_PF00005_1058_1205_fpocket_15	Q96J65_PF00005_496_631_fpocket_12	0.867
PF00005	O15439_PF00005_1058_1205	Q9NRK6_PF00005_510_662	148	153	0.235	0.763	1.0	0.874	O15439_PF00005_1058_1205_fpocket_15	Q9NRK6_PF00005_510_662_fpocket_13	0.873
PF00005	O15439_PF00005_1058_1205	Q9NUQ8_PF00005_508_639	148	132	0.214	1.122	0.823529	3.273	O15439_PF00005_1058_1205_fpocket_15	Q9NUQ8_PF00005_508_639_fpocket_9	0.844
PF00005	P13569_PF00005_1227_1374	P33527_PF00005_661_796	148	136	0.688	1.806	0.888889	3.805	P13569_PF00005_1227_1374_fpocket_11	P33527_PF00005_661_796_fpocket_6	0.89
PF00005	P13569_PF00005_1227_1374	Q09428_PF00005_696_857	148	162	0.412	0.963	0.944444	2.74	P13569_PF00005_1227_1374_fpocket_11	Q09428_PF00005_696_857_fpocket_19	0.87
PF00005	P13569_PF00005_1227_1374	Q8WWZ7_PF00005_497_643	148	147	0.556	0.888	1.0	5.099	P13569_PF00005_1227_1374_fpocket_11	Q8WWZ7_PF00005_497_643_fpocket_12	0.89
PF00005	P13569_PF00005_1227_1374	Q96J65_PF00005_496_631	148	136	0.438	1.859	0.888889	2.111	P13569_PF00005_1227_1374_fpocket_11	Q96J65_PF00005_496_631_fpocket_12	0.886
PF00005	P13569_PF00005_1227_1374	Q9NRK6_PF00005_510_662	148	153	0.444	0.963	1.0	1.293	P13569_PF00005_1227_1374_fpocket_11	Q9NRK6_PF00005_510_662_fpocket_13	0.886
PF00005	P13569_PF00005_1227_1374	Q9NUQ8_PF00005_508_639	148	132	0.278	1.957	0.888889	3.06	P13569_PF00005_1227_1374_fpocket_11	Q9NUQ8_PF00005_508_639_fpocket_9	0.85
PF00005	P33527_PF00005_661_796	Q09428_PF00005_696_857	136	162	0.529	0.731	0.944444	2.831	P33527_PF00005_661_796_fpocket_6	Q09428_PF00005_696_857_fpocket_19	0.857
PF00005	P33527_PF00005_661_796	Q8WWZ7_PF00005_497_643	136	147	0.267	1.344	1.0	2.916	P33527_PF00005_661_796_fpocket_5	Q8WWZ7_PF00005_497_643_fpocket_11	0.851
PF00005	P33527_PF00005_661_796	Q8WWZ7_PF00005_497_643	136	147	0.412	0.564	0.944444	1.684	P33527_PF00005_661_796_fpocket_6	Q8WWZ7_PF00005_497_643_fpocket_12	0.894
PF00005	P33527_PF00005_661_796	Q96J65_PF00005_496_631	136	136	0.591	0.427	1.0	4.93	P33527_PF00005_661_796_fpocket_6	Q96J65_PF00005_496_631_fpocket_12	0.868
PF00005	P33527_PF00005_661_796	Q9NRK6_PF00005_510_662	136	153	0.467	0.833	0.833333	2.427	P33527_PF00005_661_796_fpocket_6	Q9NRK6_PF00005_510_662_fpocket_13	0.841
PF00005	P33527_PF00005_661_796	Q9NUQ8_PF00005_508_639	136	132	0.294	0.96	0.894737	6.076	P33527_PF00005_661_796_fpocket_6	Q9NUQ8_PF00005_508_639_fpocket_9	0.866
PF00005	Q09428_PF00005_696_857	Q8WWZ7_PF00005_497_643	162	147	0.294	0.828	0.944444	3.931	Q09428_PF00005_696_857_fpocket_19	Q8WWZ7_PF00005_497_643_fpocket_12	0.873
PF00005	Q09428_PF00005_696_857	Q96J65_PF00005_496_631	162	136	0.8	0.242	1.0	0.103	Q09428_PF00005_696_857_fpocket_1	Q96J65_PF00005_496_631_fpocket_1	0.895
PF00005	Q09428_PF00005_696_857	Q96J65_PF00005_496_631	162	136	0.5	0.823	0.944444	2.58	Q09428_PF00005_696_857_fpocket_19	Q96J65_PF00005_496_631_fpocket_12	0.8220000000000001
PF00005	Q09428_PF00005_696_857	Q9NRK6_PF00005_510_662	162	153	0.294	1.006	0.888889	2.164	Q09428_PF00005_696_857_fpocket_19	Q9NRK6_PF00005_510_662_fpocket_13	0.856
PF00005	Q09428_PF00005_696_857	Q9NUQ8_PF00005_508_639	162	132	0.176	0.711	0.944444	4.308	Q09428_PF00005_696_857_fpocket_19	Q9NUQ8_PF00005_508_639_fpocket_9	0.806
PF00005	Q8WWZ7_PF00005_497_643	Q96J65_PF00005_496_631	147	136	0.353	0.538	0.944444	5.983	Q8WWZ7_PF00005_497_643_fpocket_12	Q96J65_PF00005_496_631_fpocket_12	0.859
PF00005	Q8WWZ7_PF00005_497_643	Q9NRK6_PF00005_510_662	147	153	0.556	0.973	1.0	3.87	Q8WWZ7_PF00005_497_643_fpocket_12	Q9NRK6_PF00005_510_662_fpocket_13	0.866
PF00005	Q96J65_PF00005_496_631	Q9NRK6_PF00005_510_662	136	153	0.238	0.853	0.833333	2.85	Q96J65_PF00005_496_631_fpocket_12	Q9NRK6_PF00005_510_662_fpocket_13	0.871
PF00005	Q96J65_PF00005_496_631	Q9NUQ8_PF00005_508_639	136	132	0.294	0.892	0.894737	1.964	Q96J65_PF00005_496_631_fpocket_12	Q9NUQ8_PF00005_508_639_fpocket_9	0.861
PF00005	Q9NRK6_PF00005_510_662	Q9NUQ8_PF00005_508_639	153	132	0.389	1.155	0.833333	4.089	Q9NRK6_PF00005_510_662_fpocket_13	Q9NUQ8_PF00005_508_639_fpocket_9	0.813
PF00006	P06576_PF00006_186_405	P15313_PF00006_167_393	220	227	0.167	1.664	1.0	4.761	P06576_PF00006_186_405_fpocket_1	P15313_PF00006_167_393_fpocket_8	0.785
PF00006	P06576_PF00006_186_405	P21281_PF00006_173_399	220	227	0.167	1.675	1.0	3.504	P06576_PF00006_186_405_fpocket_1	P21281_PF00006_173_399_fpocket_5	0.76
PF00006	P06576_PF00006_186_405	P25705_PF00006_192_415	220	224	0.25	1.476	1.0	3.399	P06576_PF00006_186_405_fpocket_1	P25705_PF00006_192_415_fpocket_4	0.782
PF00006	P06576_PF00006_186_405	P38606_PF00006_230_455	220	226	0.667	1.449	1.0	3.394	P06576_PF00006_186_405_fpocket_1	P38606_PF00006_230_455_fpocket_3	0.7969999999999999
PF00006	P15313_PF00006_167_393	P21281_PF00006_173_399	227	227	1.0	0.094	1.0	3.146	P15313_PF00006_167_393_fpocket_8	P21281_PF00006_173_399_fpocket_5	0.904
PF00006	P15313_PF00006_167_393	P25705_PF00006_192_415	227	224	0.316	1.111	1.0	4.745	P15313_PF00006_167_393_fpocket_8	P25705_PF00006_192_415_fpocket_4	0.791
PF00006	P15313_PF00006_167_393	P38606_PF00006_230_455	227	226	0.167	0.846	1.0	5.822	P15313_PF00006_167_393_fpocket_8	P38606_PF00006_230_455_fpocket_3	0.767
PF00006	P21281_PF00006_173_399	P25705_PF00006_192_415	227	224	0.15	1.178	1.0	1.649	P21281_PF00006_173_399_fpocket_5	P25705_PF00006_192_415_fpocket_4	0.775
PF00006	P21281_PF00006_173_399	P38606_PF00006_230_455	227	226	0.167	0.833	1.0	3.086	P21281_PF00006_173_399_fpocket_5	P38606_PF00006_230_455_fpocket_3	0.757
PF00006	P25705_PF00006_192_415	P38606_PF00006_230_455	224	226	0.174	2.208	0.954545	0.88	P25705_PF00006_192_415_fpocket_1	P38606_PF00006_230_455_fpocket_1	0.798
PF00006	P25705_PF00006_192_415	P38606_PF00006_230_455	224	226	0.389	0.899	1.0	1.684	P25705_PF00006_192_415_fpocket_4	P38606_PF00006_230_455_fpocket_3	0.786
PF00007	A6NKQ9_PF00007_56_160	P01222_PF00007_19_125	105	107	0.467	0.614	1.0	2.194	A6NKQ9_PF00007_56_160_fpocket_4	P01222_PF00007_19_125_fpocket_5	0.8069999999999999
PF00007	A6NKQ9_PF00007_56_160	P01225_PF00007_18_122	105	105	0.5	0.497	1.0	1.641	A6NKQ9_PF00007_56_160_fpocket_4	P01225_PF00007_18_122_fpocket_4	0.8160000000000001
PF00007	A6NKQ9_PF00007_56_160	P01229_PF00007_26_130	105	105	0.75	0.507	1.0	3.142	A6NKQ9_PF00007_56_160_fpocket_4	P01229_PF00007_26_130_fpocket_5	0.8180000000000001
PF00007	A6NKQ9_PF00007_56_160	P01229_PF00007_26_130	105	105	0.786	0.878	1.0	3.785	A6NKQ9_PF00007_56_160_fpocket_5	P01229_PF00007_26_130_fpocket_7	0.8280000000000001
PF00007	A6NKQ9_PF00007_56_160	P0DN87_PF00007_26_130	105	105	1.0	0.081	1.0	0.429	A6NKQ9_PF00007_56_160_fpocket_4	P0DN87_PF00007_26_130_fpocket_4	0.911
PF00007	A6NKQ9_PF00007_56_160	Q6NT52_PF00007_24_128	105	105	1.0	0.089	1.0	0.23	A6NKQ9_PF00007_56_160_fpocket_4	Q6NT52_PF00007_24_128_fpocket_4	0.922
PF00007	A6NKQ9_PF00007_56_160	Q6NT52_PF00007_24_128	105	105	1.0	0.067	1.0	3.102	A6NKQ9_PF00007_56_160_fpocket_5	Q6NT52_PF00007_24_128_fpocket_8	0.857
PF00007	A6NKQ9_PF00007_56_160	Q86YW7_PF00007_33_130	105	98	0.357	1.041	1.0	4.127	A6NKQ9_PF00007_56_160_fpocket_5	Q86YW7_PF00007_33_130_fpocket_3	0.835
PF00007	O95389_PF00007_265_353	Q86YW7_PF00007_33_130	89	98	0.364	2.419	0.923077	5.806	O95389_PF00007_265_353_fpocket_5	Q86YW7_PF00007_33_130_fpocket_1	0.782
PF00007	P01222_PF00007_19_125	P01225_PF00007_18_122	107	105	0.625	0.246	1.0	2.983	P01222_PF00007_19_125_fpocket_5	P01225_PF00007_18_122_fpocket_4	0.864
PF00007	P01222_PF00007_19_125	P01229_PF00007_26_130	107	105	0.667	0.412	1.0	1.165	P01222_PF00007_19_125_fpocket_5	P01229_PF00007_26_130_fpocket_5	0.844
PF00007	P01222_PF00007_19_125	P0DN87_PF00007_26_130	107	105	0.467	0.621	1.0	1.916	P01222_PF00007_19_125_fpocket_5	P0DN87_PF00007_26_130_fpocket_4	0.8109999999999999
PF00007	P01222_PF00007_19_125	Q6NT52_PF00007_24_128	107	105	0.467	0.616	1.0	2.014	P01222_PF00007_19_125_fpocket_5	Q6NT52_PF00007_24_128_fpocket_4	0.81
PF00007	P01225_PF00007_18_122	P01229_PF00007_26_130	105	105	0.562	0.446	1.0	3.93	P01225_PF00007_18_122_fpocket_4	P01229_PF00007_26_130_fpocket_5	0.846
PF00007	P01225_PF00007_18_122	P0DN87_PF00007_26_130	105	105	0.5	0.478	1.0	1.729	P01225_PF00007_18_122_fpocket_4	P0DN87_PF00007_26_130_fpocket_4	0.8009999999999999
PF00007	P01225_PF00007_18_122	Q6NT52_PF00007_24_128	105	105	0.5	0.471	1.0	1.687	P01225_PF00007_18_122_fpocket_4	Q6NT52_PF00007_24_128_fpocket_4	0.8009999999999999
PF00007	P01229_PF00007_26_130	P0DN87_PF00007_26_130	105	105	0.75	0.513	1.0	2.772	P01229_PF00007_26_130_fpocket_5	P0DN87_PF00007_26_130_fpocket_4	0.8049999999999999
PF00007	P01229_PF00007_26_130	Q6NT52_PF00007_24_128	105	105	0.75	0.523	1.0	2.923	P01229_PF00007_26_130_fpocket_5	Q6NT52_PF00007_24_128_fpocket_4	0.802
PF00007	P01229_PF00007_26_130	Q86YW7_PF00007_33_130	105	98	0.429	0.438	1.0	0.921	P01229_PF00007_26_130_fpocket_7	Q86YW7_PF00007_33_130_fpocket_3	0.843
PF00007	P0DN87_PF00007_26_130	Q6NT52_PF00007_24_128	105	105	1.0	0.034	1.0	0.2	P0DN87_PF00007_26_130_fpocket_4	Q6NT52_PF00007_24_128_fpocket_4	0.935
PF00008	O14594_PF00008_1012_1042	Q5IJ48_PF00008_609_639	31	31	0.429	0.505	0.875	2.165	O14594_PF00008_1012_1042_fpocket_1	Q5IJ48_PF00008_609_639_fpocket_1	0.819
PF00008	O14594_PF00008_1012_1042	Q6UXH9_PF00008_239_270	31	32	0.556	0.391	1.0	3.303	O14594_PF00008_1012_1042_fpocket_1	Q6UXH9_PF00008_239_270_fpocket_1	0.813
PF00008	P78504_PF00008_671_701	Q8NFT8_PF00008_472_501	31	30	0.333	0.431	0.9	1.284	P78504_PF00008_671_701_fpocket_1	Q8NFT8_PF00008_472_501_fpocket_1	0.835
PF00008	Q5IJ48_PF00008_609_639	Q6UXH9_PF00008_239_270	31	32	0.5	0.699	0.888889	1.322	Q5IJ48_PF00008_609_639_fpocket_1	Q6UXH9_PF00008_239_270_fpocket_1	0.848
PF00009	O60841_PF00009_629_844	P15170_PF00009_72_352	216	281	0.588	6.037	0.894737	1.433	O60841_PF00009_629_844_fpocket_1	P15170_PF00009_72_352_fpocket_3	0.8260000000000001
PF00009	O60841_PF00009_629_844	P49411_PF00009_55_249	216	195	0.611	5.3	1.0	1.611	O60841_PF00009_629_844_fpocket_1	P49411_PF00009_55_249_fpocket_1	0.825
PF00009	O60841_PF00009_629_844	Q2VIR3_PF00009_39_245	216	207	0.176	0.932	0.933333	2.831	O60841_PF00009_629_844_fpocket_6	Q2VIR3_PF00009_39_245_fpocket_3	0.785
PF00009	O60841_PF00009_629_844	Q9BX10_PF00009_172_412	216	241	0.435	3.738	1.0	2.682	O60841_PF00009_629_844_fpocket_1	Q9BX10_PF00009_172_412_fpocket_1	0.833
PF00009	O60841_PF00009_629_844	Q9Y450_PF00009_258_485	216	228	0.526	6.01	0.826087	1.351	O60841_PF00009_629_844_fpocket_1	Q9Y450_PF00009_258_485_fpocket_1	0.846
PF00009	P15170_PF00009_72_352	P46199_PF00009_179_344	281	166	0.75	0.433	0.842105	3.778	P15170_PF00009_72_352_fpocket_3	P46199_PF00009_179_344_fpocket_1	0.847
PF00009	P15170_PF00009_72_352	P49411_PF00009_55_249	281	195	0.765	0.386	0.894737	3.266	P15170_PF00009_72_352_fpocket_3	P49411_PF00009_55_249_fpocket_1	0.825
PF00009	P15170_PF00009_72_352	Q2VIR3_PF00009_39_245	281	207	0.647	0.369	0.894737	2.277	P15170_PF00009_72_352_fpocket_3	Q2VIR3_PF00009_39_245_fpocket_1	0.776
PF00009	P15170_PF00009_72_352	Q9BX10_PF00009_172_412	281	241	0.647	0.484	0.894737	1.931	P15170_PF00009_72_352_fpocket_3	Q9BX10_PF00009_172_412_fpocket_1	0.813
PF00009	P15170_PF00009_72_352	Q9Y450_PF00009_258_485	281	228	0.789	0.288	1.0	3.088	P15170_PF00009_72_352_fpocket_3	Q9Y450_PF00009_258_485_fpocket_1	0.834
PF00009	P46199_PF00009_179_344	P49411_PF00009_55_249	166	195	1.0	0.504	0.947368	5.717	P46199_PF00009_179_344_fpocket_4	P49411_PF00009_55_249_fpocket_1	0.819
PF00009	P46199_PF00009_179_344	Q2VIR3_PF00009_39_245	166	207	0.6	0.608	0.909091	2.804	P46199_PF00009_179_344_fpocket_1	Q2VIR3_PF00009_39_245_fpocket_1	0.8109999999999999
PF00009	P46199_PF00009_179_344	Q9BX10_PF00009_172_412	166	241	0.619	0.484	0.913043	3.149	P46199_PF00009_179_344_fpocket_1	Q9BX10_PF00009_172_412_fpocket_1	0.795
PF00009	P49411_PF00009_55_249	Q2VIR3_PF00009_39_245	195	207	0.727	0.45	0.947368	4.923	P49411_PF00009_55_249_fpocket_1	Q2VIR3_PF00009_39_245_fpocket_1	0.812
PF00009	P49411_PF00009_55_249	Q9BX10_PF00009_172_412	195	241	0.565	0.654	1.0	4.181	P49411_PF00009_55_249_fpocket_1	Q9BX10_PF00009_172_412_fpocket_1	0.8140000000000001
PF00009	P49411_PF00009_55_249	Q9Y450_PF00009_258_485	195	228	0.737	0.479	0.826087	0.773	P49411_PF00009_55_249_fpocket_1	Q9Y450_PF00009_258_485_fpocket_1	0.819
PF00009	Q2VIR3_PF00009_39_245	Q9BX10_PF00009_172_412	207	241	0.545	0.39	0.956522	1.486	Q2VIR3_PF00009_39_245_fpocket_1	Q9BX10_PF00009_172_412_fpocket_1	0.8009999999999999
PF00009	Q2VIR3_PF00009_39_245	Q9Y450_PF00009_258_485	207	228	0.591	0.45	0.826087	4.73	Q2VIR3_PF00009_39_245_fpocket_1	Q9Y450_PF00009_258_485_fpocket_1	0.793
PF00009	Q9BX10_PF00009_172_412	Q9Y450_PF00009_258_485	241	228	0.609	0.811	0.826087	4.03	Q9BX10_PF00009_172_412_fpocket_1	Q9Y450_PF00009_258_485_fpocket_1	0.869
PF00010	O60682_PF00010_108_160	O96004_PF00010_95_147	53	53	0.5	0.298	1.0	5.051	O60682_PF00010_108_160_fpocket_3	O96004_PF00010_95_147_fpocket_6	0.765
PF00010	O60682_PF00010_108_160	Q01664_PF00010_49_100	53	52	0.5	0.149	1.0	4.288	O60682_PF00010_108_160_fpocket_1	Q01664_PF00010_49_100_fpocket_2	0.829
PF00010	P04198_PF00010_382_434	Q15672_PF00010_109_160	53	52	0.357	0.759	0.933333	0.634	P04198_PF00010_382_434_fpocket_1	Q15672_PF00010_109_160_fpocket_2	0.821
PF00010	P04198_PF00010_382_434	Q9Y5J3_PF00010_50_105	53	56	0.2	0.5	1.0	0.874	P04198_PF00010_382_434_fpocket_1	Q9Y5J3_PF00010_50_105_fpocket_4	0.786
PF00010	P41134_PF00010_66_106	Q02535_PF00010_40_81	41	42	0.727	0.621	1.0	2.909	P41134_PF00010_66_106_fpocket_1	Q02535_PF00010_40_81_fpocket_1	0.789
PF00010	P41134_PF00010_66_106	Q9H2A3_PF00010_113_165	41	53	0.364	1.879	1.0	4.812	P41134_PF00010_66_106_fpocket_1	Q9H2A3_PF00010_113_165_fpocket_1	0.763
PF00010	Q02535_PF00010_40_81	Q9H2A3_PF00010_113_165	42	53	0.357	1.622	1.0	3.753	Q02535_PF00010_40_81_fpocket_1	Q9H2A3_PF00010_113_165_fpocket_1	0.8200000000000001
PF00010	Q15672_PF00010_109_160	Q9Y5J3_PF00010_50_105	52	56	0.143	0.983	0.9375	2.039	Q15672_PF00010_109_160_fpocket_2	Q9Y5J3_PF00010_50_105_fpocket_4	0.8089999999999999
PF00011	O14558_PF00011_66_158	P02511_PF00011_67_162	93	96	0.643	0.244	1.0	4.261	O14558_PF00011_66_158_fpocket_1	P02511_PF00011_67_162_fpocket_2	0.784
