Domain	# of ligands	Comma-separated ligands
O14920_PF00069_15_297	1	KSA
O14931_PF07686_22_128	1	1PG
O14936_PF00069_12_276	7	3AM,AMP,ANP,V5W,V62,V6B,V6E
O14965_PF00069_133_383	115	0BX,0BY,0BZ,0C0,0C3,0C4,0C5,0C6,0C7,0C8,0C9,0FY,0K6,2JZ,2VU,35R,400,45B,48B,4QV,4RJ,4RK,4RM,5DN,5E1,5VC,626,627,6F2,7HD,83H,97B,9A6,9QK,9QT,9YQ,A4W,A5Q,A5W,A5Z,A6E,A6H,A6W,A6Z,A7H,A7K,A7N,A7Q,A8H,A8K,ACP,ADN,ADP,AK8,AKI,ANP,ASH,ATP,AY4,CC3,CJ5,COA,D36,D37,E9Z,EG7,EGJ,EML,F8Z,FH3,FH5,G7T,G7W,HPM,JRQ,JRT,JRW,JSB,JSN,JVE,L0C,L0D,L0E,L0F,L0G,LJE,LJF,MMH,MPY,N13,NHI,NHJ,NHU,NL4,NRM,OFI,P9J,PFQ,Q7Q,QMN,RO9,S9H,S9K,SKE,V0K,VEK,VX6,WPH,X6D,XU1,XU2,Y3M,YM4,YPH,ZZL
O14966_PF00071_9_175	1	GDP
O14976_PF00069_40_313	4	49J,824,FEF,IRE
O14994_PF02750_193_395	1	ANP
O15054_PF02373_1377_1485	3	8XQ,K0I,YC8
O15066_PF00225_15_340	1	ADP
O15075_PF00069_390_647	6	AN2,GUI,RXT,X7Y,X8J,XBD
O15111_PF00069_15_298	1	5TL
O15118_PF16414_22_267	2	CLR,HC3
O15151_PF02201_25_95	2	HRQ,HRT
O15164_PF00439_908_992	8	4A8,4BK,4BV,4CN,6KT,7FF,7FU,T52
O15178_PF00907_44_219	5	K2P,NZ1,O0M,O1J,O2A
O15247_PF13410_74_218	1	MNB
O15264_PF00069_25_308	4	0RX,N17,N58,N61
O15270_PF00155_168_528	1	PLS
O15296_PF00305_175_661	2	C8E,XRP
O15382_PF01063_100_350	18	4VR,4VS,4VT,4W4,4W6,67W,67X,67Y,68B,68C,68D,775,EL1,EL2,GBN,ILP,NVU,PMP
O15393_PF00089_256_484	1	GBS
O15496_PF00068_44_150	5	9JH,AYN,AYZ,EM8,TJM
O15530_PF00069_82_342	55	1F8,21O,253,2A2,31S,39Z,3Q0,3Q1,3Q2,3Q3,3Q4,3Q5,3Q6,3RC,3RW,3S1,464,517,537,61Y,62O,63E,78W,8H1,8I1,9BD,A06,ABQ,ADN,ATP,AZ7,BI1,BI2,BI3,BI4,BI8,CKG,JMZ,JNZ,JOZ,JPZ,LI8,LY4,MH4,MP6,MP7,P47,R1S,R2S,RF4,S26,STU,SVQ,SYP,UCN
O15540_PF00061_7_132	4	8KS,HXA,OLA,PLM
O15550_PF02373_1133_1241	3	8XQ,E7Z,K0I
O43175_PF00389_9_317	8	K4T,K52,K58,K5N,NAD,NAI,ONS,ONV
O43175_PF02826_111_285	16	5AO,8NB,9EW,9EZ,9TT,9TW,9TZ,K4T,K52,K58,K5K,K5N,NAD,NAI,ONS,ONV
O43252_PF01583_51_209	5	ADP,ADX,DAT,GGZ,PPS
O43252_PF01747_394_617	2	ADP,ADX
O43293_PF00069_13_275	5	4RB,7CP,DUK,IZA,U7E
O43318_PF07714_36_284	1	ADN
O43353_PF07714_18_290	20	0LI,6GD,6GE,9WS,9XA,ACP,BW8,E7N,GEZ,IQ7,K9T,KA2,KRE,M2B,M5W,Q9J,SB2,SR8,STU,XYW
O43488_PF00248_41_348	1	NDP
O43570_PF00194_38_289	23	3TV,5EF,6YH,6YQ,6Z9,E1F,E1G,EA3,EM5,EOQ,J8Q,J92,J95,JTW,MKQ,V13,V14,V1F,V50,VD8,VD9,WWO,WWX
O43598_PF05014_23_134	1	N6P
O43683_PF00069_787_1032	1	ADP
O43704_PF00685_38_289	2	A3P,STL
O43781_PF00069_209_522	1	HRM
O43809_PF13869_35_222	10	K0Y,M0J,NT7,RVY,RW7,RWA,RWD,RWG,RWM,S6V
O43865_PF00670_289_450	1	NAD
O43865_PF05221_237_529	1	NAD
O43913_PF13191_7_156	1	ATP
O43929_PF13191_36_190	1	ATP
O60218_PF00248_15_294	9	388,64I,8QL,EPR,MK4,NAP,SBI,SUZ,TOL
O60313_PF00350_291_469	1	GDP
O60341_PF01593_288_826	37	12F,2PF,3PL,6W0,6W1,6W3,6X0,6X3,6X5,767,8WC,CVO,CW0,D3U,D51,D52,D69,D70,D73,DJ0,DJC,E11,F2N,FAD,FAJ,FDA,HUF,KWM,KXM,M80,M84,N4K,NY8,TCA,TCF,THG,V0Y
O60493_PF00787_57_148	1	PIB
O60507_PF13469_70_263	1	A3P
O60547_PF16363_27_358	6	F7E,G4F,GDD,GDP,NAP,NDP
O60551_PF01233_139_296	2	4PS,NHW
O60658_PF00233_555_806	4	CFB,GJR,GJU,IBM
O60674_PF07714_545_805	24	2HB,35R,3YT,4SP,584,5BS,7DZ,8MY,AQG,ATP,DQX,E4V,EKT,IK1,J9D,M3A,M3Y,M4G,M4P,M57,SKE,V4D,VPS,YDJ
O60674_PF07714_849_1123	80	046,0NH,0NU,0NV,0TP,0X2,0X5,15V,17P,1J5,1K3,1M3,1P5,1P6,1RS,2HB,2TA,3JW,3KC,3O4,467,4HW,4HZ,4LY,4OK,50O,50V,50W,50Y,5B1,5B2,5B3,5W2,6DP,6TP,7GS,7GT,7GV,7GX,7GY,7GZ,88A,953,9T6,9ZS,AZ5,BJG,D7D,DQX,F9J,IZA,J2I,JAK,JZH,L0I,LMM,MI1,NVB,O19,QUP,QZ8,R5S,R5Y,R61,R6M,R6P,R6S,R6V,RG4,RXT,SKE,U8J,U8P,UWP,VJK,VVQ,XWW,XZS,Y5D,Y5G
O60701_PF03721_5_195	5	ADP,NAD,NAI,UDX,UPG
O60704_PF13469_69_262	1	A3P
O60741_PF00027_493_576	1	CMP
O60760_PF02798_4_73	1	GSF
O60825_PF01591_26_249	1	ATP
O60882_PF00413_116_271	1	NGH
O60885_PF00439_357_445	28	0S6,4LD,82Y,87G,87M,87P,87S,87V,88M,88P,88Y,89D,89G,89J,8FV,8NJ,8NM,8NP,8NS,8NV,8O1,8O4,D7T,EO1,QYV,SQH,WSH,YF6
O60885_PF00439_67_152	270	08H,08J,08K,0NS,0Q1,0S6,13F,14X,14Z,15E,1A3,1A4,1A5,1A6,1A7,1A8,1A9,1AJ,1GH,1H2,1H3,1K0,1QK,1XA,1XB,21Q,24Y,25K,25O,25V,2IR,2N0,2NJ,2R4,2RE,2RF,2RJ,2RN,2RQ,2SJ,30M,3OT,3P2,3PF,3X0,435,43S,43U,4OF,4V1,53W,558,559,55K,56M,56Y,57C,57G,5D2,5J5,5NQ,5NV,5OU,5SW,5U6,5V2,5VY,5W0,5W4,62G,64Q,64R,64S,67B,69G,6JC,6JF,6RX,6XX,73B,77X,78J,7CG,7CJ,7CM,7CN,7CQ,7E7,7EA,7UU,7ZB,7ZK,7ZT,82V,82Y,837,83T,8DQ,8F0,8F6,8F9,8FC,8J2,8NG,8P9,8PU,8PX,8Q3,8XR,8XX,96R,96U,96X,99L,99O,99R,99U,99X,9B6,9BM,9E3,9GY,9OE,9U4,A0R,B0N,B0Q,BMF,BNJ,BNK,BNM,BOF,BQ0,BS6,BT0,BW6,C6X,C89,CPB,D6R,D6U,D7F,D7L,D7R,D7U,D7X,D89,D9C,DYZ,DZH,E0A,E0B,E0C,E0K,E5Q,E5T,E5W,EAM,EB0,EB2,EB3,EB5,EB7,EB8,EB9,EC0,EC3,EC9,ECF,ECR,ECU,EDF,EE9,EFL,EFM,EFN,EGH,EGN,EO4,F5V,F5Y,FER,FOY,FP7,FZE,GUJ,H4C,H7B,H8C,HCC,HNQ,IES,JQ1,JQP,JQY,KLK,KUH,KXK,L25,L26,L28,L2Z,L33,L40,L45,L46,L5S,L8W,LOC,LY2,MQO,N1D,NP8,NUE,O1W,O2Q,O32,ODR,OS8,OWA,P8Q,P8T,P8W,P9L,QFN,QJ1,QJA,QKD,QMG,QYV,QYY,R6S,RGW,RLG,RLS,RLV,RLY,RMR,RNK,S5B,S7T,SAV,TVU,U0D,UDV,UT4,UTH,V1T,VCV,WDR,WEM,WSH,X27,Y17,Y18,Y1Z,Y36,Y80,Y81,YF2,YF6,YNS,YW4,YW7,YWA,YWY,YX4,ZHM,ZHS,ZHV
O60911_PF00112_114_333	1	0IW
O75116_PF00069_92_354	8	1WU,3SG,81G,J0P,O1S,O1V,VFA,VFS
O75164_PF02373_175_291	39	0WS,35M,5TZ,5U8,5UB,5UJ,5UL,5UO,5UP,5V1,5V7,5YQ,6Z1,7WH,8HQ,8XQ,9CJ,9FJ,FNQ,FO2,FO8,FQ5,FQB,FQE,FQH,FQN,FQQ,HQ2,KC6,KCH,LEL,MMK,N5J,PD2,QC1,QC2,S2X,VAO,Y28
O75173_PF01421_218_428	4	3PQ,3PU,3PW,886
O75191_PF02782_295_481	1	ADP
O75208_PF08511_210_286	1	64Z
O75385_PF00069_16_278	5	34W,3RF,3RJ,51W,JVD
O75460_PF00069_571_832	16	3E4,4K7,4L5,ADP,GUK,GXK,N8S,N94,N97,QFV,SJG,SJM,SJS,SJV,STU,U4N
O75469_PF00104_238_415	31	07F,27H,27J,2Q4,3WF,3WG,40U,444,4WH,5YU,5YX,CDZ,CL6,D7E,EST,HCJ,HYF,KUB,NQD,P06,PNU,RFP,S65,S68,S6E,S6H,S6T,S6W,S6Z,SRL,TBY
O75582_PF00069_427_687	1	ANP
O75608_PF02230_8_226	3	71Q,J1W,PLM
O75628_PF00071_82_245	1	GDP
O75689_PF00169_130_229	1	IP9
O75716_PF00069_20_290	1	STU
O75828_PF00106_6_152	1	NAP
O75844_PF01435_228_473	1	RDF
O75844_PF16491_41_225	1	C8E
O75874_PF00180_9_401	21	59D,6MX,6N3,6VN,70P,70Q,7J2,AOU,C81,DWG,DWJ,DWM,DWP,DWS,HJQ,LJV,LJY,NAP,NDP,PWV,VVS
O75891_PF00551_1_180	1	ZZZ
O75897_PF00685_45_295	1	A3P
O75899_PF00003_475_743	2	L9Q,U3D
O75914_PF00069_283_534	1	ADP
O75936_PF02668_107_366	9	449,6YT,C2T,DLT,IVL,MZT,NM2,NM3,RUJ
O76039_PF00069_13_297	1	38R
O76054_PF00650_81_243	4	2TX,PLM,SQL,VTQ
O76074_PF00233_612_846	23	24E,5BA,5BB,5BO,5CO,5EO,5GP,5IO,6LK,7CA,9M0,9T9,B0C,CIA,E6L,FZA,IBM,NI0,NI5,TGE,VDN,VIA,WAN
O76083_PF00233_311_542	15	0WF,0WL,49D,49E,5GP,7RG,9Q9,BYE,EZU,IBM,JAR,LUO,PCG,PDB,WTC
O94768_PF00069_33_293	6	38O,ADP,EBD,OBW,OD2,QUE
O94804_PF00069_36_294	12	1N1,274,38O,88Z,B6E,B96,DB8,G6I,GW8,R09,R70,XZN
O94925_PF04960_244_530	3	04A,BP0,BP9
O94953_PF02373_176_292	1	PD2
O95045_PF01048_60_310	1	BAU
O95057_PF00071_9_169	1	GDP
O95140_PF00350_99_259	1	GDP
O95154_PF00248_12_320	1	NDP
O95340_PF01583_41_199	1	ADP
O95340_PF01747_384_607	1	ADX
O95372_PF02230_11_228	2	71T,PMS
O95398_PF00027_265_349	1	CMP
O95445_PF11032_1_187	2	GYM,S1P
O95486_PF08033_744_828	1	CLT
O95568_PF13489_171_338	1	SAM
O95619_PF03366_42_122	2	RYD,ZHA
O95696_PF00439_571_654	30	8LW,8RA,8RM,8RP,8RS,8RV,8S7,8SA,8SD,8SG,8SS,8SV,8SY,8T1,8T7,8TD,8TG,8TJ,8TP,8TS,8TV,8TY,8U1,8U4,8U7,8UA,8UD,8UG,8UJ,TWL
O95696_PF00855_930_1044	1	4K8
O95716_PF00071_24_185	1	GDP
O95718_PF00104_237_416	1	2OH
O95747_PF00069_17_291	1	ANP
O95749_PF00348_9_251	2	BFQ,GRG
O95819_PF00069_25_289	14	2QT,2QU,2QV,3C8,3D8,3D9,3DC,3XM,4P4,4QG,5DF,6HH,9X4,ANP
O95822_PF05292_193_457	1	0OR
O96013_PF00069_321_572	20	23D,2OL,2OO,2OQ,4T6,67U,7KC,8FR,8FU,8FX,981,9EO,ANP,G5X,GC6,GCC,M77,N53,NJD,STU
O96017_PF00069_220_486	34	A9T,A9U,ADP,B4W,CWS,D1A,DBQ,H3R,HAU,HCW,LWH,NXP,ODH,ODO,P3J,RQQ,RU5,RU9,UPX,VFB,VGM,WTI,WTJ,WVI,XBJ,XK9,YCF,YIQ,YIR,YIT,Z0O,Z2M,ZAT,ZZK
O96028_PF00855_223_334	3	Q5D,V01,Y6V
P00325_PF00107_203_339	1	NAD
P00325_PF08240_34_161	2	BNF,HPL
P00326_PF00107_203_339	1	NAD
P00326_PF08240_34_161	1	FXY
P00338_PF00056_21_160	5	38Q,88N,NAD,NAI,TXD
P00338_PF02866_163_331	14	36U,36V,49C,6EY,D0Y,D3J,D3S,D47,D4A,D4J,D4S,GN0,GN2,W31
P00374_PF00186_4_185	54	06U,1QZ,1R0,21V,25U,3TU,3TZ,51P,63W,63Y,64J,65H,65J,65N,65O,65Q,684,9DR,9QO,9QR,CO4,COP,D2B,D2D,D2E,D2F,D2H,D2Q,DH1,DTM,DZF,FOL,G3V,G6Y,GHC,GHW,IXE,IXF,LIH,LII,MMV,MOT,MTX,MXA,NAP,NDP,NPX,OAG,PRD,TOP,TQD,TQT,TRR,VG9
P00387_PF00970_44_151	1	FAD
P00439_PF00351_119_449	9	3QI,DAH,H2B,H4B,HBI,LDP,LNR,TIH,XDE
P00441_PF00080_15_150	5	12I,5FW,ALE,LDP,ZZT
P00480_PF00185_187_341	1	PAO
P00491_PF01048_26_280	13	229,22A,2DI,2FD,3DG,AC2,D1V,DIH,GMP,IM5,IMH,MSG,NOS
P00492_PF00156_37_196	17	1RP,24H,25H,3L3,3L4,3L5,3L6,3L7,3L8,4X2,4X7,5GP,9YP,H26,IMU,SV2,WPG
P00519_PF07714_242_493	26	1N1,3YY,406,4B7,4ST,627,66K,7MP,919,9DP,ADP,AXI,AY7,DB8,FVC,GIN,HJ9,JIN,KWD,KWP,KWV,NIL,P16,PVB,STI,VX6
P00533_PF07714_712_968	118	03P,0UN,0WN,1C9,1E8,1WY,35Z,3LH,3QS,3QW,3QY,3R0,3R1,4YV,4YW,4YX,4Z8,4ZB,4ZG,4ZH,4ZJ,4ZQ,4ZR,57N,5N3,5N4,5Q2,5Q3,5Q4,5X4,5XH,60B,60D,60E,630,633,634,63A,63M,63N,6GY,6HJ,6HL,6JS,7G9,7XO,7XR,7XU,80U,816,81C,85X,8AM,8BM,8BP,8BS,8JC,8LU,8OV,9JO,9LL,ADP,AEE,AMP,ANP,AQ4,C6O,CKO,DJK,EUX,F62,FI3,FMM,FZP,HKI,HYZ,IRE,ITI,ITQ,JBJ,KJ8,KJQ,KJR,KJV,L0N,L1H,L1K,L3Z,N78,N7B,N7K,N7Q,N7W,N7Z,N82,NQ1,O44,O57,POX,Q6K,QP1,QP4,QP7,QQJ,QQM,R85,TOV,TQA,UEJ,VNS,VO7,W19,W2P,W2R,W32,XA4,YUN,YY3
P00558_PF00162_9_406	6	ACP,ADP,ATP,CDP,LA8,TZN
P00568_PF00406_13_169	2	AP5,B4P
P00734_PF00089_364_613	249	00K,00L,00N,00P,00Q,00R,02N,02P,062,06P,08D,0BM,0E7,0G6,0G7,0GJ,0IT,0IV,0NW,0ZE,0ZI,0ZJ,10P,10U,110,11U,120,121,12U,130,132,13U,14A,157,15U,162,163,165,166,167,16U,170,176,177,19U,1TS,1Z0,1ZV,21U,22U,23U,24U,26U,27U,29U,2CE,2FN,2TS,31U,32U,33U,348,34P,37U,382,3SP,3ZD,44U,45S,45U,46U,47A,49U,4CP,4ND,501,50U,51U,53U,5CB,64U,696,6OV,6TH,6V2,6XS,701,71F,71U,7R9,81A,894,895,896,897,91U,98P,99P,9MQ,9MU,9MX,ABN,ALZ,APA,AZL,B01,B03,B04,BAB,BAH,BAI,BEN,BJA,BLI,BM2,BM9,BMZ,BPP,BT1,BT2,BT3,BZT,C02,C1D,C1M,C24,C2A,C2D,C3M,C4M,C5M,C7M,CCR,CDA,CDB,CDD,CDO,CR9,D6J,D6Y,DFK,DI2,DI3,DI4,DI5,DKK,DKQ,DP7,DPN,ESH,ESI,EU5,F05,F25,FSN,GAH,GOZ,GR1,GR3,GR4,HBD,I11,I25,I26,I50,IGN,IH1,IH3,IN2,J3I,J5K,K73,KDQ,L02,L03,L17,L86,LXW,M18,M31,M32,M34,M41,M4Z,M67,M6Q,M6S,MD8,MDL,MEL,MID,MIN,MIT,MIU,MJH,MJK,MM9,MRQ,MUQ,MUZ,MVF,N12,N5N,N6L,NA9,NLI,O5Z,ODB,OQZ,P05,P97,PHV,PHW,PRL,QKE,QQE,QQK,QQN,QQT,QWE,R11,RA4,RA8,S00,S04,S28,S29,S33,S49,S54,SHY,SJR,SN3,SZ4,T15,T19,T29,T42,T76,T87,TIF,UET,UIB,UIP,UIR,UNB,WCE,WX5,Y4L
P00740_PF00089_227_454	14	0G6,0GJ,4K6,4LN,4M1,5NY,6NH,7GQ,IYX,IZX,NHE,PBZ,UQD,UQG
P00742_PF00089_235_462	127	0GJ,230,237,439,443,44I,455,461,48U,48W,4O1,4O4,4O5,4O6,4PP,4QC,5QC,63C,663,6PK,6XS,701,784,7R9,815,894,895,898,8NC,930,931,987,993,A7I,BI7,C0Z,CBB,CMB,CMI,D01,D14,D1Q,D46,D76,D90,D91,D92,D93,DT8,DX9,ENS,FFG,FI1,FJD,FXA,FXI,FXV,G15,GG2,GS5,GS6,GSI,GSJ,GSK,GSQ,GSV,GSX,H21,H22,H25,I1H,IIA,IIB,IIE,IK8,IMA,IVK,JNJ,L1C,L1D,LG0,LGJ,LGK,LGL,LGM,LZF,LZG,LZH,LZI,M35,M37,MBM,ME1,ME4,ME5,MZA,OYJ,PR2,R11,RDR,RIV,RPR,RR8,RRP,RRR,RTR,RUP,T87,VYR,XBV,XLC,XLD,XMA,XMB,XMC,XMD,XME,XMF,XMG,XMH,XMI,XMJ,XMK,XWG,Y5H,YET,Z34
P00746_PF00089_26_248	23	5W5,5WC,8NQ,8RT,8RW,8RZ,8S2,8S5,DIC,E7E,E7H,E7W,E82,E85,E88,E8B,J55,J56,J6T,J7B,M7O,QJS,SOA
P00747_PF00051_103_181	2	AMH,XO3
P00747_PF00051_185_262	1	AMH
P00747_PF00089_581_803	3	0GJ,89M,89S
P00748_PF00089_373_609	5	0G6,BEN,CWV,UJ7,UJA
P00749_PF00089_179_419	84	09I,0GJ,11E,120,123,130,132,133,134,135,136,155,172,1U2,1U9,1UP,239,27I,28I,2BS,2IN,2UP,303,30I,32I,426,438,497,4AL,4AZ,4PG,4UP,505,50I,5IN,655,675,696,6UP,745,7IN,7UP,7YF,7YR,8UP,94I,9UP,9X9,9XC,9XF,ABV,AGB,AMH,B25,BEN,BMZ,CR9,D55,D56,EAU,ESI,ESP,GBS,H55,HMX,L1O,L1R,P6G,PG6,PL0,PZH,QGG,QUE,SH1,SI1,SJ1,SK1,SL1,SM1,UI1,UI2,UI3,VG2,ZXI
P00750_PF00089_311_556	3	2Z0,BBA,BEN
P00751_PF00089_481_752	1	GBS
P00813_PF00962_10_350	1	3D1
P00915_PF00194_12_261	26	3TV,3UF,3UG,949,AAS,B30,BZW,CJK,D3B,EON,FLB,FO9,GZE,GZH,M25,M28,M29,N19,O4Z,O55,O5H,O5K,O5N,O5T,TOR,V14
P00918_PF00194_11_259	434	010,03T,067,0FZ,0TR,0VV,1CN,1EZ,1GD,1GO,1QV,2C7,3BS,3CC,3J3,3J4,3O1,3O5,3QR,3T7,3TV,3W3,3W6,3W8,45I,45L,47S,498,4J8,4JC,4JE,4K9,4KB,4KC,4KD,4SN,4SO,4TR,4TZ,4WA,510,51J,520,53X,5CX,5DT,5DU,5EF,5L2,5L3,5O5,5O6,5ON,5OO,5OT,5RD,5UM,5UN,5WM,5WN,62I,667,670,6J5,6LU,6M4,6YH,6YP,6ZX,72D,72E,72G,72H,75Y,7B1,7CZ,7MH,7O8,7Q1,7QS,7QV,7QY,7R1,7R4,7R7,7VZ,84A,86B,8F2,8F3,8GE,8GH,8HE,8HK,8JS,8V5,8V8,949,9AA,9DE,9DH,9E2,9E5,9E8,9EB,9FK,9HK,9TH,A57,A6N,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8,AL9,ANV,ARZ,AYX,B09,B15,B17,B19,B22,B30,BBJ,BC5,BE9,BEX,BEZ,BFG,BHO,BL1,BO1,BON,BOS,BOW,BSB,BVE,BX4,BZ1,BZU,C1H,CEL,CHD,COX,CQS,CTF,D02,D7A,D8W,D9H,D9Z,DA4,DAW,DF5,DHC,DT7,DT9,DWH,E02,E1E,E1F,E27,E2I,E36,E38,E49,E50,E59,E65,E90,EA3,EG1,EG2,ENN,EO7,ETS,EVD,EVE,EVF,EWW,EWY,EWZ,EZ1,EZL,F1A,F2B,F6B,F6W,FC5,FER,FF5,FFB,FFH,FK8,FKE,FKK,FKQ,FMH,FO9,FQV,FQY,FSB,FUN,GRE,GTQ,H1Z,HGB,HQT,HT4,HZJ,HZY,I7C,ID4,IE2,IL3,IL5,INL,INM,INQ,INV,INW,IO2,IOA,IOC,IOE,IOF,IT5,IW7,J04,J0A,J0K,J0N,J3V,J43,J45,J4D,J4K,J6V,J71,J74,J75,J90,JDR,JKE,JR8,JS7,JTW,K1W,K45,K4B,K4H,KBZ,KGK,KJ5,KKE,KKH,KL5,KLT,KPW,KR5,KRY,L1Q,L4K,L4Q,L4W,L8N,L9B,LBQ,LC1,LC8,LMS,LSA,LWT,LYQ,LZW,M25,M28,M29,M3T,M4S,M8J,M8S,M8V,MAJ,MB2,MB4,MB6,MB7,MBO,MG5,MHK,MIZ,MJ2,MJT,MNS,MPX,MS4,MS5,MTS,MUE,N7A,N7D,N7J,N7M,N7S,N7V,N84,N8A,NKX,NR2,O42,O48,O59,O60,OE2,OJ4,OQT,OQW,OSP,OY0,OYQ,OYS,P58,P75,P92,P9B,P9E,PHB,PIU,PMX,PO1,POF,PTS,PX7,Q64,Q6A,Q6D,Q71,Q77,Q7A,QYA,R21,R29,R2W,R8N,R8Q,RA1,RA9,RAK,RC4,RCS,RWH,RYJ,RYV,RYX,RYY,RYZ,RZ0,RZ1,RZ5,RZ7,RZ8,S2O,S6I,S8A,SAB,SAL,SBB,SBR,SBS,SBW,SG1,SG2,SG4,SG5,SG6,SG7,SMS,STB,SU0,SUA,SXS,TE1,TG4,TG5,TOR,TPD,TRU,TU0,TUO,U4V,U6V,U77,V13,V14,V1F,V21,V26,V49,V50,V51,V90,VD9,VGS,VGV,VJJ,VYV,VYY,VZ1,VZ4,VZ5,VZD,WW3,WWL,WWO,WWV,WWX,WWZ,WZA,WZB,WZC,X0Q,YI6,YIE,YIH,YIP,ZEC,ZOA,ZYX
P01009_PF00079_52_415	2	UKZ,UL2
P01111_PF00071_5_165	4	EZZ,GDP,GNP,GTP
P01112_PF00071_5_165	13	92V,AGN,CAG,DBG,EZZ,GCP,GDP,GNP,GSP,GTP,RV1,VJP,XY2
P01116_PF00071_5_165	72	05C,05F,05I,0QR,0QV,0QW,0QX,20G,20H,21C,21F,21J,21K,21M,21R,21S,21Y,22C,2XH,2XO,2XR,5UT,6ZD,8YA,8YD,8ZG,91D,91G,91S,92V,94C,94F,9GM,9LI,9R5,9RK,BEN,BZI,C8G,D1W,EWS,EZZ,F0N,GCP,GDP,GNP,GSP,GTP,JJQ,K9J,K9M,M1R,M1X,MKW,MKZ,MOV,MZN,MZQ,O5S,O5V,O5Y,O67,O7K,OHY,OJ1,P2Z,QH4,QME,QPD,QWB,QWH,Y9Z
P01889_PF00129_25_203	1	1KX
P02689_PF00061_6_132	2	PLM,VCA
P02743_PF00354_26_219	2	N7P,N8P
P02753_PF00061_39_188	9	2RY,2T1,2WL,DAO,ODT,OLA,PLM,REA,RTL
P02766_PF00576_32_139	1	FT0
P02768_PF00273_222_394	43	11D,1FL,308,6A4,6WF,7GE,9DN,9NE,9NF,9NR,ACD,AZQ,B3I,C1F,C7K,DAO,DIF,DIU,DKA,E5O,EIC,IBP,IDB,IMN,IMX,IO3,IOS,IPX,JEF,LPX,OCA,OLA,OPB,P1Z,P8S,PLM,R75,RWF,SAL,SAS,STE,SWF,T44
