Kinase pair (UniprotID1 - UniprotID2)	Max. TM-Score	Max. Seq. Id.	PocketVec distance	Exp. Prof. Jaccard Similarity
O14578-O14965	0.89092	31.489	0.1961	0.0
O14578-O14976	0.77866	35.593	0.1669	0.0
O14578-O15530	0.88664	38.258	0.1493	0.0
O14578-O43930	0.86944	33.051	0.1731	0.0
O14578-O75116	0.86934	33.475	0.1511	0.0
O14578-O75385	0.87955	32.636	0.1641	0.0
O14578-O75460	0.88845	36.029	0.1782	0.0
O14578-O76039	0.9604	45.324	0.2016	0.0
O14578-O94804	0.88743	31.325	0.18	0.0
O14578-O94806	0.88951	33.75	0.1321	0.0
O14578-O95819	0.86962	29.289	0.164	0.0
O14578-O95835	0.85528	34.173	0.1439	0.0
O14578-O96013	0.85662	35.865	0.1567	0.0
O14578-P05771	0.85533	34.177	0.1742	0.0
O14578-P11309	0.86009	33.065	0.1742	0.0
O14578-P11802	0.85232	36.052	0.1861	0.0
O14578-P17252	0.90482	34.016	0.1522	0.0
O14578-P17612	0.8981	35.319	0.1506	0.0
O14578-P19784	0.85389	36.325	0.1571	0.0
O14578-P22612	0.77816	27.969	0.1616	0.0
O14578-P22694	0.87311	34.025	0.2039	0.0
O14578-P23443	0.82813	34.016	0.202	0.0
O14578-P24723	0.78041	31.429	0.1967	0.0
O14578-P24941	0.82092	38.525	0.1412	0.0
O14578-P27361	0.82135	38.057	0.1538	0.0
O14578-P27448	0.80046	30.705	0.1394	0.0
O14578-P28482	0.83933	32.114	0.1582	0.0
O14578-P30291	0.84651	32.258	0.1834	0.0
O14578-P31749	0.83858	32.927	0.1574	0.0
O14578-P31751	0.82566	35.685	0.1986	0.0
O14578-P33981	0.82852	34.348	0.1752	0.0
O14578-P36507	0.84594	36.704	0.1765	0.0
O14578-P36896	0.77934	34.866	0.1756	0.0
O14578-P36897	0.91786	42.652	0.1657	0.0
O14578-P45983	0.88706	48.727	0.1824	0.0
O14578-P45984	0.83709	38.521	0.1578	0.0
O14578-P49137	0.86832	35.662	0.1724	0.0
O14578-P49759	0.83453	34.335	0.1742	0.0
O14578-P49760	0.82322	29.046	0.1648	0.0
O14578-P49761	0.87571	45.455	0.1863	0.0
O14578-P49840	0.83887	31.25	0.1751	0.0
O14578-P49841	0.81215	36.161	0.1902	0.0
O14578-P50613	0.72947	33.858	0.1363	0.0
O14578-P50750	0.81362	30.081	0.1668	0.0
O14578-P51817	0.86867	42.647	0.1548	0.0
O14578-P53350	0.84714	32.035	0.1709	0.0
O14578-P53779	0.86492	45.588	0.1749	0.0
O14578-P68400	0.83464	36.466	0.2209	0.0
O14578-Q00526	0.84058	34.211	0.195	0.0
O14578-Q00535	0.83072	37.447	0.1492	0.0
O14578-Q00536	0.85831	36.052	0.1773	0.0
O14578-Q02156	0.82453	40.351	0.1433	0.0
O14578-Q02750	0.81508	36.626	0.1503	0.0
O14578-Q04759	0.80938	34.413	0.1715	0.0
O14578-Q05655	0.7934	30.603	0.1966	0.0
O14578-Q13043	0.79197	32.743	0.1745	0.0
O14578-Q13131	0.73333	32.895	0.1859	0.0
O14578-Q13177	0.87495	39.781	0.1875	0.0
O14578-Q13188	0.80907	31.727	0.215	0.0
O14578-Q13464	0.82127	31.076	0.1639	0.0
O14578-Q13555	0.80951	31.452	0.1579	0.0
O14578-Q13557	0.88057	38.406	0.1803	0.0
O14578-Q13627	0.89422	44.128	0.191	0.0
O14578-Q13873	0.84585	35.169	0.1619	0.0
O14578-Q13976	0.83337	37.557	0.1746	0.0
O14578-Q14004	0.83801	33.04	0.1752	0.0
O14578-Q14680	0.86871	34.934	0.2263	0.0
O14578-Q15131	0.86839	31.933	0.1687	0.0
O14578-Q15759	0.86199	28.033	0.1772	0.0
O14578-Q15831	0.8878	36.864	0.1673	0.0
O14578-Q16512	0.87617	33.191	0.1423	0.0
O14578-Q16513	0.86379	27.801	0.1484	0.0
O14578-Q16539	0.87374	30.204	0.2145	0.0
O14578-Q16644	0.88253	30.769	0.1378	0.0
O14578-Q2M2I8	0.71012	31.418	0.1979	0.0
O14578-Q5VT25	0.86478	29.958	0.207	0.0
O14578-Q6A1A2	0.83905	31.507	0.1722	0.0
O14578-Q6P5Z2	0.88976	34.328	0.167	0.0
O14578-Q6PHR2	0.87671	31.429	0.1763	0.0
O14578-Q7KZI7	0.84079	32.184	0.1262	0.0
O14578-Q7L7X3	0.99409	72.555	0.1076	0.0
O14578-Q8N4C8	0.85686	34.583	0.1529	0.0
O14578-Q8NEV1	0.83128	32.5	0.1677	0.0
O14578-Q8TD08	0.83838	29.63	0.1654	0.0
O14578-Q8TDX7	0.89464	33.906	0.1373	0.0
O14578-Q92918	0.86983	34.914	0.1912	0.0
O14578-Q96GD4	0.87997	31.707	0.152	0.0
O14578-Q96L34	0.87875	29.461	0.1465	0.0
O14578-Q96NX5	0.86724	31.855	0.1364	0.0
O14578-Q96RR4	0.90074	35.786	0.1234	0.0
O14578-Q9H093	0.86778	37.402	0.1932	0.0
O14578-Q9H0K1	0.82096	32.51	0.2165	0.0
O14578-Q9H2K8	0.89503	28.689	0.1468	0.0
O14578-Q9HAZ1	0.88149	30.645	0.1174	0.0
O14578-Q9NQU5	0.87075	28.452	0.1852	0.0
O14578-Q9NSY1	0.86338	31.915	0.1783	0.0
O14578-Q9P289	0.82638	33.878	0.1904	0.0
O14578-Q9UBE8	0.75475	30.315	0.1487	0.0
O14578-Q9UK32	0.86772	33.871	0.1468	0.0
O14578-Q9UKE5	0.86029	32.955	0.1397	0.0
O14578-Q9UL54	0.87641	28.636	0.1388	0.0
O14578-Q9UPZ9	0.86749	32.766	0.1631	0.0
O14578-Q9Y243	0.86768	29.851	0.1851	0.0
O14578-Q9Y2K2	0.88638	31.298	0.221	0.0
O14578-Q9Y572	0.89088	34.348	0.1368	0.0
O14578-Q9Y5S2	0.85409	32.841	0.1554	0.0
O14578-Q9Y616	0.87228	28.829	0.1721	0.0
O14578-Q9Y6E0	0.74959	28.112	0.1763	0.0
O14757-O14965	0.87122	30.802	0.1759	0.0
O14757-O14976	0.85233	33.471	0.1664	0.0
O14757-O15530	0.88551	32.627	0.1875	0.0
O14757-O43930	0.89475	34.783	0.1865	0.0
O14757-O75116	0.88607	33.333	0.1622	0.0
O14757-O75385	0.71374	33.712	0.1643	0.0
O14757-O75460	0.86749	31.76	0.1971	0.0
O14757-O76039	0.88734	36.842	0.1611	0.0
O14757-O94804	0.84588	38.431	0.1778	0.0
O14757-O94806	0.87612	40.87	0.1534	0.0
O14757-O95819	0.87506	30.041	0.1709	0.0
O14757-O95835	0.84638	35.938	0.1493	0.0
O14757-O96013	0.88083	33.333	0.2164	0.0
O14757-P05771	0.82916	36.154	0.1773	0.0
O14757-P11309	0.73439	27.184	0.1793	0.0
O14757-P11802	0.78321	32.51	0.1327	0.0
O14757-P17252	0.74292	27.347	0.174	0.0
O14757-P17612	0.81914	35.391	0.171	0.0
O14757-P19784	0.79644	36.441	0.1513	0.0
O14757-P22612	0.74583	34.615	0.1964	0.0
O14757-P22694	0.75889	31.915	0.2166	0.0
O14757-P23443	0.76042	28.631	0.1884	0.0
O14757-P24723	0.74975	33.058	0.1813	0.0
O14757-P24941	0.87854	38.462	0.1549	0.0
O14757-P27361	0.89099	34.914	0.1772	0.0
O14757-P27448	0.85995	34.468	0.1655	0.0
O14757-P28482	0.87809	35.443	0.155	0.0
O14757-P30291	0.79838	33.065	0.1394	0.0
O14757-P31749	0.81952	32.258	0.1817	0.0
O14757-P31751	0.89084	30.0	0.1656	0.0
O14757-P33981	0.79857	32.787	0.142	0.0
O14757-P36507	0.86588	36.26	0.1591	0.0
O14757-P36896	0.82386	32.9	0.1952	0.0
O14757-P36897	0.89325	33.197	0.1591	0.0
O14757-P45983	0.88479	31.727	0.144	0.0
O14757-P45984	0.87212	31.667	0.1846	0.0
O14757-P49137	0.8311	31.276	0.1995	0.0
O14757-P49759	0.8583	32.971	0.1608	0.0
O14757-P49760	0.87619	33.333	0.153	0.0
O14757-P49761	0.86387	35.455	0.1743	0.0
O14757-P49840	0.865	30.741	0.1802	0.0
O14757-P49841	0.88562	30.712	0.1705	0.0
O14757-P50613	0.85616	36.122	0.1643	0.0
O14757-P50750	0.86753	34.562	0.152	0.0
O14757-P51817	0.75425	31.064	0.1703	0.0
O14757-P53350	0.78684	31.019	0.1779	0.0
O14757-P53779	0.80503	33.333	0.1377	0.0
O14757-P68400	0.89888	30.213	0.1764	0.0
O14757-Q00526	0.90163	31.25	0.1372	0.0
O14757-Q00535	0.88229	31.429	0.2009	0.0
O14757-Q00536	0.79505	32.787	0.1519	0.0
O14757-Q02156	0.818	33.333	0.1998	0.0
O14757-Q02750	0.90037	34.081	0.1485	0.0
O14757-Q04759	0.89533	30.932	0.1897	0.0
O14757-Q05655	0.80243	29.06	0.1481	0.0
O14757-Q13043	0.79026	31.39	0.1754	0.0
O14757-Q13131	0.86514	37.247	0.1877	0.0
O14757-Q13177	0.89598	33.898	0.1885	0.0
O14757-Q13188	0.819	30.126	0.2119	0.0
O14757-Q13464	0.89453	32.444	0.1575	0.0
O14757-Q13555	0.88293	31.452	0.1404	0.0
O14757-Q13557	0.86982	29.388	0.2034	0.0
O14757-Q13627	0.86224	31.02	0.1771	0.0
O14757-Q13873	0.82701	33.735	0.1942	0.0
O14757-Q13976	0.82557	37.297	0.1277	0.0
O14757-Q14004	0.85985	33.588	0.1816	0.0
O14757-Q14680	0.86921	29.958	0.1646	0.0
O14757-Q15131	0.88176	30.417	0.2143	0.0
O14757-Q15759	0.88029	30.252	0.1794	0.0
O14757-Q15831	0.99161	63.722	0.0979	0.0
O14757-Q16512	0.88247	33.051	0.1961	0.0
O14757-Q16513	0.7369	35.294	0.1947	0.0
O14757-Q16539	0.85003	34.468	0.2251	0.0
O14757-Q16644	0.90393	41.573	0.1856	0.0
O14757-Q2M2I8	0.86494	32.489	0.1938	0.0
O14757-Q5VT25	0.86129	30.631	0.1673	0.0
O14757-Q6A1A2	0.90715	34.799	0.1378	0.0
O14757-Q6P5Z2	0.85528	32.365	0.1378	0.0
O14757-Q6PHR2	0.75679	31.884	0.179	0.0
O14757-Q7KZI7	0.82681	34.0	0.1709	0.0
O14757-Q7L7X3	0.83003	31.507	0.1596	0.0
O14757-Q8N4C8	0.89683	33.333	0.1463	0.0
O14757-Q8NEV1	0.87345	33.471	0.1821	0.0
O14757-Q8TD08	0.88046	36.742	0.1588	0.0
O14757-Q8TDX7	0.88324	29.508	0.2015	0.0
O14757-Q92918	0.82338	25.591	0.1598	0.0
O14757-Q96GD4	0.88285	32.78	0.1663	0.0
O14757-Q96L34	0.84697	36.471	0.2076	0.0
O14757-Q96NX5	0.85044	29.752	0.1435	0.0
O14757-Q96RR4	0.82744	33.478	0.1782	0.0
O14757-Q9H093	0.87526	30.263	0.163	0.0
O14757-Q9H0K1	0.82488	33.475	0.1308	0.0
O14757-Q9H2K8	0.86296	31.304	0.1796	0.0
O14757-Q9HAZ1	0.88294	31.274	0.177	0.0
O14757-Q9NQU5	0.86726	27.985	0.2096	0.0
O14757-Q9NSY1	0.85883	33.755	0.1416	0.0
O14757-Q9P289	0.75037	29.577	0.197	0.0
O14757-Q9UBE8	0.82506	32.87	0.168	0.0
O14757-Q9UK32	0.83251	36.771	0.1574	0.0
O14757-Q9UKE5	0.89758	31.915	0.1356	0.0
O14757-Q9UL54	0.87152	32.099	0.1736	0.0
O14757-Q9UPZ9	0.88753	32.365	0.2085	0.0
O14757-Q9Y243	0.86691	26.568	0.1701	0.0
O14757-Q9Y2K2	0.82476	32.099	0.1559	0.0
O14757-Q9Y572	0.84962	33.955	0.2163	0.0
O14757-Q9Y5S2	0.85435	32.218	0.1511	0.0
O14757-Q9Y616	0.88331	31.646	0.1883	0.0
O14757-Q9Y6E0	0.88503	30.962	0.1578	0.0
O14965-O14976	0.89593	35.498	0.1798	0.0
O14965-O15530	0.88141	31.95	0.1669	0.0
O14965-O43930	0.79789	30.738	0.1568	0.0
O14965-O75116	0.81533	32.143	0.175	0.0
O14965-O75385	0.88317	32.245	0.1536	0.0
O14965-O75460	0.83262	31.599	0.1753	0.0
O14965-O76039	0.87645	29.596	0.1614	0.0
O14965-O94804	0.87647	34.599	0.1569	0.0
O14965-O94806	0.89037	34.978	0.1518	0.0
O14965-O95819	0.85085	34.962	0.1539	0.0
O14965-O95835	0.87129	32.227	0.1844	0.0
O14965-O96013	0.74753	25.0	0.1886	0.0
O14965-P05771	0.90093	36.271	0.1553	0.0
O14965-P11309	0.86755	32.653	0.1496	0.0
O14965-P11802	0.86703	29.084	0.1572	0.0
O14965-P17252	0.83721	30.932	0.1898	0.0
O14965-P17612	0.85569	25.703	0.1567	0.0
O14965-P19784	0.88886	34.335	0.165	0.0
O14965-P22612	0.87785	33.921	0.141	0.0
O14965-P22694	0.85742	27.309	0.146	0.0
O14965-P23443	0.87429	29.046	0.2057	0.0
O14965-P24723	0.88254	30.303	0.1524	0.0
O14965-P24941	0.7136	30.502	0.1778	0.0
O14965-P27361	0.86519	30.833	0.1998	0.0
O14965-P27448	0.88932	34.848	0.1692	0.0
O14965-P28482	0.84573	34.074	0.1666	0.0
O14965-P30291	0.818	34.191	0.1711	0.0
O14965-P31749	0.86471	35.115	0.187	0.0
O14965-P31751	0.84085	34.818	0.1652	0.0
O14965-P33981	0.8674	35.345	0.2039	0.0
O14965-P36507	0.86492	32.365	0.1599	0.0
O14965-P36896	0.83518	35.931	0.1575	0.0
O14965-P36897	0.78959	33.077	0.1955	0.0
O14965-P45983	0.81839	32.218	0.1989	0.0
O14965-P45984	0.92497	55.516	0.1879	0.0
O14965-P49137	0.88865	62.989	0.1665	0.0
O14965-P49759	0.84292	32.766	0.1627	0.0
O14965-P49760	0.83751	34.802	0.1377	0.0
O14965-P49761	0.82842	31.25	0.1408	0.0
O14965-P49840	0.83922	36.585	0.247	0.0
O14965-P49841	0.88969	29.508	0.1424	0.0
O14965-P50613	0.82088	28.98	0.1832	0.0
O14965-P50750	0.86101	35.321	0.1364	0.0
O14965-P51817	0.83915	32.287	0.1555	0.0
O14965-P53350	0.88116	32.143	0.1676	0.0
O14965-P53779	0.88906	29.508	0.1681	0.0
O14965-P68400	0.87373	31.356	0.1625	0.0
O14965-Q00526	0.79967	30.488	0.1303	0.0
O14965-Q00535	0.83355	31.12	0.1821	0.0
O14965-Q00536	0.86901	33.475	0.1817	0.0
O14965-Q02156	0.89278	28.39	0.1515	0.0
O14965-Q02750	0.83078	35.918	0.1638	0.0
O14965-Q04759	0.84452	35.458	0.1723	0.0
O14965-Q05655	0.80855	30.705	0.1722	0.0
O14965-Q13043	0.79748	36.073	0.1743	0.0
O14965-Q13131	0.74811	39.904	0.1935	0.0
O14965-Q13177	0.87369	39.711	0.1897	0.0
O14965-Q13188	0.81373	30.802	0.2166	0.0
O14965-Q13464	0.82219	33.054	0.1785	0.0
O14965-Q13555	0.80761	35.0	0.1973	0.0
O14965-Q13557	0.88095	40.433	0.2174	0.0
O14965-Q13627	0.85784	40.0	0.1983	0.0
O14965-Q13873	0.89948	49.097	0.2494	0.0
O14965-Q13976	0.87035	46.57	0.1738	0.0
O14965-Q14004	0.8102	31.818	0.1739	0.0
O14965-Q14680	0.7401	31.923	0.1684	0.0
O14965-Q15131	0.86066	37.226	0.1743	0.0
O14965-Q15759	0.81517	38.43	0.1621	0.0
O14965-Q15831	0.81434	38.655	0.1771	0.0
O14965-Q16512	0.80469	33.484	0.151	0.0
O14965-Q16513	0.82923	34.286	0.1777	0.0
O14965-Q16539	0.84176	36.864	0.1755	0.0
O14965-Q16644	0.86761	29.583	0.1504	0.0
O14965-Q2M2I8	0.77818	29.218	0.1352	0.0
O14965-Q5VT25	0.7965	32.889	0.1461	0.0
O14965-Q6A1A2	0.8555	32.773	0.1813	0.0
O14965-Q6P5Z2	0.88964	37.795	0.1618	0.0
O14965-Q6PHR2	0.85158	37.546	0.1643	0.0
O14965-Q7KZI7	0.76419	28.936	0.1646	0.0
O14965-Q7L7X3	0.78963	27.778	0.171	0.0
O14965-Q8N4C8	0.80347	27.126	0.1835	0.0
O14965-Q8NEV1	0.86484	30.488	0.1814	0.0
O14965-Q8TD08	0.83094	31.02	0.1847	0.0
O14965-Q8TDX7	0.72651	30.472	0.1587	0.0
O14965-Q92918	0.84288	31.839	0.222	0.0
O14965-Q96GD4	0.83072	33.333	0.1606	0.0
O14965-Q96L34	0.89152	42.456	0.2012	0.0
O14965-Q96NX5	0.85783	27.459	0.1797	0.0
O14965-Q96RR4	0.83792	34.31	0.1842	0.0
O14965-Q9H093	0.83548	34.703	0.1882	0.0
O14965-Q9H0K1	0.86252	30.204	0.1773	0.0
O14965-Q9H2K8	0.85209	28.455	0.1786	0.0
O14965-Q9HAZ1	0.77263	33.058	0.1693	0.0
O14965-Q9NQU5	0.82942	29.555	0.1696	0.0
O14965-Q9NSY1	0.87535	33.778	0.1557	0.0
O14965-Q9P289	0.8772	31.39	0.1771	0.0
O14965-Q9UBE8	0.83054	33.032	0.1537	0.0
O14965-Q9UK32	0.87746	35.273	0.1677	0.0
O14965-Q9UKE5	0.82009	29.796	0.1636	0.0
O14965-Q9UL54	0.8968	28.39	0.1437	0.0
O14965-Q9UPZ9	0.87142	32.377	0.1575	0.0
O14965-Q9Y243	0.86253	28.926	0.1563	0.0
O14965-Q9Y2K2	0.83848	32.51	0.1885	0.0
O14965-Q9Y572	0.86895	35.521	0.1625	0.0
O14965-Q9Y5S2	0.85739	31.933	0.1775	0.0
O14965-Q9Y616	0.86456	31.602	0.1528	0.0
O14965-Q9Y6E0	0.85138	30.864	0.1504	0.0
O14976-O15530	0.86321	37.795	0.1791	0.0
O14976-O43930	0.90073	29.588	0.1649	0.0
O14976-O75116	0.88769	31.022	0.1428	0.0
O14976-O75385	0.85088	33.188	0.16	0.0
O14976-O75460	0.77963	29.528	0.1583	0.0
O14976-O76039	0.85123	36.402	0.1632	0.0
O14976-O94804	0.82807	33.484	0.1672	0.0
O14976-O94806	0.88783	31.818	0.1602	0.0
O14976-O95819	0.88056	31.535	0.1319	0.0
O14976-O95835	0.80714	32.645	0.1826	0.0
O14976-O96013	0.81711	33.333	0.1629	0.0
O14976-P05771	0.83063	36.929	0.1698	0.0
O14976-P11309	0.86096	34.177	0.1676	0.0
O14976-P11802	0.81659	36.694	0.1681	0.0
O14976-P17252	0.78217	32.468	0.1742	0.0
O14976-P17612	0.88707	37.109	0.1422	0.0
O14976-P19784	0.82485	31.25	0.2035	0.0
O14976-P22612	0.88532	30.041	0.1738	0.0
O14976-P22694	0.91378	32.231	0.1543	0.0
O14976-P23443	0.88142	37.083	0.1785	0.0
O14976-P24723	0.86314	32.906	0.1831	0.0
O14976-P24941	0.9059	35.443	0.1652	0.0
O14976-P27361	0.86997	31.984	0.1791	0.0
O14976-P27448	0.82802	29.778	0.1677	0.0
O14976-P28482	0.76404	36.771	0.1477	0.0
O14976-P30291	0.89291	40.449	0.1449	0.0
O14976-P31749	0.86378	30.508	0.1751	0.0
O14976-P31751	0.87045	31.356	0.1525	0.0
O14976-P33981	0.87579	34.553	0.1934	0.0
O14976-P36507	0.8927	40.226	0.1832	0.0
O14976-P36896	0.94955	46.739	0.1886	0.0
O14976-P36897	0.83582	28.226	0.2216	0.0
O14976-P45983	0.9176	32.099	0.1867	0.0
O14976-P45984	0.80627	37.963	0.1889	0.0
O14976-P49137	0.80559	33.906	0.1245	0.0
O14976-P49759	0.81689	29.675	0.1972	0.0
O14976-P49760	0.85525	32.353	0.1788	0.0
O14976-P49761	0.77098	28.017	0.1806	0.0
O14976-P49840	0.83475	27.386	0.1846	0.0
O14976-P49841	0.83539	37.885	0.166	0.0
O14976-P50613	0.91443	30.29	0.163	0.0
O14976-P50750	0.8768	29.787	0.1684	0.0
O14976-P51817	0.93223	37.729	0.1653	0.0
O14976-P53350	0.89078	28.099	0.1999	0.0
O14976-P53779	0.82681	31.837	0.1687	0.0
O14976-P68400	0.87754	35.443	0.1817	0.0
O14976-Q00526	0.91301	40.37	0.2244	0.0
O14976-Q00535	0.85044	31.092	0.1741	0.0
O14976-Q00536	0.83054	34.091	0.144	0.0
O14976-Q02156	0.88535	29.032	0.1991	0.0
O14976-Q02750	0.88753	37.037	0.1572	0.0
O14976-Q04759	0.88427	30.081	0.2054	0.0
O14976-Q05655	0.91101	29.876	0.1831	0.0
O14976-Q13043	0.90299	35.565	0.1733	0.0
O14976-Q13131	0.9	34.286	0.1521	0.0
O14976-Q13177	0.80548	34.711	0.1735	0.0
O14976-Q13188	0.94343	43.011	0.1722	0.0
O14976-Q13464	0.79106	31.076	0.1776	0.0
O14976-Q13555	0.85245	41.304	0.1951	0.0
O14976-Q13557	0.8399	34.298	0.1642	0.0
O14976-Q13627	0.80362	34.404	0.2078	0.0
O14976-Q13873	0.83895	32.8	0.1883	0.0
O14976-Q13976	0.84711	35.496	0.1703	0.0
O14976-Q14004	0.8314	33.607	0.162	0.0
O14976-Q14680	0.85702	33.761	0.2405	0.0
O14976-Q15131	0.84216	34.008	0.2049	0.0
O14976-Q15759	0.82162	32.636	0.1822	0.0
O14976-Q15831	0.75299	36.842	0.1967	0.0
O14976-Q16512	0.85658	33.745	0.1722	0.0
O14976-Q16513	0.82341	37.083	0.1982	0.0
O14976-Q16539	0.77209	37.238	0.1412	0.0
O14976-Q16644	0.86188	35.217	0.176	0.0
O14976-Q2M2I8	0.85361	43.369	0.182	0.0
O14976-Q5VT25	0.8484	37.175	0.1717	0.0
O14976-Q6A1A2	0.84357	33.2	0.2228	0.0
O14976-Q6P5Z2	0.83178	34.156	0.2345	0.0
