Compound set	Compound name	MW
LLM	Asinex ASN 01157533	373.07713774408995
LLM	Lithuania 1070054	360.1473925
LLM	Chembridge 6073872	348.02478784
LLM	Nanosyn NS40942	380.1194635
LLM	Chembridge 7971670	429.11471246800005
LLM	Akos AKB-TOS-0863	303.098332044
LLM	Bionet 5G-375S	321.03681268
LLM	Chemdiv 6228-2448	288.13615912
LLM	Lithuania 2945184	323.05694140800006
LLM	Chembridge 6299855	407.078516988
LLM	Tripos 1554-03007	329.028870176
LLM	Nanosyn NS24355	383.069113448
LLM	Asinex BAS 02903336	444.054670324
LLM	Chembridge 6457638	276.116172624
LLM	Chembridge 6441506	320.063091496
LLM	BiotechCA 65484P	273.092041812
LLM	Chembridge 6527077	359.19573966
LLM	Chembridge 6576045	406.10996143599994
LLM	Nanosyn NS30611	403.11682064400003
LLM	Chembridge 6720926	333.147726848
LLM	Lithuania 1050567	401.03682918791
LLM	Chemdiv 1680-0001	438.057904568
LLM	Chembridge 5347798	275.07130636799997
LLM	Maybridge SEW 00721	338.993233616
LLM	Specs AE-641/30151023	404.11476848000007
LLM	Bionet 10W-0283	296.08307799199997
LLM	Tripos 1524-18765	350.199428072
LLM	Chemdiv K087-0017	363.02185340799997
LLM	Chembridge 6633333	382.08997494
LLM	Chembridge 7057431	447.123048896
LLM	Enamine T0517-2553	385.05548334
LLM	Chembridge 7073016	329.10519334
LLM	Chembridge 5733802	428.096141212
LLM	Chembridge 5707467	394.135113564
LLM	Chembridge 7188365	416.155849008
LLM	Chembridge 7200754	322.131742436
LLM	Chembridge 7236511	310.000469944
LLM	Specs AN-698/41889423	414.134634896
LLM	Chembridge 7318245	323.064985404
LLM	Chembridge 7972076	284.1194635
LLM	Chembridge 6094241	232.096025624
LLM	Chembridge 9013729	371.11037603599993
LLM	Bionet 10K-385S	436.04599746
LLM	Cerep CER0102355	352.061469956
LLM	Chembridge 7634772	415.126694796
LLM	InterBioScreen STOCK4S-11574	341.08307534791
LLM	Chembridge 5364857	252.126263132
LLM	Chembridge 7714118	267.059696128
LLM	Asinex BAS 05600391	393.118083596
LLM	Asinex ASN 03271166	432.204907376
LLM	Chembridge 7800587	372.094391624
LLM	Specs AP-828/41113643	438.16132831199997
LLM	Life Chemicals F0917-0780	410.0867194
LLM	Specs AN-979/41971488	302.05894453591003
LLM	Chembridge 7926257	443.122752288
LLM	MDPI 16272	247.099714036
LLM	Chembridge 7792467	385.03868591199995
LLM	Chembridge 7896597	302.163042564
LLM	Tripos 1533-12763	309.063506096
LLM	Specs AN-329/12267165	303.10260649599996
LLM	Chembridge 7978910	402.16132831199997
LLM	Chembridge 5547298	357.058340464
LLM	Chembridge 7966844	409.120860468
LLM	Chembridge 7969860	276.12963426
LLM	Chembridge 7954201	298.168127944
LLM	Chembridge 7964340	406.15624293199994
LLM	Bionet 8K-348S	434.025868732
LLM	Chembridge 7966080	311.152143532
LLM	Chembridge 7967115	326.126657056
LLM	Chembridge 7973306	346.135113564
LLM	Comgenex CGX-3121964	401.140927216
LLM	Chemical Block A3537/0149853	433.146012596
LLM	Chembridge 7979449	359.06728360799997
LLM	Chembridge 6368284	389.119797848
LLM	Chembridge 7986452	357.06475818791
LLM	Chem T&I ALBK0010503	361.982152784
LLM	Comgenex CGX-3077626	425.1652238159999
LLM	Tripos 1514-11337	418.07608005209
LLM	Bionet 8E-034	371.064838996
LLM	InterBioScreen STOCK5S-21287	387.09858373599997
LLM	Chembridge 9001855	449.15061930799993
LLM	Chembridge 9003491	387.16166266000005
LLM	Chemdiv 1683-5131	331.097521116
LLM	Bionet 8H-311S	291.072927908
LLM	Menai H6260	434.09364267599994
LLM	Bionet 9J-554S	347.08274364400006
LLM	Biofocus 153_2154_5814_4008	243.137162164
LLM	Bionet 9P-592S	365.027727304
LLM	Enamine T0509-8556	419.087053748
LLM	TimTec ST5008865	447.12373586399997
LLM	Chemdiv 4286-0269	180.089877624
LLM	Princeton Biomolecular OSSK_562187	389.217537724
LLM	Chemical Block A3393/0143990	415.19948764799994
LLM	Chem T&I AMSACS-01505	383.030681744
LLM	Chemical Block A3422/0145204	328.09389412791
LLM	Chembridge 7491796	264.16051714391
LLM	Chemical Block A3657/0155038	333.136493468
LLM	Life Chemicals F1374-0110	317.036732428
LLM	Chemical Block A3500/0148375	423.057671768
LLM	InterBioScreen STOCK5S-94055	422.15901980399997
LLM	Chemical Block A3577/0151844	361.14601259600005
LLM	Chem T&I AMSACS-14707	329.053335336
LLM	Asinex ASN 07468703	331.179695672
LLM	Chemical Block A3562/0151082	290.09464307591
LLM	Princeton Biomolecular OSSK_592875	367.17835828
LLM	Chemical Block A3692/0156694	340.139621752
LLM	InterBioScreen STOCK2S-86939	347.152143532
LLM	BiotechCA 18990P	330.03387265991
LLM	Chemical Block A3745/0158698	221.0874351
LLM	Chemical Block A3695/0156801	383.16451978399994
LLM	Specs AN-023/41671827	434.15901980399997
LLM	Akos AKO47766	316.15756325999996
LLM	Asinex ASN 01269328	344.26963912809
LLM	Asinex BAS 02324695	413.078030352
LLM	Asinex ASN 02532959	411.04598127599996
LLM	Asinex ASN 02593200	381.17435884009
LLM	Chem T&I SHCLME-034490	338.120132196
LLM	Asinex ASN 03109564	225.020812084
LLM	Asinex ASN 03272736	445.16241160799996
LLM	Asinex ASN 03365393	385.218783612
LLM	Asinex ASN 03365236	399.14167616399993
LLM	Asinex ASN 03367965	427.19623715609
LLM	Life Chemicals F1822-0016	326.072513308
LLM	Asinex ASN 03878501	443.19911078800004
LLM	Asinex ASN 03798095	394.21588930408996
LLM	Asinex ASN 03430691	415.16781066
LLM	Asinex ASN 03430797	427.16781066
LLM	Asinex ASN 04028477	371.141595912
LLM	Specs AG-690/11303140	283.112090288
LLM	Asinex ASN 05588396	352.068176876
LLM	Asinex ASN 04454657	368.167082388
LLM	Asinex ASN 04189013	449.20957871209
LLM	Asinex ASN 04448059	448.10063638390994
LLM	Chembridge 7928511	419.00515778799996
LLM	Asinex ASN 04479736	401.152160596
LLM	Life Chemicals F0579-0521	427.082447036
LLM	Specs AF-399/40827552	366.16266570399995
LLM	InterBioScreen STOCK1S-87980	349.09839370800006
LLM	Asinex ASN 05346210	396.21941512409
LLM	Toslab 44086	314.23392231609
LLM	Asinex BAS 05101595	396.183778008
LLM	Asinex ASN 05106624	410.199428072
LLM	Asinex ASN 05108157	394.18925731199994
LLM	Asinex ASN 05110337	434.127799928
LLM	Asinex ASN 05211765	398.20743279608996
LLM	Asinex ASN 05317597	412.084140612
LLM	Asinex ASN 05343028	404.061296992
LLM	Asinex ASN 05555492	416.268845024
LLM	Asinex ASN 05552356	435.28668616008997
LLM	Asinex ASN 05556807	441.23973596809
LLM	Asinex ASN 05588575	418.10996143599994
LLM	Asinex ASN 05670151	333.151097976
LLM	Asinex ASN 05812854	421.09933268400005
LLM	Asinex ASN 05812696	327.19467704
LLM	Asinex ASN 05917937	388.136925132
LLM	Asinex ASN 05988224	359.110376036
LLM	Asinex ASN 05919881	355.135447912
LLM	Asinex ASN 05923343	392.110710384
LLM	Asinex ASN 03929945	290.120132196
LLM	Asinex ASN 02617640	397.103102228
LLM	Asinex ASN 03155338	390.151432324
LLM	Chemical Block A3816/0161993	362.120132196
LLM	Asinex ASN 06290999	442.12750331999996
LLM	Asinex ASN 06116813	437.185174976
LLM	Asinex ASN 06116690	399.20591042
LLM	Asinex ASN 06146755	442.12954951599994
LLM	Asinex ASN 06153608	431.167890912
LLM	Asinex ASN 06217805	336.111006992
LLM	Asinex ASN 06235439	381.20524172399996
LLM	Asinex ASN 06459988	384.20818174409004
LLM	Asinex ASN 06563172	448.19329713599996
LLM	Asinex ASN 06484006	447.159434404
LLM	Chembridge 5348735	331.16523363609
LLM	Asinex ASN 04371767	420.12561149999993
LLM	Asinex ASN 06593838	394.182732452
LLM	Asinex ASN 06601079	400.172167768
LLM	Asinex ASN 06748704	437.07540367999997
LLM	Asinex ASN 06919209	446.186652196
LLM	Asinex ASN 06942065	423.152909544
LLM	Asinex ASN 07029028	425.211469976
LLM	Maybridge HTS 11995	301.13274548
LLM	Asinex ASN 07101930	354.160437448
LLM	Asinex ASN 07184508	378.09506032
LLM	Pyxis Discovery PYX 00000658	332.173607248
LLM	Asinex ASN 08268002	213.18411235599999
LLM	Bionet JS-2104	366.11792276809
LLM	Asinex ASN 08910136	317.156183356
LLM	Asinex ASN 08912970	398.166413692
LLM	Asinex ASN 06745065	296.17494464
LLM	Tripos 1547-00087	350.22055744
LLM	Asinex ASN 09067470	326.143056068
LLM	Asinex ASN 09646853	320.01347420800005
LLM	Pyxis Discovery PYX 00003417	425.17721596408995
LLM	Comgenex CGX-3338747	328.104562384
LLM	Chem T&I NSB 0053535	326.045819892
LLM	Asinex BAS 00915964	417.194008344
LLM	Asinex BAS 02833814	416.188211756
LLM	Sigma-Aldrich (SALOR) R948357	290.105527688
LLM	Princeton Biomolecular OSSK_501436	340.23833900009
LLM	Princeton Biomolecular OSSK_188329	251.17461029199998
LLM	Life Chemicals F0658-0040	307.151846924
LLM	Asinex ASN 04361294	400.05852012
LLM	Enamine T0508-5545	318.06040789209
LLM	Asinex ASN 02255158	446.14126156399993
LLM	Nanosyn NS64285	293.04239323591
LLM	Asinex BAS 04385923	375.16166266000005
LLM	Asinex BAS 03373649	429.0980971
LLM	Asinex BAS 05288650	408.091055832
LLM	InterBioScreen STOCK4S-99950	398.121275068
LLM	Asinex BAS 06989506	305.10439923591
LLM	Sigma-Aldrich (SALOR) L305952	274.086603812
LLM	Akos LT-1156 X 160	286.18015542808996
LLM	Akos LT-1014 X 1286	318.12553301209005
LLM	Comgenex CGX-2051716	281.152812228
LLM	Cerep CER0116166	388.046395876
LLM	Cerep CER0127975	391.164439532
LLM	Cerep CER0129634	369.12440456
LLM	Cerep CER0131510	431.165662656
LLM	Cerep CER0136128	234.136827816
LLM	Cerep CER0136478	441.241627232
LLM	Cerep CER0136590	448.25946836809
LLM	Asinex BAS 00854204	407.06148768008995
LLM	Chemstar CHS 1863390	380.01603975600005
LLM	Chembridge 5366957	334.0542764
LLM	Chemdiv 8006-9697	375.15584692
LLM	Art-Chem UZI/9686734	431.18450628
LLM	Chemstar CHS 2706706	399.17135475199996
LLM	Chemstar CHS 3324980	362.990633532
LLM	Chemstar CHS 3182093	364.14780974409
LLM	A-Synthese-Biotech EX-14747	429.088019052
LLM	Chem T&I NSB 0016660	319.99605326
LLM	Enamine T0505-3810	338.15101507991
LLM	Life Chemicals F3032-0094	355.132076784
LLM	Comgenex CGX-2212473	412.16893911208996
LLM	Biofocus 335_8213_2120_6008	317.06411281199996
LLM	Chemdiv K786-8233	317.08524218
LLM	Aurora ka-06178	283.97965424800003
LLM	Aurora ka-06959	200.120115132
LLM	Otava 7016350283	383.07535178009
LLM	Chembridge 5266990	287.13095274009
LLM	Akos LT-992 X 0028	198.10440364408998
LLM	Chem T&I AMCLME-05623	194.13395418409
LLM	Chembridge 5425656	303.18557515609
LLM	Akos LT-1098 X 5444	368.06559562009
LLM	Akos LT-1074 X 1632	352.17067219218
LLM	Akos LT-1098 X 6746	386.120504824
LLM	Akos LT-1098 X 6638	252.183778008
LLM	Akos LT-1098 X 3422	220.19394876799998
LLM	Akos LT-1125 X 122	290.179441576
LLM	FCHC 33321	113.084063972
LLM	Akos OWH-S11-1500	362.17755031209003
LLM	ASDI PPD41459	229.146664228
LLM	Maybridge NRB 04458	286.96156166
LLM	InterBioScreen STOCK2S-01673	253.085126592
LLM	Lithuania 1067744	378.137970688
LLM	EMC Microcollections 011A0558	308.132491384
LLM	EMC Microcollections 009B3724	266.18630342809
LLM	EMC Microcollections 009B3203	342.21760355609
LLM	EMC Microcollections 009B3958	306.16123155209004
LLM	EMC Microcollections 009B3204	379.17646701609004
LLM	EMC Microcollections 010F0628	416.23325362009
LLM	Labotest LT02086351	249.066889684
LLM	EMC Microcollections 013A0485	324.09318732809
LLM	EMC Microcollections 001A3586	418.14634694399996
LLM	Lithuania 1051206	367.09906240400005
LLM	Lithuania 1112266	387.033206608
LLM	Labotest LT00057534	319.09906240400005
LLM	FCHC 14695	392.155849008
LLM	Lithuania 1522224	352.11579576400004
LLM	FCHC 15290	337.142641468
LLM	Chembridge 6356470	427.99271746799997
LLM	InterBioScreen STOCK3S-57615	298.13724506009
LLM	Chembridge 5532542	308.073182004
LLM	Lithuania 1821883	405.168856216
LLM	Lithuania 1822683	435.139447908
LLM	Akos LT-1156 X 057	284.08481107209
LLM	FCHC 21103	250.156894564
LLM	FCHC 21482	368.14845511999994
LLM	ASDI PPD69504	419.05202949209
LLM	FCHC 29303	303.137162164
LLM	Lithuania 2944789	417.09586884400005
LLM	Chembridge 7919494	378.076216696
LLM	FCHC 1801	254.15394068009
LLM	FCHC 34829	384.17402449209
LLM	Pharmeks PHAR109475	274.21654093609
LLM	FCHC 11162	342.148061196
LLM	Comgenex CGX-3116471	373.182398104
LLM	Comgenex CGX-0745899	425.25471733609004
LLM	Comgenex CGX-0743745	395.220891788
LLM	Comgenex CGX-0819613	441.160993964
LLM	Comgenex CGX-0819868	405.160993964
LLM	Comgenex CGX-0821210	412.12683462399997
LLM	Asinex ASN 08744822	345.128883224
LLM	Comgenex CGX-3032153	387.13824361209004
LLM	Comgenex CGX-2069179	437.22349746008996
LLM	Comgenex CGX-2100130	379.18959166
LLM	Comgenex CGX-2107108	375.16166266000005
LLM	Comgenex CGX-0785577	415.225977168
LLM	Comgenex CGX-2135332	346.171499072
LLM	Comgenex CGX-2135342	414.11687665600004
LLM	Tripos 1525-22010	438.12494280399994
LLM	Comgenex CGX-2175578	293.18596908009
LLM	Comgenex CGX-2205814	410.139720276
LLM	Comgenex CGX-2214971	416.20123964000004
LLM	Comgenex CGX-0740668	396.19615426
LLM	Comgenex CGX-0746446	390.186732448
LLM	Comgenex CGX-3091685	388.11471038
LLM	Comgenex CGX-3091238	399.158291532
LLM	Comgenex CGX-3084902	382.09639266391
LLM	Comgenex CGX-3127127	428.107374592
LLM	Comgenex CGX-3100926	446.20846853200004
LLM	Comgenex CGX-3123224	389.157326228
LLM	Comgenex CGX-3187025	427.11232952
LLM	Comgenex CGX-3215469	434.178789944
LLM	Comgenex CGX-3230780	265.07726434
LLM	Comgenex CGX-3231441	434.13002818399997
LLM	Comgenex CGX-3232108	339.029619124
LLM	Comgenex CGX-3233812	390.080491148
LLM	Comgenex CGX-3244824	394.2368762
LLM	Comgenex CGX-3338016	377.15732622799993
LLM	Life Chemicals F0060-0019	310.017890892
LLM	Life Chemicals F0326-0247	374.024038892
LLM	Chem T&I NSB 0030424	289.07726434
LLM	Tripos 1547-01093	365.11819513609
LLM	Life Chemicals F0417-0114	418.0324954
LLM	Life Chemicals F0526-0400	377.13296820409
LLM	Life Chemicals F0526-1817	410.09914530008996
LLM	Life Chemicals F0529-0304	361.05548333999997
LLM	Life Chemicals F0541-0321	401.060090052
LLM	Life Chemicals F0396-0052	381.11471246799994
LLM	Maybridge KM 07923	237.12257472
LLM	Life Chemicals F0549-0320	395.014282732
LLM	Life Chemicals F0558-0073	393.0980971
LLM	Life Chemicals F0560-0107	374.143056068
LLM	Enamine T0509-8695	419.130362532
LLM	Life Chemicals F0599-0384	404.994673356
LLM	Life Chemicals F0611-0043	354.113505528
LLM	Life Chemicals F0630-0410	350.070068696
LLM	Life Chemicals F0650-0058	348.104482132
LLM	Life Chemicals F0653-0030	391.14668129200004
LLM	Life Chemicals F0653-0278	435.17289604
LLM	Life Chemicals F0655-0634	402.22097468409
LLM	Life Chemicals F0687-0356	423.19909428009004
LLM	Life Chemicals F0656-0657	378.12405194
LLM	Life Chemicals F0656-0633	352.16477388
LLM	Life Chemicals F0662-0414	382.119653528
LLM	Life Chemicals F0670-0178	416.155849008
LLM	Life Chemicals F0670-0327	357.139864596
LLM	Life Chemicals F0676-0365	385.13725948
LLM	Life Chemicals F0679-0260	397.07418055600004
LLM	Life Chemicals F0679-0193	350.09343878
LLM	Asinex BAS 05099862	389.13103122800004
LLM	Life Chemicals F0638-0654	426.04815105209
LLM	Life Chemicals F0694-0491	423.004095168
LLM	Life Chemicals F0698-0310	386.050732308
LLM	Life Chemicals F0698-0276	355.081304164
LLM	Life Chemicals F0699-0081	294.080455812
LLM	Life Chemicals F0541-1388	373.045188936
LLM	Life Chemicals F0778-0231	426.09979067599994
LLM	FCHC 14816	393.000055344
LLM	Biofocus 293_7591_6670	341.14272172
LLM	Life Chemicals F1298-0613	411.0211177
LLM	Life Chemicals F1359-1195	425.02707567199997
LLM	InterBioScreen STOCK5S-70232	430.10209918399994
LLM	Life Chemicals F1605-0499	429.06623805199996
LLM	Life Chemicals F1608-0478	377.20922994418
LLM	Life Chemicals F2015-0300	439.15320615200005
LLM	Princeton Biomolecular OSSK_554172	407.076218784
LLM	Life Chemicals F1804-0032	366.0263474
LLM	Life Chemicals F1804-0153	391.066048024
LLM	InterBioScreen STOCK5S-43187	349.097502844
LLM	Life Chemicals F1801-0075	309.11134134
LLM	Life Chemicals F1812-0040	425.113330476
LLM	Life Chemicals F1812-0109	430.14232418399996
LLM	Life Chemicals F1300-0264	234.082684068
LLM	Life Chemicals F1816-1148	286.113984196
LLM	Life Chemicals F0566-0293	433.09301172
LLM	Life Chemicals F1857-0019	354.12707430009
LLM	Life Chemicals F1872-0938	331.079075908
LLM	Life Chemicals F0654-1442	439.077281404
LLM	Life Chemicals F1895-0070	441.07294497199996
LLM	Life Chemicals F1899-0163	361.10156093999996
LLM	EMC Microcollections 144G0013	262.071782948
LLM	Life Chemicals F2004-0167	363.031160412
LLM	Life Chemicals F2016-0215	425.157326228
LLM	Comgenex CGX-3063480	442.170413688
LLM	Life Chemicals F2556-0122	331.033685276
LLM	Life Chemicals F2560-0145	428.16822526
LLM	Life Chemicals F2584-0097	372.11437811999997
LLM	InterBioScreen STOCK1S-38095	307.168462292
LLM	Labotest LT00012178	296.025563116
LLM	Chem T&I UZI/1102918	390.070799056
LLM	Chem T&I ARAK0129872	401.94405302399997
LLM	Enamine T0504-1022	333.19211708009004
LLM	Labotest LT00082533	337.142641468
LLM	Pharmeks PHAR065181	384.110151464
LLM	Chem T&I ARAK0133996	220.09791688791
LLM	Specs AE-641/00604032	336.15289512409
LLM	Chem T&I NSB 0069788	169.146664228
LLM	Labotest LT01071576	279.046234492
LLM	Asinex BAS 02169258	398.139720276
LLM	Labotest LT00437441	295.04807238800004
LLM	Chemdiv 2262-1592	412.11715499199994
LLM	Enamine T0500-2643	236.094963004
LLM	Labotest LT00502100	265.146664228
LLM	Labotest LT00590536	264.056863244
LLM	Labotest LT00108609	356.03439968
LLM	Labotest LT00660049	318.103813436
LLM	Labotest LT00689458	446.01738093590996
LLM	Labotest LT00723669	262.131742436
LLM	Chem T&I NSB 0059653	334.168127944
LLM	Bionet 6W-0844	383.09153241199994
LLM	Labotest LT01595129	318.14238792809005
LLM	Chembridge 7458021	359.99319613600005
LLM	FCHC 22981	304.160934388
LLM	Labotest LT02816962	279.05230223999996
LLM	InterBioScreen STOCK2S-27175	165.0390056
LLM	InterBioScreen STOCK1S-03657	368.20089087209
LLM	InterBioScreen STOCK1S-10133	145.052763844
LLM	Chemdiv 2262-3116	361.05967280791
LLM	InterBioScreen STOCK1S-13558	437.133968604
LLM	InterBioScreen STOCK1S-16657	184.01518846
LLM	Chembridge 5231680	390.06090306799996
LLM	InterBioScreen STOCK1S-35234	236.090940244
LLM	Biofocus 233_6902_4251	441.12708871999996
LLM	InterBioScreen STOCK1S-02722	174.054160812
LLM	Specs AM-900/15051004	378.25319496
LLM	InterBioScreen STOCK1S-67026	368.10083623199995
LLM	InterBioScreen STOCK1S-67179	397.1260261
LLM	InterBioScreen STOCK1S-77767	308.173607248
LLM	Princeton Biomolecular OSSK_615582	438.098249388
LLM	InterBioScreen STOCK2S-27158	313.06851122399996
LLM	InterBioScreen STOCK4S-88797	367.096834148
LLM	InterBioScreen STOCK4S-15128	445.112998216
LLM	ASDI 800001104	367.097521116
LLM	InterBioScreen STOCK4S-16653	378.132805056
LLM	InterBioScreen STOCK4S-28115	342.16919056399996
LLM	InterBioScreen STOCK1S-53090	319.132076784
LLM	InterBioScreen STOCK2S-50217	414.16674595200004
LLM	InterBioScreen STOCK3S-07953	324.12224037199996
LLM	Chembridge 5838275	406.135113564
LLM	InterBioScreen STOCK3S-67638	316.158706132
LLM	InterBioScreen STOCK3S-66957	370.10200242409
LLM	TimTec ST056242	272.02402182800006
LLM	Labotest LT01886634	331.01822524
LLM	InterBioScreen STOCK2S-42110	417.114712468
LLM	InterBioScreen STOCK3S-57596	362.147786424
LLM	InterBioScreen STOCK3S-81928	387.180758292
LLM	InterBioScreen STOCK3S-78107	388.994712924
LLM	InterBioScreen STOCK3S-83770	383.163376912
LLM	InterBioScreen STOCK3S-98968	414.994902952
LLM	InterBioScreen STOCK5S-49647	414.205576072
LLM	Asinex BAS 09814527	384.03927171191003
LLM	Asinex ASN 04049832	354.140198944
LLM	InterBioScreen STOCK4S-17269	316.117154992
LLM	InterBioScreen STOCK4S-15808	340.02825168
LLM	InterBioScreen STOCK4S-09498	305.173941596
LLM	Moscow MedChem Labs SF082299	370.017890892
LLM	InterBioScreen STOCK4S-97431	429.014659852
LLM	InterBioScreen STOCK5S-52550	280.092002864
LLM	InterBioScreen STOCK4S-18699	385.200156344
LLM	InterBioScreen STOCK2S-27456	357.19211708009004
LLM	Chembridge 6450312	316.043711716
LLM	InterBioScreen STOCK4S-69546	297.10114369591
LLM	Enamine T0502-3606	378.149204068
LLM	InterBioScreen STOCK4S-36104	334.168127944
LLM	InterBioScreen STOCK4S-70003	383.174610292
LLM	InterBioScreen STOCK4S-59553	381.154469104
LLM	Life Chemicals F0600-0351	449.08792633999997
LLM	InterBioScreen STOCK1S-56190	382.14634694399996
LLM	InterBioScreen STOCK4S-89897	410.147786424
LLM	Chem T&I SHCLME-040937	394.14634694399996
LLM	InterBioScreen STOCK4S-65808	396.025558884
LLM	InterBioScreen STOCK5S-69476	275.13822478400004
LLM	InterBioScreen STOCK5S-05837	446.13758877991
LLM	InterBioScreen STOCK5S-14266	318.0263474
LLM	InterBioScreen STOCK5S-19144	234.049669688
LLM	InterBioScreen STOCK5S-06824	341.093104432
LLM	InterBioScreen STOCK5S-15324	373.14189307608996
LLM	InterBioScreen STOCK5S-18941	398.16304256399997
LLM	InterBioScreen STOCK5S-53636	403.144453036
LLM	InterBioScreen STOCK5S-13559	375.04443998799997
LLM	InterBioScreen STOCK4S-15435	340.05494509600004
LLM	Pharmeks PHAR044641	381.143704088
LLM	InterBioScreen STOCK5S-22284	417.117649844
LLM	InterBioScreen STOCK5S-22526	372.062532576
LLM	Comgenex CGX-3339469	433.1260261
LLM	InterBioScreen STOCK5S-53038	389.173941596
LLM	InterBioScreen STOCK5S-37392	339.10414778399996
LLM	InterBioScreen STOCK5S-38438	229.085126592
LLM	InterBioScreen STOCK5S-52202	366.205576072
LLM	Tripos 1528-06582	401.02553438399997
LLM	InterBioScreen STOCK5S-48304	437.17394159599996
LLM	InterBioScreen STOCK5S-31816	385.042588852
LLM	Lithuania 1775339	395.17454886808997
LLM	InterBioScreen STOCK5S-23424	374.199428072
LLM	InterBioScreen STOCK4S-51757	402.18121804809
LLM	InterBioScreen STOCK5S-48404	373.18812885991
LLM	InterBioScreen STOCK5S-68987	362.174275944
LLM	InterBioScreen STOCK5S-69072	373.031355472
LLM	InterBioScreen STOCK5S-67173	385.07418055600004
LLM	Cerep CER0099275	411.13263176809
LLM	InterBioScreen STOCK5S-80165	333.147726848
LLM	InterBioScreen STOCK5S-68320	390.149204068
LLM	InterBioScreen STOCK5S-66185	402.113505528
LLM	Princeton Biomolecular OSSK_295530	372.14526100391
LLM	InterBioScreen STOCK5S-83607	328.08266074791
LLM	Life Chemicals F0517-0316	339.06870125200004
LLM	InterBioScreen STOCK5S-17255	330.124738908
LLM	InterBioScreen STOCK5S-90702	448.12052611999997
LLM	InterBioScreen STOCK4S-11585	322.088832068
LLM	InterBioScreen STOCK5S-84913	432.22816824009
LLM	InterBioScreen STOCK5S-82246	306.136827816
LLM	Otava 7119691943	381.157622836
LLM	InterBioScreen STOCK5S-83803	360.96329297600005
