Pocket Set	Pocket	Volume (A³)	Buriedness
PDB-LIG	O15066_PF00225_15_340_pocket_0	3532.38	16
PDB-LIG	O15075_PF00069_390_647_pocket_0	2361.62	25
PDB-LIG	O15111_PF00069_15_298_pocket_0	2615.88	25
PDB-LIG	O15118_PF16414_22_267_pocket_0	1997.12	20
PDB-LIG	O15151_PF02201_25_95_pocket_0	3668.88	15
PDB-LIG	O15164_PF00439_908_992_pocket_0	3598.12	16
PDB-LIG	O15178_PF00907_44_219_pocket_0	3901.62	13
PDB-LIG	O15178_PF00907_44_219_pocket_1	3770.62	14
PDB-LIG	O15178_PF00907_44_219_pocket_2	4036.0	15
PDB-LIG	O15247_PF13410_74_218_pocket_0	3548.5	14
PDB-LIG	O15264_PF00069_25_308_pocket_0	1962.25	17
PDB-LIG	O15270_PF00155_168_528_pocket_0	3205.5	18
PDB-LIG	O15296_PF00305_175_661_pocket_0	2028.5	21
PDB-LIG	O15382_PF01063_100_350_pocket_0	3345.75	18
PDB-LIG	O15393_PF00089_256_484_pocket_0	2186.25	27
PDB-LIG	O15496_PF00068_44_150_pocket_0	2545.38	23
PDB-LIG	O15530_PF00069_82_342_pocket_0	2388.38	22
PDB-LIG	O15530_PF00069_82_342_pocket_1	3857.38	15
PDB-LIG	O15530_PF00069_82_342_pocket_2	4184.5	11
PDB-LIG	O15540_PF00061_7_132_pocket_0	1849.62	26
PDB-LIG	O15550_PF02373_1133_1241_pocket_0	2814.25	17
PDB-LIG	O43175_PF00389_9_317_pocket_0	3157.38	22
PDB-LIG	O43175_PF02826_111_285_pocket_0	3083.0	21
PDB-LIG	O43252_PF01583_51_209_pocket_0	2848.5	17
PDB-LIG	O43252_PF01583_51_209_pocket_1	3463.88	17
PDB-LIG	O43252_PF01747_394_617_pocket_0	2229.5	21
PDB-LIG	O43293_PF00069_13_275_pocket_0	2181.38	21
PDB-LIG	O43318_PF07714_36_284_pocket_0	2346.75	23
PDB-LIG	O43353_PF07714_18_290_pocket_0	2286.12	20
PDB-LIG	O43488_PF00248_41_348_pocket_0	1765.5	22
PDB-LIG	O43570_PF00194_38_289_pocket_0	2335.75	22
PDB-LIG	O43598_PF05014_23_134_pocket_0	3239.88	19
PDB-LIG	O43683_PF00069_787_1032_pocket_0	2106.38	20
PDB-LIG	O43704_PF00685_38_289_pocket_0	1638.0	21
PDB-LIG	O43704_PF00685_38_289_pocket_1	2189.88	21
PDB-LIG	O43781_PF00069_209_522_pocket_0	1664.5	23
PDB-LIG	O43809_PF13869_35_222_pocket_0	2713.38	19
PDB-LIG	O43809_PF13869_35_222_pocket_1	3883.25	15
PDB-LIG	O43865_PF00670_289_450_pocket_0	3493.0	20
PDB-LIG	O43865_PF05221_237_529_pocket_0	3194.12	21
PDB-LIG	O43913_PF13191_7_156_pocket_0	4950.12	11
PDB-LIG	O43929_PF13191_36_190_pocket_0	5010.62	10
PDB-LIG	O60218_PF00248_15_294_pocket_0	2145.25	22
PDB-LIG	O60218_PF00248_15_294_pocket_1	3377.5	15
PDB-LIG	O60313_PF00350_291_469_pocket_0	3799.5	16
PDB-LIG	O60341_PF01593_288_826_pocket_0	1786.62	28
PDB-LIG	O60341_PF01593_288_826_pocket_1	2866.12	17
PDB-LIG	O60493_PF00787_57_148_pocket_0	4514.38	13
PDB-LIG	O60507_PF13469_70_263_pocket_0	4015.88	12
PDB-LIG	O60547_PF16363_27_358_pocket_0	2514.88	25
PDB-LIG	O60547_PF16363_27_358_pocket_1	1833.62	22
PDB-LIG	O60551_PF01233_139_296_pocket_0	3506.88	15
PDB-LIG	O60658_PF00233_555_806_pocket_0	2367.75	16
PDB-LIG	O60674_PF07714_545_805_pocket_0	2315.62	23
PDB-LIG	O60674_PF07714_849_1123_pocket_0	2234.62	26
PDB-LIG	O60701_PF03721_5_195_pocket_0	2910.62	22
PDB-LIG	O60704_PF13469_69_262_pocket_0	4010.12	14
PDB-LIG	O60741_PF00027_493_576_pocket_0	3069.75	17
PDB-LIG	O60760_PF02798_4_73_pocket_0	4129.12	13
PDB-LIG	O60825_PF01591_26_249_pocket_0	3304.25	18
PDB-LIG	O60882_PF00413_116_271_pocket_0	2933.88	18
PDB-LIG	O60885_PF00439_357_445_pocket_0	3382.12	15
PDB-LIG	O60885_PF00439_67_152_pocket_0	3384.75	15
PDB-LIG	O60911_PF00112_114_333_pocket_0	3605.5	16
PDB-LIG	O75116_PF00069_92_354_pocket_0	2429.25	23
PDB-LIG	O75164_PF02373_175_291_pocket_0	3101.12	17
PDB-LIG	O75173_PF01421_218_428_pocket_0	2506.5	21
PDB-LIG	O75191_PF02782_295_481_pocket_0	4058.0	14
PDB-LIG	O75208_PF08511_210_286_pocket_0	4430.5	13
PDB-LIG	O75385_PF00069_16_278_pocket_0	2573.5	23
PDB-LIG	O75460_PF00069_571_832_pocket_0	2342.25	19
PDB-LIG	O75460_PF00069_571_832_pocket_1	2074.5	22
PDB-LIG	O75469_PF00104_238_415_pocket_0	2786.88	15
PDB-LIG	O75582_PF00069_427_687_pocket_0	3324.62	14
PDB-LIG	O75608_PF02230_8_226_pocket_0	2258.88	25
PDB-LIG	O75628_PF00071_82_245_pocket_0	3888.75	15
PDB-LIG	O75689_PF00169_130_229_pocket_0	4489.25	12
PDB-LIG	O75716_PF00069_20_290_pocket_0	2978.75	17
PDB-LIG	O75828_PF00106_6_152_pocket_0	3705.38	18
PDB-LIG	O75844_PF01435_228_473_pocket_0	3395.5	14
PDB-LIG	O75844_PF16491_41_225_pocket_0	3624.5	17
PDB-LIG	O75844_PF16491_41_225_pocket_1	3686.62	18
PDB-LIG	O75874_PF00180_9_401_pocket_0	3664.75	17
PDB-LIG	O75874_PF00180_9_401_pocket_1	2088.5	24
PDB-LIG	O75874_PF00180_9_401_pocket_2	3396.12	15
PDB-LIG	O75891_PF00551_1_180_pocket_0	2428.38	23
PDB-LIG	O75897_PF00685_45_295_pocket_0	1488.25	19
PDB-LIG	O75899_PF00003_475_743_pocket_0	2501.62	19
PDB-LIG	O75914_PF00069_283_534_pocket_0	2059.75	22
PDB-LIG	O75936_PF02668_107_366_pocket_0	1634.0	25
PDB-LIG	O75936_PF02668_107_366_pocket_1	1429.12	24
PDB-LIG	O76039_PF00069_13_297_pocket_0	2164.38	20
PDB-LIG	O76054_PF00650_81_243_pocket_0	1711.75	22
PDB-LIG	O76074_PF00233_612_846_pocket_0	2776.75	17
PDB-LIG	O76074_PF00233_612_846_pocket_1	3290.5	19
PDB-LIG	O76083_PF00233_311_542_pocket_0	2640.38	16
PDB-LIG	O94768_PF00069_33_293_pocket_0	2262.25	23
PDB-LIG	O94804_PF00069_36_294_pocket_0	2325.12	22
PDB-LIG	O94925_PF04960_244_530_pocket_0	4288.38	11
PDB-LIG	O94953_PF02373_176_292_pocket_0	2336.25	20
PDB-LIG	O95045_PF01048_60_310_pocket_0	2443.0	19
PDB-LIG	O95057_PF00071_9_169_pocket_0	3297.0	15
PDB-LIG	O95140_PF00350_99_259_pocket_0	3944.38	14
PDB-LIG	O95154_PF00248_12_320_pocket_0	1715.12	22
PDB-LIG	O95340_PF01583_41_199_pocket_0	3437.5	16
PDB-LIG	O95340_PF01747_384_607_pocket_0	2323.88	20
PDB-LIG	O95372_PF02230_11_228_pocket_0	2350.0	22
PDB-LIG	O95372_PF02230_11_228_pocket_1	2876.62	19
PDB-LIG	O95398_PF00027_265_349_pocket_0	3032.75	18
PDB-LIG	O95445_PF11032_1_187_pocket_0	1530.88	23
PDB-LIG	O95486_PF08033_744_828_pocket_0	4134.62	12
PDB-LIG	O95568_PF13489_171_338_pocket_0	2860.5	17
PDB-LIG	O95619_PF03366_42_122_pocket_0	4059.88	16
PDB-LIG	O95696_PF00439_571_654_pocket_0	3603.5	12
PDB-LIG	O95696_PF00855_930_1044_pocket_0	3637.88	14
PDB-LIG	O95716_PF00071_24_185_pocket_0	2961.38	17
PDB-LIG	O95718_PF00104_237_416_pocket_0	1558.5	20
PDB-LIG	O95747_PF00069_17_291_pocket_0	2836.75	19
PDB-LIG	O95749_PF00348_9_251_pocket_0	2138.62	18
PDB-LIG	O95819_PF00069_25_289_pocket_0	1801.88	24
PDB-LIG	O95822_PF05292_193_457_pocket_0	2632.5	18
PDB-LIG	O96013_PF00069_321_572_pocket_0	2253.5	24
PDB-LIG	O96017_PF00069_220_486_pocket_0	1941.62	23
PDB-LIG	O96028_PF00855_223_334_pocket_0	3552.5	15
PDB-LIG	P00325_PF00107_203_339_pocket_0	4378.38	15
PDB-LIG	P00325_PF08240_34_161_pocket_0	3800.25	14
PDB-LIG	P00326_PF00107_203_339_pocket_0	4367.5	14
PDB-LIG	P00326_PF08240_34_161_pocket_0	3752.75	15
PDB-LIG	P00338_PF00056_21_160_pocket_0	2973.12	24
PDB-LIG	P00338_PF00056_21_160_pocket_1	3982.88	14
PDB-LIG	P00338_PF02866_163_331_pocket_0	4263.75	13
PDB-LIG	P00374_PF00186_4_185_pocket_0	2979.12	20
PDB-LIG	P00374_PF00186_4_185_pocket_1	2108.25	20
PDB-LIG	P00387_PF00970_44_151_pocket_0	4173.25	11
PDB-LIG	P00439_PF00351_119_449_pocket_0	2108.0	24
PDB-LIG	P00439_PF00351_119_449_pocket_1	2222.25	22
PDB-LIG	P00441_PF00080_15_150_pocket_0	4648.75	12
PDB-LIG	P00441_PF00080_15_150_pocket_1	4719.0	11
PDB-LIG	P00441_PF00080_15_150_pocket_2	4219.25	17
PDB-LIG	P00480_PF00185_187_341_pocket_0	4558.75	13
PDB-LIG	P00491_PF01048_26_280_pocket_0	1686.0	25
PDB-LIG	P00492_PF00156_37_196_pocket_0	2941.25	16
PDB-LIG	P00519_PF07714_242_493_pocket_0	1753.25	26
PDB-LIG	P00519_PF07714_242_493_pocket_1	2963.62	21
PDB-LIG	P00533_PF07714_712_968_pocket_0	2071.5	23
PDB-LIG	P00558_PF00162_9_406_pocket_0	2436.25	23
PDB-LIG	P00558_PF00162_9_406_pocket_1	1900.62	25
PDB-LIG	P00568_PF00406_13_169_pocket_0	2455.62	21
PDB-LIG	P00734_PF00089_364_613_pocket_0	2817.38	19
PDB-LIG	P00740_PF00089_227_454_pocket_0	3201.5	19
PDB-LIG	P00740_PF00089_227_454_pocket_1	3862.0	16
PDB-LIG	P00742_PF00089_235_462_pocket_0	3128.12	15
PDB-LIG	P00746_PF00089_26_248_pocket_0	3297.75	19
PDB-LIG	P00747_PF00051_103_181_pocket_0	3843.75	12
PDB-LIG	P00747_PF00051_185_262_pocket_0	4166.12	13
PDB-LIG	P00747_PF00089_581_803_pocket_0	4027.88	12
PDB-LIG	P00747_PF00089_581_803_pocket_1	3557.12	18
PDB-LIG	P00748_PF00089_373_609_pocket_0	3428.25	15
PDB-LIG	P00749_PF00089_179_419_pocket_0	2799.75	20
PDB-LIG	P00749_PF00089_179_419_pocket_1	3803.62	16
PDB-LIG	P00749_PF00089_179_419_pocket_2	3413.25	17
PDB-LIG	P00750_PF00089_311_556_pocket_0	3065.12	17
PDB-LIG	P00751_PF00089_481_752_pocket_0	2631.5	21
PDB-LIG	P00813_PF00962_10_350_pocket_0	1163.12	28
PDB-LIG	P00915_PF00194_12_261_pocket_0	2608.75	21
PDB-LIG	P00918_PF00194_11_259_pocket_0	2558.5	21
PDB-LIG	P00918_PF00194_11_259_pocket_1	3621.12	14
PDB-LIG	P00918_PF00194_11_259_pocket_2	3557.75	19
PDB-LIG	P01009_PF00079_52_415_pocket_0	1725.0	24
PDB-LIG	P01111_PF00071_5_165_pocket_0	2864.62	20
PDB-LIG	P01111_PF00071_5_165_pocket_1	3367.88	23
PDB-LIG	P01112_PF00071_5_165_pocket_0	3023.88	21
PDB-LIG	P01112_PF00071_5_165_pocket_1	3087.12	24
PDB-LIG	P01112_PF00071_5_165_pocket_2	4031.62	14
PDB-LIG	P01112_PF00071_5_165_pocket_3	3254.88	19
PDB-LIG	P01116_PF00071_5_165_pocket_0	2965.88	21
PDB-LIG	P01116_PF00071_5_165_pocket_1	3330.38	18
PDB-LIG	P01116_PF00071_5_165_pocket_2	3563.38	17
PDB-LIG	P01116_PF00071_5_165_pocket_3	5190.62	9
PDB-LIG	P01889_PF00129_25_203_pocket_0	2048.38	22
PDB-LIG	P02689_PF00061_6_132_pocket_0	1924.38	26
PDB-LIG	P02743_PF00354_26_219_pocket_0	3692.5	14
PDB-LIG	P02753_PF00061_39_188_pocket_0	1420.5	25
PDB-LIG	P02766_PF00576_32_139_pocket_0	4375.75	11
PDB-LIG	P02768_PF00273_222_394_pocket_0	2789.75	19
PDB-LIG	P02768_PF00273_222_394_pocket_1	2966.88	19
PDB-LIG	P02768_PF00273_222_394_pocket_2	4348.5	16
PDB-LIG	P02768_PF00273_30_202_pocket_0	3471.75	12
PDB-LIG	P02768_PF00273_30_202_pocket_1	3495.62	15
PDB-LIG	P02768_PF00273_30_202_pocket_2	2005.12	19
PDB-LIG	P02768_PF00273_30_202_pocket_3	2607.25	22
PDB-LIG	P02768_PF00273_414_592_pocket_0	2789.5	15
PDB-LIG	P02768_PF00273_414_592_pocket_1	2646.75	20
PDB-LIG	P02768_PF00273_414_592_pocket_2	2963.12	22
PDB-LIG	P02768_PF00273_414_592_pocket_3	3174.0	16
PDB-LIG	P02768_PF00273_414_592_pocket_4	3336.0	16
PDB-LIG	P02768_PF00273_414_592_pocket_5	3882.5	18
PDB-LIG	P02768_PF00273_414_592_pocket_6	3798.38	15
PDB-LIG	P02768_PF00273_414_592_pocket_7	4092.25	12
PDB-LIG	P02774_PF00273_27_199_pocket_0	3497.62	15
PDB-LIG	P03372_PF00104_332_531_pocket_0	1802.12	20
PDB-LIG	P03372_PF00104_332_531_pocket_1	4291.75	15
PDB-LIG	P03951_PF00089_388_618_pocket_0	3030.12	21
PDB-LIG	P03952_PF00089_391_621_pocket_0	2320.88	24
PDB-LIG	P03952_PF00089_391_621_pocket_1	3063.62	16
PDB-LIG	P03956_PF00413_108_261_pocket_0	3408.5	15
PDB-LIG	P04040_PF00199_28_411_pocket_0	4380.88	12
PDB-LIG	P04049_PF07714_349_606_pocket_0	2204.62	22
PDB-LIG	P04062_PF02055_117_466_pocket_0	2433.75	20
PDB-LIG	P04070_PF00089_212_445_pocket_0	3273.0	18
PDB-LIG	P04150_PF00104_549_741_pocket_0	2015.88	22
PDB-LIG	P04150_PF00104_549_741_pocket_1	3972.25	12
PDB-LIG	P04181_PF00202_50_436_pocket_0	3214.0	16
PDB-LIG	P04278_PF00054_75_205_pocket_0	2406.12	21
PDB-LIG	P04626_PF07714_720_976_pocket_0	1737.38	27
PDB-LIG	P04629_PF07714_510_781_pocket_0	2051.0	22
PDB-LIG	P04637_PF00870_99_289_pocket_0	3489.0	18
PDB-LIG	P04637_PF00870_99_289_pocket_1	3091.75	16
PDB-LIG	P04637_PF00870_99_289_pocket_2	3541.25	18
PDB-LIG	P04746_PF00128_46_348_pocket_0	2818.25	18
PDB-LIG	P04746_PF00128_46_348_pocket_1	3927.0	15
PDB-LIG	P04798_PF00067_40_501_pocket_0	1693.5	26
PDB-LIG	P04818_PF00303_31_313_pocket_0	2454.62	24
PDB-LIG	P05089_PF00491_6_305_pocket_0	2330.75	28
PDB-LIG	P05090_PF00061_43_184_pocket_0	2293.25	19
PDB-LIG	P05093_PF00067_28_493_pocket_0	2199.38	23
PDB-LIG	P05108_PF00067_52_511_pocket_0	2209.38	20
PDB-LIG	P05121_PF00079_33_402_pocket_0	2222.25	23
PDB-LIG	P05164_PF03098_173_718_pocket_0	3539.62	14
PDB-LIG	P05177_PF00067_42_505_pocket_0	1768.88	27
PDB-LIG	P05181_PF00067_33_489_pocket_0	1787.25	21
PDB-LIG	P05230_PF00167_25_148_pocket_0	4120.0	16
PDB-LIG	P05413_PF00061_6_132_pocket_0	1817.88	24
PDB-LIG	P05543_PF00079_44_412_pocket_0	3054.12	17
PDB-LIG	P05771_PF00069_342_600_pocket_0	2371.5	17
PDB-LIG	P05981_PF00089_163_400_pocket_0	3029.5	19
PDB-LIG	P06126_PF16497_1_197_pocket_0	2112.62	17
PDB-LIG	P06132_PF01208_14_360_pocket_0	2556.12	20
PDB-LIG	P06213_PF07714_1023_1290_pocket_0	2361.88	23
PDB-LIG	P06239_PF07714_245_494_pocket_0	2424.0	21
PDB-LIG	P06241_PF07714_271_520_pocket_0	2315.38	22
PDB-LIG	P06276_PF00135_30_550_pocket_0	2140.5	19
PDB-LIG	P06276_PF00135_30_550_pocket_1	3669.12	16
PDB-LIG	P06401_PF00104_704_891_pocket_0	2277.12	18
PDB-LIG	P06493_PF00069_4_287_pocket_0	2474.0	22
PDB-LIG	P06730_PF01652_38_197_pocket_0	3939.62	15
PDB-LIG	P06730_PF01652_38_197_pocket_1	3457.62	17
PDB-LIG	P06744_PF00342_54_546_pocket_0	2487.25	26
PDB-LIG	P06746_PF14792_149_262_pocket_0	4349.75	15
PDB-LIG	P06858_PF00151_17_338_pocket_0	3966.25	12
PDB-LIG	P07101_PF00351_195_525_pocket_0	3017.25	18
PDB-LIG	P07108_PF00887_3_78_pocket_0	4043.0	14
PDB-LIG	P07148_PF14651_1_127_pocket_0	1440.25	23
PDB-LIG	P07148_PF14651_1_127_pocket_1	2486.5	22
PDB-LIG	P07195_PF00056_22_161_pocket_0	2961.75	23
PDB-LIG	P07306_PF00059_171_279_pocket_0	3768.5	15
PDB-LIG	P07327_PF00107_203_339_pocket_0	4395.75	15
PDB-LIG	P07327_PF08240_34_161_pocket_0	3915.12	14
PDB-LIG	P07332_PF07714_561_814_pocket_0	2525.75	23
PDB-LIG	P07333_PF07714_582_910_pocket_0	1685.12	25
PDB-LIG	P07360_PF00061_48_186_pocket_0	2151.88	20
PDB-LIG	P07437_PF00091_3_212_pocket_0	3570.62	18
PDB-LIG	P07477_PF00089_24_239_pocket_0	3201.5	20
PDB-LIG	P07686_PF00728_200_517_pocket_0	2776.88	20
PDB-LIG	P07711_PF00112_114_332_pocket_0	3491.5	15
PDB-LIG	P07741_PF00156_28_173_pocket_0	3530.88	15
PDB-LIG	P07814_PF00587_1108_1287_pocket_0	2668.5	18
PDB-LIG	P07814_PF00587_1108_1287_pocket_1	3418.12	14
PDB-LIG	P07858_PF00112_80_329_pocket_0	2478.12	23
PDB-LIG	P07858_PF00112_80_329_pocket_1	3307.0	17
PDB-LIG	P07900_PF02518_40_194_pocket_0	2038.88	22
PDB-LIG	P07902_PF01087_22_196_pocket_0	3270.12	14
PDB-LIG	P07948_PF07714_247_497_pocket_0	2617.75	24
PDB-LIG	P07949_PF07714_724_1005_pocket_0	2113.25	25
PDB-LIG	P08069_PF07714_999_1266_pocket_0	1993.25	24
PDB-LIG	P08069_PF07714_999_1266_pocket_1	3221.62	17
PDB-LIG	P08134_PF00071_7_180_pocket_0	2968.38	19
PDB-LIG	P08185_PF00079_41_404_pocket_0	3395.25	15
PDB-LIG	P08235_PF00104_758_946_pocket_0	1670.38	20
PDB-LIG	P08238_PF02518_35_189_pocket_0	2627.62	22
PDB-LIG	P08240_PF00448_418_637_pocket_0	3426.38	18
PDB-LIG	P08246_PF00089_30_242_pocket_0	3509.75	16
PDB-LIG	P08254_PF00413_108_264_pocket_0	3075.0	19
PDB-LIG	P08254_PF00413_108_264_pocket_1	3882.88	11
PDB-LIG	P08263_PF02798_5_77_pocket_0	4325.12	13
PDB-LIG	P08311_PF00089_21_238_pocket_0	3572.25	16
PDB-LIG	P08319_PF00107_208_340_pocket_0	4586.25	15
PDB-LIG	P08397_PF01379_21_233_pocket_0	3337.88	14
PDB-LIG	P08397_PF01379_21_233_pocket_1	3327.38	13
PDB-LIG	P08519_PF00051_1282_1359_pocket_0	3914.0	12
PDB-LIG	P08519_PF00051_1624_1701_pocket_0	4181.5	11
PDB-LIG	P08581_PF07714_1078_1337_pocket_0	1787.12	23
PDB-LIG	P08631_PF07714_262_511_pocket_0	1984.38	24
PDB-LIG	P08684_PF00067_38_493_pocket_0	2675.5	14
PDB-LIG	P08686_PF00067_27_480_pocket_0	2016.75	21
PDB-LIG	P08709_PF00089_213_447_pocket_0	3283.12	16
PDB-LIG	P08709_PF00089_213_447_pocket_1	4060.12	14
PDB-LIG	P08754_PF00503_13_343_pocket_0	1958.12	26
PDB-LIG	P08922_PF07714_1945_2215_pocket_0	2565.88	27
PDB-LIG	P09211_PF02798_4_75_pocket_0	4112.62	12
PDB-LIG	P09237_PF00413_103_259_pocket_0	3834.0	17
PDB-LIG	P09238_PF00413_107_263_pocket_0	3072.88	19
PDB-LIG	P09382_PF00337_5_134_pocket_0	3988.25	12
PDB-LIG	P09417_PF00106_11_198_pocket_0	2989.75	23
PDB-LIG	P09455_PF00061_6_134_pocket_0	1897.25	26
PDB-LIG	P09467_PF00316_12_199_pocket_0	3565.5	19
PDB-LIG	P09601_PF01126_11_216_pocket_0	2369.88	18
PDB-LIG	P09601_PF01126_11_216_pocket_1	3415.5	16
PDB-LIG	P09622_PF07992_42_370_pocket_0	2354.12	27
PDB-LIG	P09622_PF07992_42_370_pocket_1	3152.0	19
PDB-LIG	P09622_PF07992_42_370_pocket_2	3799.38	15
PDB-LIG	P09917_PF00305_216_662_pocket_0	3183.5	15
PDB-LIG	P09958_PF00082_144_427_pocket_0	3127.38	15
PDB-LIG	P09960_PF01433_233_448_pocket_0	3241.75	16
PDB-LIG	P09960_PF17900_18_202_pocket_0	3547.75	15
PDB-LIG	P0C024_PF00293_38_166_pocket_0	3108.0	19
PDB-LIG	P0C024_PF00293_38_166_pocket_1	3455.88	17
PDB-LIG	P0C1S8_PF00069_212_486_pocket_0	2543.5	23
PDB-LIG	P0CG30_PF02798_5_75_pocket_0	3971.75	13
PDB-LIG	P0DMM9_PF00685_38_288_pocket_0	1652.0	19
PDB-LIG	P0DMM9_PF00685_38_288_pocket_1	2296.0	20
PDB-LIG	P0DP23_PF13499_10_74_pocket_0	3439.5	13
PDB-LIG	P0DPD7_PF08241_63_173_pocket_0	3328.5	20
PDB-LIG	P0DUB6_PF00128_52_348_pocket_0	2174.38	23
PDB-LIG	P10114_PF00071_5_166_pocket_0	2859.38	20
PDB-LIG	P10153_PF00074_33_158_pocket_0	4058.88	14
PDB-LIG	P10275_PF00104_690_881_pocket_0	1887.88	21
PDB-LIG	P10275_PF00104_690_881_pocket_1	4248.88	11
PDB-LIG	P10275_PF00104_690_881_pocket_2	3925.38	12
PDB-LIG	P10276_PF00104_224_401_pocket_0	1987.12	22
PDB-LIG	P10301_PF00071_31_192_pocket_0	2971.5	20
PDB-LIG	P10599_PF00085_2_103_pocket_0	3577.5	17
PDB-LIG	P10599_PF00085_2_103_pocket_1	3218.5	21
PDB-LIG	P10619_PF00450_39_477_pocket_0	2393.62	22
PDB-LIG	P10632_PF00067_30_487_pocket_0	2554.88	21
PDB-LIG	P10632_PF00067_30_487_pocket_1	3105.0	19
PDB-LIG	P10635_PF00067_34_494_pocket_0	2561.0	19
PDB-LIG	P10635_PF00067_34_494_pocket_1	2832.0	20
PDB-LIG	P10644_PF00027_273_360_pocket_0	2649.38	18
PDB-LIG	P10721_PF07714_589_924_pocket_0	1653.12	27
PDB-LIG	P10721_PF07714_589_924_pocket_1	2216.0	23
PDB-LIG	P10826_PF00104_224_401_pocket_0	1969.0	20
PDB-LIG	P10827_PF00104_204_379_pocket_0	2164.12	20
PDB-LIG	P10828_PF00104_265_445_pocket_0	1651.75	22
PDB-LIG	P11172_PF00156_42_167_pocket_0	4446.88	14
PDB-LIG	P11172_PF00215_252_466_pocket_0	2440.5	23
PDB-LIG	P11233_PF00071_16_177_pocket_0	2908.0	20
PDB-LIG	P11233_PF00071_16_177_pocket_1	3450.25	17
PDB-LIG	P11234_PF00071_16_178_pocket_0	2968.5	22
PDB-LIG	P11309_PF00069_38_290_pocket_0	2237.25	20
PDB-LIG	P11309_PF00069_38_290_pocket_1	4005.75	15
PDB-LIG	P11362_PF07714_478_754_pocket_0	2534.12	22
PDB-LIG	P11388_PF02518_76_225_pocket_0	2182.38	25
PDB-LIG	P11413_PF00479_35_210_pocket_0	3752.62	17
PDB-LIG	P11413_PF02781_212_509_pocket_0	3333.88	17
