Domain (Uniprot_Pfam_Start_End)	Pocket Sets
A0A0B4J1U6_PF07686_25_114	PDB-PD,AF2-PD
A0A0B4J1U7_PF07686_25_121	AF2-PD
A0A0B4J1V0_PF07686_26_119	AF2-PD
A0A0B4J1V1_PF07686_26_117	AF2-PD
A0A0B4J1V2_PF07686_24_119	AF2-PD
A0A0B4J1V6_PF07686_26_119	AF2-PD
A0A0B4J1V7_PF07686_24_117	AF2-PD
A0A0B4J1X5_PF07686_26_117	AF2-PD
A0A0B4J1X8_PF07686_24_118	AF2-PD
A0A0B4J1Y8_PF07686_24_122	AF2-PD
A0A0B4J1Y9_PF07686_26_119	AF2-PD
A0A0B4J1Z2_PF07686_28_117	AF2-PD
A0A0B4J234_PF07686_30_112	AF2-PD
A0A0B4J235_PF07686_27_113	AF2-PD
A0A0B4J237_PF07686_25_113	AF2-PD
A0A0B4J238_PF07686_22_106	AF2-PD
A0A0B4J240_PF07686_27_114	AF2-PD
A0A0B4J241_PF07686_25_112	AF2-PD
A0A0B4J244_PF07686_25_114	AF2-PD
A0A0B4J245_PF07686_27_112	AF2-PD
A0A0B4J248_PF07686_22_108	AF2-PD
A0A0B4J249_PF07686_25_112	AF2-PD
A0A0B4J262_PF07686_25_113	AF2-PD
A0A0B4J263_PF07686_24_110	AF2-PD
A0A0B4J264_PF07686_26_116	AF2-PD
A0A0B4J265_PF07686_22_109	AF2-PD
A0A0B4J266_PF07686_28_112	AF2-PD
A0A0B4J268_PF07686_22_109	PDB-PD,AF2-PD
A0A0B4J271_PF07686_28_114	AF2-PD
A0A0B4J272_PF07686_28_114	PDB-PD,AF2-PD
A0A0B4J273_PF07686_26_112	AF2-PD
A0A0B4J274_PF07686_27_112	AF2-PD
A0A0B4J275_PF07686_26_112	AF2-PD
A0A0B4J276_PF07686_24_109	AF2-PD
A0A0B4J277_PF07686_26_110	AF2-PD
A0A0B4J279_PF07686_25_112	AF2-PD
A0A0B4J280_PF07686_23_105	AF2-PD
A0A0B4J2A2_PF00160_7_163	AF2-PD
A0A0B4J2D9_PF07686_28_117	AF2-PD
A0A0B4J2E0_PF07686_25_114	AF2-PD
A0A0B4J2F2_PF00069_27_278	AF2-PD
A0A0B4J2H0_PF07686_25_117	PDB-PD,AF2-PD
A0A0C4DH24_PF07686_25_113	AF2-PD
A0A0C4DH25_PF07686_26_116	AF2-PD
A0A0C4DH26_PF07686_26_115	AF2-PD
A0A0C4DH27_PF07686_25_118	PDB-PD,AF2-PD
A0A0C4DH28_PF07686_25_118	AF2-PD
A0A0C4DH29_PF07686_25_117	AF2-PD
A0A0C4DH30_PF07686_26_117	AF2-PD
A0A0C4DH31_PF07686_25_117	AF2-PD
A0A0C4DH32_PF07686_29_117	AF2-PD
A0A0C4DH33_PF07686_25_117	AF2-PD
A0A0C4DH34_PF07686_24_117	AF2-PD
A0A0C4DH35_PF07686_26_117	AF2-PD
A0A0C4DH36_PF07686_28_116	AF2-PD
A0A0C4DH38_PF07686_25_117	AF2-PD
A0A0C4DH39_PF07686_25_117	AF2-PD
A0A0C4DH41_PF07686_24_118	AF2-PD
A0A0C4DH42_PF07686_30_116	AF2-PD
A0A0C4DH43_PF07686_24_119	AF2-PD
A0A0C4DH55_PF07686_29_118	AF2-PD
A0A0C4DH59_PF07686_25_113	AF2-PD
A0A0C4DH67_PF07686_26_115	AF2-PD
A0A0C4DH68_PF07686_26_119	AF2-PD
A0A0C4DH69_PF07686_28_117	AF2-PD
A0A0C4DH72_PF07686_28_117	AF2-PD
A0A0C4DH73_PF07686_28_116	AF2-PD
A0A0G2JMI3_PF07686_25_117	AF2-PD
A0A0G2JS06_PF07686_24_123	AF2-PD
A0A0J9YVY3_PF07686_24_117	AF2-PD
A0A0J9YX35_PF07686_26_117	AF2-PD
A0A0J9YX75_PF07686_25_114	AF2-PD
A0A0J9YXX1_PF07686_25_117	AF2-PD
A0A0J9YXY3_PF07686_25_114	AF2-PD
A0A0K0K1A3_PF07686_25_114	AF2-PD
A0A0K0K1A5_PF07686_25_114	PDB-PD,AF2-PD
A0A0K0K1B3_PF07686_23_111	AF2-PD
A0A0K0K1C0_PF07686_25_114	AF2-PD
A0A0K0K1C4_PF07686_25_113	AF2-PD
A0A0K0K1D8_PF07686_25_114	AF2-PD
A0A0K0K1E9_PF07686_25_114	AF2-PD
A0A0K0K1G6_PF07686_25_114	AF2-PD
A0A0K0K1G8_PF07686_25_114	AF2-PD
A0A0K2S4Q6_PF07686_26_125	AF2-PD
A0A0U1RR11_PF04828_155_238	AF2-PD
A0A0U1RRI6_PF04828_170_253	AF2-PD
A0A1B0GTS1_PF00447_83_182	AF2-PD
A0A1B0GUS4_PF00179_6_144	AF2-PD
A0A1B0GVH4_PF00089_41_121	AF2-PD
A0A1B0GW35_PF15277_30_120	AF2-PD
A0A1B0GWH4_PF00447_83_182	AF2-PD
A0A1B0GX31_PF07686_25_114	AF2-PD
A0A1B0GX49_PF07686_25_114	AF2-PD
A0A1B0GX51_PF07686_25_114	AF2-PD
A0A1B0GX56_PF07686_26_115	AF2-PD
A0A1B0GX68_PF07686_25_115	AF2-PD
A0A1B0GX78_PF07686_25_114	AF2-PD
A0A1B0GX95_PF07686_25_114	AF2-PD
A0A1B0GXF2_PF07686_25_114	AF2-PD
A0A1W2PPF3_PF00046_103_159	AF2-PD
A0A1W2PPF3_PF00046_16_72	AF2-PD
A0A1W2PPK0_PF00046_25_79	AF2-PD
A0A1W2PPM1_PF00046_29_83	AF2-PD
A0A1W2PQ73_PF00178_43_122	AF2-PD
A0A1W2PR19_PF00043_102_198	AF2-PD
A0A1W2PR19_PF13417_5_82	AF2-PD
A0A1W2PRP0_PF00250_31_118	AF2-PD
A0A2R8Y4L2_PF00076_1_40	AF2-PD
A0A2R8Y4L2_PF00076_62_131	AF2-PD
A0A2R8Y619_PF00125_4_98	AF2-PD
A0A2Z4LIS9_PF00250_242_288	AF2-PD
A0A3B3IRV3_PF17832_5_89	AF2-PD
A0A3B3IT33_PF15227_15_55	AF2-PD
A0A539_PF07686_25_114	AF2-PD
A0A576_PF07686_25_114	AF2-PD
A0A577_PF07686_25_114	AF2-PD
A0A578_PF07686_25_113	AF2-PD
A0A584_PF07686_25_114	AF2-PD
A0A589_PF07686_25_114	AF2-PD
A0A597_PF07686_25_113	AF2-PD
A0A599_PF07686_25_113	AF2-PD
A0A5A2_PF07686_25_113	AF2-PD
A0A5A6_PF07686_25_114	AF2-PD
A0A5B0_PF07686_25_115	AF2-PD
A0A5B6_PF07686_25_113	PDB-PD,AF2-PD
A0A5B7_PF07686_21_111	AF2-PD
A0A5B9_PF07654_10_102	PDB-PD,AF2-PD
A0AV02_PF00324_44_415	AF2-PD
A0AV96_PF00076_153_220	PDB-PD,AF2-PD
A0AV96_PF00076_248_312	AF2-PD
A0AV96_PF00076_73_141	AF2-PD
A0AVI2_PF00168_1076_1170	AF2-PD
A0AVI2_PF00168_1244_1346	AF2-PD
A0AVI2_PF00168_1486_1586	AF2-PD
A0AVI2_PF00168_167_267	AF2-PD
A0AVI2_PF00168_1721_1854	AF2-PD
A0AVI2_PF00168_1_99	AF2-PD
A0AVI2_PF00168_325_426	AF2-PD
A0AVI2_PF08150_692_765	AF2-PD
A0AVI2_PF08165_599_670	AF2-PD
A0AVK6_PF02319_114_182	PDB-PD,AF2-PD
A0AVK6_PF02319_262_347	PDB-PD
A0AVT1_PF00899_443_948	AF2-PD
A0AVT1_PF00899_44_435	AF2-PD
A0AVT1_PF09358_955_1043	AF2-PD
A0AVT1_PF10585_631_884	AF2-PD
A0AVT1_PF16190_224_292	AF2-PD
A0AVT1_PF16191_293_362	AF2-PD
A0FGR8_PF00168_385_491	PDB-PD,AF2-PD
A0FGR8_PF00168_537_635	PDB-PD,AF2-PD
A0FGR8_PF00168_801_910	PDB-PD,AF2-PD
A0FGR8_PF17047_191_370	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
A0FGR9_PF00168_306_410	AF2-PD
A0FGR9_PF00168_445_564	AF2-PD
A0FGR9_PF00168_769_878	AF2-PD
A0FGR9_PF17047_114_291	AF2-PD
A0JD32_PF07686_26_116	AF2-PD
A0JD36_PF07686_25_115	AF2-PD
A0JD37_PF07686_23_113	PDB-PD,AF2-PD
A0M8Q6_PF07654_9_94	AF2-PD
A0PJE2_PF00106_41_242	AF2-PD
A0PJX0_PF13499_100_169	AF2-PD
A0PJX2_PF07534_79_215	AF2-PD
A0PJY2_PF00096_260_282	AF2-PD
A0PJY2_PF00096_288_310	AF2-PD
A0PJY2_PF00096_316_338	AF2-PD
A0PJY2_PF00096_400_423	AF2-PD
A1A4S6_PF00169_266_369	AF2-PD
A1A4S6_PF00620_397_547	AF2-PD
A1A4S6_PF14604_735_784	PDB-PD,AF2-PD
A1A4S6_PF16746_6_249	AF2-PD
A1IGU5_PF00018_608_657	AF2-PD
A1IGU5_PF00621_34_211	AF2-PD
A1IGU5_PF07653_510_567	AF2-PD
A1KZ92_PF03098_727_1272	AF2-PD
A1KZ92_PF07679_234_321	AF2-PD
A1KZ92_PF07679_419_505	AF2-PD
A1KZ92_PF07679_511_597	AF2-PD
A1KZ92_PF13927_329_402	AF2-PD
A1L020_PF00013_132_195	AF2-PD
A1L020_PF00013_225_286	AF2-PD
A1L0T0_PF00205_273_405	AF2-PD
A1L0T0_PF02775_467_618	AF2-PD
A1L0T0_PF02776_52_218	AF2-PD
A1L167_PF00179_1_149	AF2-PD
A1L390_PF00169_297_394	AF2-PD
A1L390_PF00621_97_270	AF2-PD
A1L453_PF00089_60_288	AF2-PD
A1L4H1_PF00530_201_298	AF2-PD
A1L4H1_PF00530_23_120	AF2-PD
A1L4H1_PF00530_307_404	AF2-PD
A1L4H1_PF00530_470_568	AF2-PD
A1L4K1_PF00041_373_460	AF2-PD
A1X283_PF00018_158_203	AF2-PD
A1X283_PF00018_227_272	AF2-PD
A1X283_PF00018_374_419	AF2-PD
A1X283_PF00787_31_125	AF2-PD
A1YPR0_PF00651_24_129	AF2-PD
A1Z1Q3_PF01661_88_201	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
A2A288_PF11977_88_244	AF2-PD
A2A288_PF18039_3_44	AF2-PD
A2A2Y4_PF00373_114_225	AF2-PD
A2A2Y4_PF09379_36_99	AF2-PD
A2A2Y4_PF09380_229_316	AF2-PD
A2A3K4_PF00782_100_243	AF2-PD
A2A3N6_PF13519_492_601	AF2-PD
A2CJ06_PF00569_222_267	AF2-PD
A2CJ06_PF09068_4_118	AF2-PD
A2CJ06_PF09069_123_217	AF2-PD
A2NJV5_PF07686_26_118	AF2-PD
A2PYH4_PF00270_282_467	AF2-PD
A2PYH4_PF00271_514_659	AF2-PD
A2RRD8_PF00096_161_183	AF2-PD
A2RRD8_PF00096_189_211	AF2-PD
A2RRD8_PF00096_245_267	AF2-PD
A2RRD8_PF00096_329_351	AF2-PD
A2RRD8_PF00096_413_435	AF2-PD
A2RRD8_PF00096_441_463	AF2-PD
A2RTX5_PF00587_476_687	AF2-PD
A2RTX5_PF02824_162_222	AF2-PD
A2RTX5_PF03129_699_790	AF2-PD
A2RTX5_PF07973_328_377	AF2-PD
A2RU54_PF00046_150_206	AF2-PD
A2RUC4_PF13621_16_256	PDB-PD,AF2-PD
A2RUH7_PF00041_147_231	AF2-PD
A2RUH7_PF07679_261_350	AF2-PD
A2RUH7_PF07679_57_142	AF2-PD
A2VDJ0_PF12371_91_174	AF2-PD
A3KMH1_PF07728_105_261	AF2-PD
A3KMH1_PF07728_442_603	AF2-PD
A3KMH1_PF07728_776_923	AF2-PD
A3KN83_PF13871_872_1148	AF2-PD
A3KN83_PF13872_255_560	AF2-PD
A4D0S4_PF00053_1080_1125	AF2-PD
A4D0S4_PF00053_265_329	AF2-PD
A4D0S4_PF00053_332_392	AF2-PD
A4D0S4_PF00053_395_452	AF2-PD
A4D0S4_PF00053_506_551	AF2-PD
A4D0S4_PF00053_769_814	AF2-PD
A4D0S4_PF00053_817_865	AF2-PD
A4D0S4_PF00053_970_1019	AF2-PD
A4D0S4_PF00055_28_263	AF2-PD
A4D126_PF18706_283_451	PDB-PD
A4D1E9_PF01018_16_143	PDB-PD,AF2-PD
A4D1S0_PF00059_310_406	AF2-PD
A4D1S5_PF00071_19_181	AF2-PD
A4D1Z8_PF00337_4_132	AF2-PD
A4D256_PF00782_210_336	AF2-PD
A4D256_PF14671_21_159	AF2-PD
A4D2B0_PF00753_71_135	AF2-PD
A4D2B8_PF13589_233_355	AF2-PD
A4D2P6_PF00595_10_80	AF2-PD
A4D2P6_PF00595_279_353	AF2-PD
A4FU01_PF06602_193_319	AF2-PD
A4FU01_PF06602_306_483	AF2-PD
A4FU49_PF07653_69_123	AF2-PD
A4GXA9_PF02732_80_250	PDB-PD,AF2-PD
A5D8T8_PF00059_316_434	AF2-PD
A5D8T8_PF00188_52_182	AF2-PD
A5D8V6_PF07200_5_150	AF2-PD
A5PKW4_PF00169_757_869	AF2-PD
A5PKW4_PF01369_539_708	AF2-PD
A5PLK6_PF00615_645_755	AF2-PD
A5PLL7_PF10520_84_261	AF2-PD
A5YKK6_PF12842_1387_1534	PDB-PD,AF2-PD
A5YKK6_PF16415_1087_1313	PDB-PD,AF2-PD
A5YKK6_PF16417_813_1004	PDB-PD,AF2-PD
A5YKK6_PF16418_500_656	AF2-PD
A5YM72_PF15632_596_735	AF2-PD
A5YM72_PF18130_410_492	AF2-PD
A6BM72_PF00053_275_320	AF2-PD
A6BM72_PF00053_313_358	AF2-PD
A6BM72_PF00053_361_409	AF2-PD
A6BM72_PF00053_579_622	AF2-PD
A6BM72_PF00053_618_666	AF2-PD
A6BM72_PF00053_667_708	AF2-PD
A6BM72_PF00053_748_798	AF2-PD
A6BM72_PF12661_191_210	AF2-PD
A6BM72_PF12661_234_253	AF2-PD
A6H8M9_PF00028_448_541	AF2-PD
A6H8Y1_PF15963_293_399	PDB-PD,AF2-PD
A6NC42_PF16005_10_95	AF2-PD
A6NC86_PF00021_126_201	AF2-PD
A6NC86_PF02988_27_109	AF2-PD
A6NC98_PF19047_52_181	AF2-PD
A6NCE7_PF02991_15_120	AF2-PD
A6NCF5_PF07707_75_177	AF2-PD
A6NCI4_PF13768_169_324	AF2-PD
A6NCI4_PF13768_510_666	AF2-PD
A6NCI4_PF13768_958_1113	AF2-PD
A6NCK2_PF15227_15_55	AF2-PD
A6NCM1_PF00004_563_695	AF2-PD
A6NCQ9_PF13639_12_65	AF2-PD
A6NCS4_PF00046_133_189	AF2-PD
A6ND01_PF03024_26_208	PDB-PD
A6ND91_PF03447_13_124	AF2-PD
A6NDA9_PF13927_252_331	AF2-PD
A6NDE4_PF00076_10_79	AF2-PD
A6NDG6_PF13242_232_315	AF2-PD
A6NDG6_PF13344_31_139	AF2-PD
A6NDI0_PF00643_88_129	AF2-PD
A6NDI0_PF15227_15_55	AF2-PD
A6NDN8_PF00240_29_97	AF2-PD
A6NDP7_PF01284_159_297	AF2-PD
A6NDP7_PF01284_17_148	AF2-PD
A6NDX5_PF00096_549_571	AF2-PD
A6NDX5_PF00096_633_655	AF2-PD
A6NDX5_PF00096_689_711	AF2-PD
A6NDY0_PF00076_149_218	AF2-PD
A6NDY2_PF15288_41_82	AF2-PD
A6NE02_PF00651_53_162	AF2-PD
A6NE02_PF07707_169_270	AF2-PD
A6NEC2_PF01433_280_478	AF2-PD
A6NEC2_PF17900_59_245	AF2-PD
A6NEE1_PF00169_29_136	AF2-PD
A6NEK1_PF00339_21_160	AF2-PD
A6NEK1_PF02752_184_321	AF2-PD
A6NEQ0_PF00076_10_79	AF2-PD
A6NF34_PF00092_76_245	AF2-PD
A6NF34_PF05587_249_350	AF2-PD
A6NFD8_PF00010_12_66	AF2-PD
A6NFD8_PF07527_86_127	AF2-PD
A6NFH5_PF00061_6_132	AF2-PD
A6NFI3_PF00096_345_367	AF2-PD
A6NFI3_PF00096_691_713	AF2-PD
A6NFI3_PF00096_719_741	AF2-PD
A6NFI3_PF00096_915_937	AF2-PD
A6NFN3_PF00076_101_169	AF2-PD
A6NFN9_PF00240_3_80	AF2-PD
A6NFQ2_PF13402_633_889	AF2-PD
A6NFQ2_PF17291_522_632	AF2-PD
A6NFQ7_PF00046_17_73	AF2-PD
A6NFU0_PF07686_45_139	AF2-PD
A6NFU8_PF01470_4_156	AF2-PD
A6NGC4_PF03798_38_223	AF2-PD
A6NGD5_PF00096_356_378	AF2-PD
A6NGD5_PF00096_468_490	AF2-PD
A6NGD5_PF02023_40_127	AF2-PD
A6NGD5_PF12874_412_435	AF2-PD
A6NGE7_PF09349_7_163	AF2-PD
A6NGJ6_PF00097_15_55	AF2-PD
A6NGN9_PF00047_37_127	PDB-PD,AF2-PD
A6NGN9_PF13927_134_199	PDB-PD,AF2-PD
A6NGN9_PF13927_217_295	PDB-PD,AF2-PD
A6NGQ2_PF16005_36_121	AF2-PD
A6NGU5_PF01019_55_563	AF2-PD
A6NH11_PF08718_99_253	AF2-PD
A6NHC0_PF01067_361_504	AF2-PD
A6NHJ4_PF00096_314_336	AF2-PD
A6NHJ4_PF00096_342_364	AF2-PD
A6NHJ4_PF00096_426_448	AF2-PD
A6NHJ4_PF00096_594_616	AF2-PD
A6NHL2_PF00091_3_221	AF2-PD
A6NHL2_PF03953_270_400	AF2-PD
A6NHM9_PF01082_193_316	AF2-PD
A6NHM9_PF03351_38_156	AF2-PD
A6NHM9_PF03712_335_491	AF2-PD
A6NHN0_PF00386_344_467	AF2-PD
A6NHQ2_PF01269_100_327	AF2-PD
A6NHR9_PF06470_1719_1847	AF2-PD
A6NHR9_PF13589_139_295	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
A6NHS7_PF07502_33_113	AF2-PD
A6NHT5_PF00046_228_284	AF2-PD
A6NHX0_PF13840_259_323	AF2-PD
A6NHX0_PF13840_71_141	AF2-PD
A6NHX0_PF18700_9_69	AF2-PD
A6NI03_PF00097_15_55	AF2-PD
A6NI15_PF00010_125_179	AF2-PD
A6NI28_PF00620_396_545	AF2-PD
A6NI28_PF14604_823_872	AF2-PD
A6NI28_PF16746_6_249	AF2-PD
A6NI72_PF00018_163_208	AF2-PD
A6NI72_PF00018_233_278	AF2-PD
A6NI72_PF00787_31_122	AF2-PD
A6NI73_PF13895_46_135	PDB-PD,AF2-PD
A6NIE9_PF00089_68_305	AF2-PD
A6NIN4_PF14634_17_82	AF2-PD
A6NIR3_PF01412_464_579	AF2-PD
A6NIX2_PF00412_225_281	AF2-PD
A6NIX2_PF00412_290_346	AF2-PD
A6NIX2_PF00412_350_415	AF2-PD
A6NIZ1_PF00071_5_167	AF2-PD
A6NJ46_PF00046_140_196	AF2-PD
A6NJG6_PF00046_79_135	AF2-PD
A6NJL1_PF00096_355_377	AF2-PD
A6NJL1_PF00096_439_461	AF2-PD
A6NJL1_PF02023_40_127	AF2-PD
A6NJQ4_PF15288_41_82	AF2-PD
A6NJT0_PF00046_106_162	AF2-PD
A6NJW9_PF07686_24_135	AF2-PD
A6NJZ7_PF07653_1579_1632	AF2-PD
A6NJZ7_PF14604_841_895	AF2-PD
A6NK02_PF00643_92_133	AF2-PD
A6NK02_PF15227_16_56	AF2-PD
A6NK06_PF03972_8_254	PDB-PD,AF2-PD
A6NK06_PF19305_274_447	PDB-PD,AF2-PD
A6NK44_PF00903_37_154	PDB-PD,AF2-PD
A6NK59_PF07525_530_571	AF2-PD
A6NKC0_PF15288_41_82	AF2-PD
A6NKC9_PF00017_51_126	AF2-PD
A6NKF2_PF01388_115_201	AF2-PD
A6NKG5_PF17919_845_947	AF2-PD
A6NKQ9_PF00007_56_160	AF2-PD
A6NKT7_PF00638_1049_1170	AF2-PD
A6NKT7_PF00638_1346_1467	AF2-PD
A6NKT7_PF16704_1641_1706	AF2-PD
A6NLC8_PF04719_96_181	AF2-PD
A6NLU0_PF11002_54_95	AF2-PD
A6NLU0_PF15227_11_52	AF2-PD
A6NLW8_PF00046_102_156	AF2-PD
A6NLW8_PF00046_16_70	AF2-PD
A6NM28_PF00096_152_174	AF2-PD
A6NM28_PF00096_180_202	AF2-PD
A6NM28_PF00096_320_342	AF2-PD
A6NMB1_PF07686_25_141	AF2-PD
A6NMB1_PF13927_344_412	AF2-PD
A6NMB9_PF00004_428_557	AF2-PD
A6NMK7_PF14608_123_142	AF2-PD
A6NMK7_PF14608_148_165	AF2-PD
A6NMT0_PF00046_183_238	AF2-PD
A6NMX2_PF01652_63_222	AF2-PD
A6NMY6_PF00191_109_174	AF2-PD
A6NMY6_PF00191_193_259	AF2-PD
A6NMY6_PF00191_269_334	AF2-PD
A6NMY6_PF00191_37_102	AF2-PD
A6NMZ7_PF00092_1000_1170	AF2-PD
A6NMZ7_PF00092_1757_1920	AF2-PD
A6NMZ7_PF00092_1965_2146	AF2-PD
A6NMZ7_PF00092_229_402	AF2-PD
A6NMZ7_PF00092_27_199	AF2-PD
A6NMZ7_PF00092_436_605	AF2-PD
A6NMZ7_PF00092_622_790	AF2-PD
A6NMZ7_PF00092_809_981	AF2-PD
A6NN14_PF00096_488_510	AF2-PD
A6NN14_PF00096_516_538	AF2-PD
A6NN14_PF00096_656_678	AF2-PD
A6NN14_PF00096_740_762	AF2-PD
A6NN14_PF00096_908_930	AF2-PD
A6NN92_PF00029_101_196	AF2-PD
A6NN92_PF00029_2_110	AF2-PD
A6NNA2_PF08312_55_98	AF2-PD
A6NNA5_PF00046_34_90	AF2-PD
A6NNE9_PF12906_170_215	AF2-PD
A6NNF4_PF00096_257_279	AF2-PD
A6NNF4_PF00096_341_363	AF2-PD
A6NNF4_PF00096_593_615	AF2-PD
A6NNF4_PF00096_651_673	AF2-PD
A6NNF4_PF00096_679_701	AF2-PD
A6NNH2_PF15288_40_81	AF2-PD
A6NNJ1_PF15288_41_82	AF2-PD
A6NNM3_PF07653_1579_1632	AF2-PD
A6NNM3_PF14604_841_895	AF2-PD
A6NNW6_PF00113_273_581	AF2-PD
A6NNZ2_PF00091_3_212	AF2-PD
A6NNZ2_PF03953_261_383	AF2-PD
A6NP11_PF00096_213_235	AF2-PD
A6NP61_PF13695_222_307	AF2-PD
A6PVI3_PF00076_41_106	AF2-PD
A6QL63_PF00651_914_1022	AF2-PD
A6XGL0_PF03853_89_259	AF2-PD
A7E2Y1_PF00063_128_815	AF2-PD
A7E2Y1_PF02736_72_117	AF2-PD
A7KAX9_PF00620_386_534	PDB-PD,AF2-PD
A7KAX9_PF14604_266_317	AF2-PD
A8K2U0_PF01835_121_236	AF2-PD
A8K2U0_PF07677_1360_1450	AF2-PD
A8K2U0_PF07703_453_601	AF2-PD
A8K2U0_PF17789_342_439	AF2-PD
A8K2U0_PF17791_213_304	AF2-PD
A8K4G0_PF07686_19_122	AF2-PD
A8K7I4_PF13519_307_414	PDB-PD,AF2-PD
A8K8V0_PF00096_312_334	AF2-PD
A8K979_PF06839_595_643	AF2-PD
A8MPP1_PF13307_693_882	AF2-PD
A8MQ14_PF00096_1009_1031	AF2-PD
A8MQ14_PF00096_1065_1087	AF2-PD
A8MQ14_PF00096_197_219	AF2-PD
A8MQ14_PF00096_533_555	AF2-PD
A8MQ14_PF00096_645_667	AF2-PD
A8MQ14_PF00096_673_695	AF2-PD
A8MQ14_PF00096_897_919	AF2-PD
A8MQ14_PF00096_953_975	AF2-PD
A8MQ27_PF07177_282_433	AF2-PD
A8MQ27_PF07177_41_193	AF2-PD
