Pocket Set	Pocket	Buriedness
PDB-LIG	O14757_PF00069_9_265_pocket_1	13
PDB-LIG	O14757_PF00069_9_265_pocket_2	14
PDB-LIG	O14757_PF00069_9_265_pocket_3	13
PDB-LIG	O14782_PF00225_16_265_pocket_0	14
PDB-LIG	O14786_PF00754_290_421_pocket_0	11
PDB-LIG	O14792_PF00685_54_298_pocket_0	22
PDB-LIG	O14920_PF00069_15_297_pocket_0	22
PDB-LIG	O14931_PF07686_22_128_pocket_0	16
PDB-LIG	O14936_PF00069_12_276_pocket_0	21
PDB-LIG	O14965_PF00069_133_383_pocket_0	19
PDB-LIG	O14965_PF00069_133_383_pocket_1	17
PDB-LIG	O14965_PF00069_133_383_pocket_2	18
PDB-LIG	O14966_PF00071_9_175_pocket_0	14
PDB-LIG	O14976_PF00069_40_313_pocket_0	23
PDB-LIG	O14976_PF00069_40_313_pocket_1	16
PDB-LIG	O14994_PF02750_193_395_pocket_0	19
PDB-LIG	O15054_PF02373_1377_1485_pocket_0	16
PDB-LIG	O15066_PF00225_15_340_pocket_0	16
PDB-LIG	O15075_PF00069_390_647_pocket_0	25
PDB-LIG	O15111_PF00069_15_298_pocket_0	25
PDB-LIG	O15118_PF16414_22_267_pocket_0	20
PDB-LIG	O15151_PF02201_25_95_pocket_0	15
PDB-LIG	O15164_PF00439_908_992_pocket_0	16
PDB-LIG	O15178_PF00907_44_219_pocket_0	13
PDB-LIG	O15178_PF00907_44_219_pocket_1	14
PDB-LIG	O15178_PF00907_44_219_pocket_2	15
PDB-LIG	O15247_PF13410_74_218_pocket_0	14
PDB-LIG	O15264_PF00069_25_308_pocket_0	17
PDB-LIG	O15270_PF00155_168_528_pocket_0	18
PDB-LIG	O15296_PF00305_175_661_pocket_0	21
PDB-LIG	O15382_PF01063_100_350_pocket_0	18
PDB-LIG	O15393_PF00089_256_484_pocket_0	27
PDB-LIG	O15496_PF00068_44_150_pocket_0	23
PDB-LIG	O15530_PF00069_82_342_pocket_0	22
PDB-LIG	O15530_PF00069_82_342_pocket_1	15
PDB-LIG	O15530_PF00069_82_342_pocket_2	11
PDB-LIG	O15540_PF00061_7_132_pocket_0	26
PDB-LIG	O15550_PF02373_1133_1241_pocket_0	17
PDB-LIG	O43175_PF00389_9_317_pocket_0	22
PDB-LIG	O43175_PF02826_111_285_pocket_0	21
PDB-LIG	O43252_PF01583_51_209_pocket_0	17
PDB-LIG	O43252_PF01583_51_209_pocket_1	17
PDB-LIG	O43252_PF01747_394_617_pocket_0	21
PDB-LIG	O43293_PF00069_13_275_pocket_0	21
PDB-LIG	O43318_PF07714_36_284_pocket_0	23
PDB-LIG	O43353_PF07714_18_290_pocket_0	20
PDB-LIG	O43488_PF00248_41_348_pocket_0	22
PDB-LIG	O43570_PF00194_38_289_pocket_0	22
PDB-LIG	O43598_PF05014_23_134_pocket_0	19
PDB-LIG	O43683_PF00069_787_1032_pocket_0	20
PDB-LIG	O43704_PF00685_38_289_pocket_0	21
PDB-LIG	O43704_PF00685_38_289_pocket_1	21
PDB-LIG	O43781_PF00069_209_522_pocket_0	23
PDB-LIG	O43809_PF13869_35_222_pocket_0	19
PDB-LIG	O43809_PF13869_35_222_pocket_1	15
PDB-LIG	O43865_PF00670_289_450_pocket_0	20
PDB-LIG	O43865_PF05221_237_529_pocket_0	21
PDB-LIG	O43913_PF13191_7_156_pocket_0	11
PDB-LIG	O43929_PF13191_36_190_pocket_0	10
PDB-LIG	O60218_PF00248_15_294_pocket_0	22
PDB-LIG	O60218_PF00248_15_294_pocket_1	15
PDB-LIG	O60313_PF00350_291_469_pocket_0	16
PDB-LIG	O60341_PF01593_288_826_pocket_0	28
PDB-LIG	O60341_PF01593_288_826_pocket_1	17
PDB-LIG	O60493_PF00787_57_148_pocket_0	13
PDB-LIG	O60507_PF13469_70_263_pocket_0	12
PDB-LIG	O60547_PF16363_27_358_pocket_0	25
PDB-LIG	O60547_PF16363_27_358_pocket_1	22
PDB-LIG	O60551_PF01233_139_296_pocket_0	15
PDB-LIG	O60658_PF00233_555_806_pocket_0	16
PDB-LIG	O60674_PF07714_545_805_pocket_0	23
PDB-LIG	O60674_PF07714_849_1123_pocket_0	26
PDB-LIG	O60701_PF03721_5_195_pocket_0	22
PDB-LIG	O60704_PF13469_69_262_pocket_0	14
PDB-LIG	O60741_PF00027_493_576_pocket_0	17
PDB-LIG	O60760_PF02798_4_73_pocket_0	13
PDB-LIG	O60825_PF01591_26_249_pocket_0	18
PDB-LIG	O60882_PF00413_116_271_pocket_0	18
PDB-LIG	O60885_PF00439_357_445_pocket_0	15
PDB-LIG	O60885_PF00439_67_152_pocket_0	15
PDB-LIG	O60911_PF00112_114_333_pocket_0	16
PDB-LIG	O75116_PF00069_92_354_pocket_0	23
PDB-LIG	O75164_PF02373_175_291_pocket_0	17
PDB-LIG	O75173_PF01421_218_428_pocket_0	21
PDB-LIG	O75191_PF02782_295_481_pocket_0	14
PDB-LIG	O75208_PF08511_210_286_pocket_0	13
PDB-LIG	O75385_PF00069_16_278_pocket_0	23
PDB-LIG	O75460_PF00069_571_832_pocket_0	19
PDB-LIG	O75460_PF00069_571_832_pocket_1	22
PDB-LIG	O75469_PF00104_238_415_pocket_0	15
PDB-LIG	O75582_PF00069_427_687_pocket_0	14
PDB-LIG	O75608_PF02230_8_226_pocket_0	25
PDB-LIG	O75628_PF00071_82_245_pocket_0	15
PDB-LIG	O75689_PF00169_130_229_pocket_0	12
PDB-LIG	O75716_PF00069_20_290_pocket_0	17
PDB-LIG	O75828_PF00106_6_152_pocket_0	18
PDB-LIG	O75844_PF01435_228_473_pocket_0	14
PDB-LIG	O75844_PF16491_41_225_pocket_0	17
PDB-LIG	O75844_PF16491_41_225_pocket_1	18
PDB-LIG	O75874_PF00180_9_401_pocket_0	17
PDB-LIG	O75874_PF00180_9_401_pocket_1	24
PDB-LIG	O75874_PF00180_9_401_pocket_2	15
PDB-LIG	O75891_PF00551_1_180_pocket_0	23
PDB-LIG	O75897_PF00685_45_295_pocket_0	19
PDB-LIG	O75899_PF00003_475_743_pocket_0	19
PDB-LIG	O75914_PF00069_283_534_pocket_0	22
PDB-LIG	O75936_PF02668_107_366_pocket_0	25
PDB-LIG	O75936_PF02668_107_366_pocket_1	24
PDB-LIG	O76039_PF00069_13_297_pocket_0	20
PDB-LIG	O76054_PF00650_81_243_pocket_0	22
PDB-LIG	O76074_PF00233_612_846_pocket_0	17
PDB-LIG	O76074_PF00233_612_846_pocket_1	19
PDB-LIG	O76083_PF00233_311_542_pocket_0	16
PDB-LIG	O94768_PF00069_33_293_pocket_0	23
PDB-LIG	O94804_PF00069_36_294_pocket_0	22
PDB-LIG	O94925_PF04960_244_530_pocket_0	11
PDB-LIG	O94953_PF02373_176_292_pocket_0	20
PDB-LIG	O95045_PF01048_60_310_pocket_0	19
PDB-LIG	O95057_PF00071_9_169_pocket_0	15
PDB-LIG	O95140_PF00350_99_259_pocket_0	14
PDB-LIG	O95154_PF00248_12_320_pocket_0	22
PDB-LIG	O95340_PF01583_41_199_pocket_0	16
PDB-LIG	O95340_PF01747_384_607_pocket_0	20
PDB-LIG	O95372_PF02230_11_228_pocket_0	22
PDB-LIG	O95372_PF02230_11_228_pocket_1	19
PDB-LIG	O95398_PF00027_265_349_pocket_0	18
PDB-LIG	O95445_PF11032_1_187_pocket_0	23
PDB-LIG	O95486_PF08033_744_828_pocket_0	12
PDB-LIG	O95568_PF13489_171_338_pocket_0	17
PDB-LIG	O95619_PF03366_42_122_pocket_0	16
PDB-LIG	O95696_PF00439_571_654_pocket_0	12
PDB-LIG	O95696_PF00855_930_1044_pocket_0	14
PDB-LIG	O95716_PF00071_24_185_pocket_0	17
PDB-LIG	O95718_PF00104_237_416_pocket_0	20
PDB-LIG	O95747_PF00069_17_291_pocket_0	19
PDB-LIG	O95749_PF00348_9_251_pocket_0	18
PDB-LIG	O95819_PF00069_25_289_pocket_0	24
PDB-LIG	O95822_PF05292_193_457_pocket_0	18
PDB-LIG	O96013_PF00069_321_572_pocket_0	24
PDB-LIG	O96017_PF00069_220_486_pocket_0	23
PDB-LIG	O96028_PF00855_223_334_pocket_0	15
PDB-LIG	P00325_PF00107_203_339_pocket_0	15
PDB-LIG	P00325_PF08240_34_161_pocket_0	14
PDB-LIG	P00326_PF00107_203_339_pocket_0	14
PDB-LIG	P00326_PF08240_34_161_pocket_0	15
PDB-LIG	P00338_PF00056_21_160_pocket_0	24
PDB-LIG	P00338_PF00056_21_160_pocket_1	14
PDB-LIG	P00338_PF02866_163_331_pocket_0	13
PDB-LIG	P00374_PF00186_4_185_pocket_0	20
PDB-LIG	P00374_PF00186_4_185_pocket_1	20
PDB-LIG	P00387_PF00970_44_151_pocket_0	11
PDB-LIG	P00439_PF00351_119_449_pocket_0	24
PDB-LIG	P00439_PF00351_119_449_pocket_1	22
PDB-LIG	P00441_PF00080_15_150_pocket_0	12
PDB-LIG	P00441_PF00080_15_150_pocket_1	11
PDB-LIG	P00441_PF00080_15_150_pocket_2	17
PDB-LIG	P00480_PF00185_187_341_pocket_0	13
PDB-LIG	P00491_PF01048_26_280_pocket_0	25
PDB-LIG	P00492_PF00156_37_196_pocket_0	16
PDB-LIG	P00519_PF07714_242_493_pocket_0	26
PDB-LIG	P00519_PF07714_242_493_pocket_1	21
PDB-LIG	P00533_PF07714_712_968_pocket_0	23
PDB-LIG	P00558_PF00162_9_406_pocket_0	23
PDB-LIG	P00558_PF00162_9_406_pocket_1	25
PDB-LIG	P00568_PF00406_13_169_pocket_0	21
PDB-LIG	P00734_PF00089_364_613_pocket_0	19
PDB-LIG	P00740_PF00089_227_454_pocket_0	19
PDB-LIG	P00740_PF00089_227_454_pocket_1	16
PDB-LIG	P00742_PF00089_235_462_pocket_0	15
PDB-LIG	P00746_PF00089_26_248_pocket_0	19
PDB-LIG	P00747_PF00051_103_181_pocket_0	12
PDB-LIG	P00747_PF00051_185_262_pocket_0	13
PDB-LIG	P00747_PF00089_581_803_pocket_0	12
PDB-LIG	P00747_PF00089_581_803_pocket_1	18
PDB-LIG	P00748_PF00089_373_609_pocket_0	15
PDB-LIG	P00749_PF00089_179_419_pocket_0	20
PDB-LIG	P00749_PF00089_179_419_pocket_1	16
PDB-LIG	P00749_PF00089_179_419_pocket_2	17
PDB-LIG	P00750_PF00089_311_556_pocket_0	17
PDB-LIG	P00751_PF00089_481_752_pocket_0	21
PDB-LIG	P00813_PF00962_10_350_pocket_0	28
PDB-LIG	P00915_PF00194_12_261_pocket_0	21
PDB-LIG	P00918_PF00194_11_259_pocket_0	21
PDB-LIG	P00918_PF00194_11_259_pocket_1	14
PDB-LIG	P00918_PF00194_11_259_pocket_2	19
PDB-LIG	P01009_PF00079_52_415_pocket_0	24
PDB-LIG	P01111_PF00071_5_165_pocket_0	20
PDB-LIG	P01111_PF00071_5_165_pocket_1	23
PDB-LIG	P01112_PF00071_5_165_pocket_0	21
PDB-LIG	P01112_PF00071_5_165_pocket_1	24
PDB-LIG	P01112_PF00071_5_165_pocket_2	14
PDB-LIG	P01112_PF00071_5_165_pocket_3	19
PDB-LIG	P01116_PF00071_5_165_pocket_0	21
PDB-LIG	P01116_PF00071_5_165_pocket_1	18
PDB-LIG	P01116_PF00071_5_165_pocket_2	17
PDB-LIG	P01116_PF00071_5_165_pocket_3	9
PDB-LIG	P01889_PF00129_25_203_pocket_0	22
PDB-LIG	P02689_PF00061_6_132_pocket_0	26
PDB-LIG	P02743_PF00354_26_219_pocket_0	14
PDB-LIG	P02753_PF00061_39_188_pocket_0	25
PDB-LIG	P02766_PF00576_32_139_pocket_0	11
PDB-LIG	P02768_PF00273_222_394_pocket_0	19
PDB-LIG	P02768_PF00273_222_394_pocket_1	19
PDB-LIG	P02768_PF00273_222_394_pocket_2	16
PDB-LIG	P02768_PF00273_30_202_pocket_0	12
PDB-LIG	P02768_PF00273_30_202_pocket_1	15
PDB-LIG	P02768_PF00273_30_202_pocket_2	19
PDB-LIG	P02768_PF00273_30_202_pocket_3	22
PDB-LIG	P02768_PF00273_414_592_pocket_0	15
PDB-LIG	P02768_PF00273_414_592_pocket_1	20
PDB-LIG	P02768_PF00273_414_592_pocket_2	22
PDB-LIG	P02768_PF00273_414_592_pocket_3	16
PDB-LIG	P02768_PF00273_414_592_pocket_4	16
PDB-LIG	P02768_PF00273_414_592_pocket_5	18
PDB-LIG	P02768_PF00273_414_592_pocket_6	15
PDB-LIG	P02768_PF00273_414_592_pocket_7	12
PDB-LIG	P02774_PF00273_27_199_pocket_0	15
PDB-LIG	P03372_PF00104_332_531_pocket_0	20
PDB-LIG	P03372_PF00104_332_531_pocket_1	15
PDB-LIG	P03951_PF00089_388_618_pocket_0	21
PDB-LIG	P03952_PF00089_391_621_pocket_0	24
PDB-LIG	P03952_PF00089_391_621_pocket_1	16
PDB-LIG	P03956_PF00413_108_261_pocket_0	15
PDB-LIG	P04040_PF00199_28_411_pocket_0	12
PDB-LIG	P04049_PF07714_349_606_pocket_0	22
PDB-LIG	P04062_PF02055_117_466_pocket_0	20
PDB-LIG	P04070_PF00089_212_445_pocket_0	18
PDB-LIG	P04150_PF00104_549_741_pocket_0	22
PDB-LIG	P04150_PF00104_549_741_pocket_1	12
PDB-LIG	P04181_PF00202_50_436_pocket_0	16
PDB-LIG	P04278_PF00054_75_205_pocket_0	21
PDB-LIG	P04626_PF07714_720_976_pocket_0	27
PDB-LIG	P04629_PF07714_510_781_pocket_0	22
PDB-LIG	P04637_PF00870_99_289_pocket_0	18
PDB-LIG	P04637_PF00870_99_289_pocket_1	16
PDB-LIG	P04637_PF00870_99_289_pocket_2	18
PDB-LIG	P04746_PF00128_46_348_pocket_0	18
PDB-LIG	P04746_PF00128_46_348_pocket_1	15
PDB-LIG	P04798_PF00067_40_501_pocket_0	26
PDB-LIG	P04818_PF00303_31_313_pocket_0	24
PDB-LIG	P05089_PF00491_6_305_pocket_0	28
PDB-LIG	P05090_PF00061_43_184_pocket_0	19
PDB-LIG	P05093_PF00067_28_493_pocket_0	23
PDB-LIG	P05108_PF00067_52_511_pocket_0	20
PDB-LIG	P05121_PF00079_33_402_pocket_0	23
PDB-LIG	P05164_PF03098_173_718_pocket_0	14
PDB-LIG	P05177_PF00067_42_505_pocket_0	27
PDB-LIG	P05181_PF00067_33_489_pocket_0	21
PDB-LIG	P05230_PF00167_25_148_pocket_0	16
PDB-LIG	P05413_PF00061_6_132_pocket_0	24
PDB-LIG	P05543_PF00079_44_412_pocket_0	17
PDB-LIG	P05771_PF00069_342_600_pocket_0	17
PDB-LIG	P05981_PF00089_163_400_pocket_0	19
PDB-LIG	P06126_PF16497_1_197_pocket_0	17
PDB-LIG	P06132_PF01208_14_360_pocket_0	20
PDB-LIG	P06213_PF07714_1023_1290_pocket_0	23
PDB-LIG	P06239_PF07714_245_494_pocket_0	21
PDB-LIG	P06241_PF07714_271_520_pocket_0	22
PDB-LIG	P06276_PF00135_30_550_pocket_0	19
PDB-LIG	P06276_PF00135_30_550_pocket_1	16
PDB-LIG	P06401_PF00104_704_891_pocket_0	18
PDB-LIG	P06493_PF00069_4_287_pocket_0	22
PDB-LIG	P06730_PF01652_38_197_pocket_0	15
PDB-LIG	P06730_PF01652_38_197_pocket_1	17
PDB-LIG	P06744_PF00342_54_546_pocket_0	26
PDB-LIG	P06746_PF14792_149_262_pocket_0	15
PDB-LIG	P06858_PF00151_17_338_pocket_0	12
PDB-LIG	P07101_PF00351_195_525_pocket_0	18
PDB-LIG	P07108_PF00887_3_78_pocket_0	14
PDB-LIG	P07148_PF14651_1_127_pocket_0	23
PDB-LIG	P07148_PF14651_1_127_pocket_1	22
PDB-LIG	P07195_PF00056_22_161_pocket_0	23
PDB-LIG	P07306_PF00059_171_279_pocket_0	15
PDB-LIG	P07327_PF00107_203_339_pocket_0	15
PDB-LIG	P07327_PF08240_34_161_pocket_0	14
PDB-LIG	P07332_PF07714_561_814_pocket_0	23
PDB-LIG	P07333_PF07714_582_910_pocket_0	25
PDB-LIG	P07360_PF00061_48_186_pocket_0	20
PDB-LIG	P07437_PF00091_3_212_pocket_0	18
PDB-LIG	P07477_PF00089_24_239_pocket_0	20
PDB-LIG	P07686_PF00728_200_517_pocket_0	20
PDB-LIG	P07711_PF00112_114_332_pocket_0	15
PDB-LIG	P07741_PF00156_28_173_pocket_0	15
PDB-LIG	P07814_PF00587_1108_1287_pocket_0	18
PDB-LIG	P07814_PF00587_1108_1287_pocket_1	14
PDB-LIG	P07858_PF00112_80_329_pocket_0	23
PDB-LIG	P07858_PF00112_80_329_pocket_1	17
PDB-LIG	P07900_PF02518_40_194_pocket_0	22
PDB-LIG	P07902_PF01087_22_196_pocket_0	14
PDB-LIG	P07948_PF07714_247_497_pocket_0	24
PDB-LIG	P07949_PF07714_724_1005_pocket_0	25
PDB-LIG	P08069_PF07714_999_1266_pocket_0	24
PDB-LIG	P08069_PF07714_999_1266_pocket_1	17
PDB-LIG	P08134_PF00071_7_180_pocket_0	19
PDB-LIG	P08185_PF00079_41_404_pocket_0	15
PDB-LIG	P08235_PF00104_758_946_pocket_0	20
PDB-LIG	P08238_PF02518_35_189_pocket_0	22
PDB-LIG	P08240_PF00448_418_637_pocket_0	18
PDB-LIG	P08246_PF00089_30_242_pocket_0	16
PDB-LIG	P08254_PF00413_108_264_pocket_0	19
PDB-LIG	P08254_PF00413_108_264_pocket_1	11
PDB-LIG	P08263_PF02798_5_77_pocket_0	13
PDB-LIG	P08311_PF00089_21_238_pocket_0	16
PDB-LIG	P08319_PF00107_208_340_pocket_0	15
PDB-LIG	P08397_PF01379_21_233_pocket_0	14
PDB-LIG	P08397_PF01379_21_233_pocket_1	13
PDB-LIG	P08519_PF00051_1282_1359_pocket_0	12
PDB-LIG	P08519_PF00051_1624_1701_pocket_0	11
PDB-LIG	P08581_PF07714_1078_1337_pocket_0	23
PDB-LIG	P08631_PF07714_262_511_pocket_0	24
PDB-LIG	P08684_PF00067_38_493_pocket_0	14
PDB-LIG	P08686_PF00067_27_480_pocket_0	21
PDB-LIG	P08709_PF00089_213_447_pocket_0	16
PDB-LIG	P08709_PF00089_213_447_pocket_1	14
PDB-LIG	P08754_PF00503_13_343_pocket_0	26
PDB-LIG	P08922_PF07714_1945_2215_pocket_0	27
PDB-LIG	P09211_PF02798_4_75_pocket_0	12
PDB-LIG	P09237_PF00413_103_259_pocket_0	17
PDB-LIG	P09238_PF00413_107_263_pocket_0	19
PDB-LIG	P09382_PF00337_5_134_pocket_0	12
PDB-LIG	P09417_PF00106_11_198_pocket_0	23
PDB-LIG	P09455_PF00061_6_134_pocket_0	26
PDB-LIG	P09467_PF00316_12_199_pocket_0	19
PDB-LIG	P09601_PF01126_11_216_pocket_0	18
PDB-LIG	P09601_PF01126_11_216_pocket_1	16
PDB-LIG	P09622_PF07992_42_370_pocket_0	27
PDB-LIG	P09622_PF07992_42_370_pocket_1	19
PDB-LIG	P09622_PF07992_42_370_pocket_2	15
PDB-LIG	P09917_PF00305_216_662_pocket_0	15
PDB-LIG	P09958_PF00082_144_427_pocket_0	15
PDB-LIG	P09960_PF01433_233_448_pocket_0	16
PDB-LIG	P09960_PF17900_18_202_pocket_0	15
PDB-LIG	P0C024_PF00293_38_166_pocket_0	19
PDB-LIG	P0C024_PF00293_38_166_pocket_1	17
PDB-LIG	P0C1S8_PF00069_212_486_pocket_0	23
PDB-LIG	P0CG30_PF02798_5_75_pocket_0	13
PDB-LIG	P0DMM9_PF00685_38_288_pocket_0	19
PDB-LIG	P0DMM9_PF00685_38_288_pocket_1	20
PDB-LIG	P0DP23_PF13499_10_74_pocket_0	13
PDB-LIG	P0DPD7_PF08241_63_173_pocket_0	20
PDB-LIG	P0DUB6_PF00128_52_348_pocket_0	23
PDB-LIG	P10114_PF00071_5_166_pocket_0	20
PDB-LIG	P10153_PF00074_33_158_pocket_0	14
PDB-LIG	P10275_PF00104_690_881_pocket_0	21
PDB-LIG	P10275_PF00104_690_881_pocket_1	11
PDB-LIG	P10275_PF00104_690_881_pocket_2	12
PDB-LIG	P10276_PF00104_224_401_pocket_0	22
PDB-LIG	P10301_PF00071_31_192_pocket_0	20
PDB-LIG	P10599_PF00085_2_103_pocket_0	17
PDB-LIG	P10599_PF00085_2_103_pocket_1	21
PDB-LIG	P10619_PF00450_39_477_pocket_0	22
PDB-LIG	P10632_PF00067_30_487_pocket_0	21
PDB-LIG	P10632_PF00067_30_487_pocket_1	19
PDB-LIG	P10635_PF00067_34_494_pocket_0	19
PDB-LIG	P10635_PF00067_34_494_pocket_1	20
PDB-LIG	P10644_PF00027_273_360_pocket_0	18
PDB-LIG	P10721_PF07714_589_924_pocket_0	27
PDB-LIG	P10721_PF07714_589_924_pocket_1	23
PDB-LIG	P10826_PF00104_224_401_pocket_0	20
PDB-LIG	P10827_PF00104_204_379_pocket_0	20
PDB-LIG	P10828_PF00104_265_445_pocket_0	22
PDB-LIG	P11172_PF00156_42_167_pocket_0	14
PDB-LIG	P11172_PF00215_252_466_pocket_0	23
PDB-LIG	P11233_PF00071_16_177_pocket_0	20
PDB-LIG	P11233_PF00071_16_177_pocket_1	17
PDB-LIG	P11234_PF00071_16_178_pocket_0	22
PDB-LIG	P11309_PF00069_38_290_pocket_0	20
PDB-LIG	P11309_PF00069_38_290_pocket_1	15
PDB-LIG	P11362_PF07714_478_754_pocket_0	22
PDB-LIG	P11388_PF02518_76_225_pocket_0	25
PDB-LIG	P11413_PF00479_35_210_pocket_0	17
PDB-LIG	P11413_PF02781_212_509_pocket_0	17
PDB-LIG	P11473_PF00104_216_406_pocket_0	18
PDB-LIG	P11474_PF00104_224_404_pocket_0	24
PDB-LIG	P11509_PF00067_34_491_pocket_0	18
PDB-LIG	P11511_PF00067_46_488_pocket_0	18
PDB-LIG	P11586_PF02882_128_295_pocket_0	18
PDB-LIG	P11597_PF02886_243_480_pocket_0	19
PDB-LIG	P11597_PF02886_243_480_pocket_1	14
PDB-LIG	P11712_PF00067_30_487_pocket_0	19
PDB-LIG	P11712_PF00067_30_487_pocket_1	20
PDB-LIG	P11766_PF00107_202_334_pocket_0	12
PDB-LIG	P12104_PF00061_4_132_pocket_0	23
PDB-LIG	P12268_PF00478_29_504_pocket_0	17
PDB-LIG	P12268_PF00478_29_504_pocket_1	29
PDB-LIG	P12268_PF00478_29_504_pocket_2	15
PDB-LIG	P12268_PF00478_29_504_pocket_3	11
PDB-LIG	P12268_PF00478_29_504_pocket_4	11
PDB-LIG	P12268_PF00571_107_166_pocket_0	11
PDB-LIG	P12271_PF00650_141_291_pocket_0	24
PDB-LIG	P12277_PF00217_153_367_pocket_0	19
PDB-LIG	P12544_PF00089_29_254_pocket_0	19
PDB-LIG	P12883_PF00063_87_766_pocket_0	20
PDB-LIG	P12931_PF00017_151_233_pocket_0	16
PDB-LIG	P12931_PF07714_270_519_pocket_0	25
PDB-LIG	P13051_PF03167_140_302_pocket_0	19
PDB-LIG	P13497_PF01400_128_321_pocket_0	13
PDB-LIG	P13497_PF01400_128_321_pocket_1	19
PDB-LIG	P13569_PF00005_441_576_pocket_0	13
PDB-LIG	P13591_PF00041_508_598_pocket_0	15
PDB-LIG	P13631_PF00104_226_403_pocket_0	21
PDB-LIG	P13716_PF00490_5_326_pocket_0	25
PDB-LIG	P13804_PF00766_211_291_pocket_0	16
PDB-LIG	P13995_PF02882_158_332_pocket_0	21
PDB-LIG	P13995_PF02882_158_332_pocket_1	15
PDB-LIG	P14061_PF00106_4_201_pocket_0	24
PDB-LIG	P14061_PF00106_4_201_pocket_1	14
PDB-LIG	P14174_PF01187_2_115_pocket_0	17
PDB-LIG	P14207_PF03024_30_205_pocket_0	16
PDB-LIG	P14210_PF00051_128_206_pocket_0	14
PDB-LIG	P14324_PF00348_108_374_pocket_0	22
PDB-LIG	P14324_PF00348_108_374_pocket_1	12
PDB-LIG	P14324_PF00348_108_374_pocket_2	14
PDB-LIG	P14555_PF00068_22_130_pocket_0	20
PDB-LIG	P14618_PF00224_42_395_pocket_0	11
PDB-LIG	P14618_PF00224_42_395_pocket_1	14
PDB-LIG	P14625_PF02518_96_255_pocket_0	18
PDB-LIG	P14920_PF01266_2_329_pocket_0	27
PDB-LIG	P14920_PF01266_2_329_pocket_1	23
PDB-LIG	P15056_PF07714_457_714_pocket_0	21
PDB-LIG	P15085_PF00246_128_406_pocket_0	22
PDB-LIG	P15090_PF00061_6_132_pocket_0	25
PDB-LIG	P15104_PF00120_110_361_pocket_0	19
PDB-LIG	P15121_PF00248_15_294_pocket_0	14
PDB-LIG	P15121_PF00248_15_294_pocket_1	22
PDB-LIG	P15144_PF01433_316_543_pocket_0	16
PDB-LIG	P15153_PF00071_5_178_pocket_0	18
PDB-LIG	P15291_PF13733_130_263_pocket_0	12
PDB-LIG	P15328_PF03024_36_211_pocket_0	18
PDB-LIG	P15428_PF00106_6_199_pocket_0	23
PDB-LIG	P15531_PF00334_5_139_pocket_0	16
PDB-LIG	P15538_PF00067_42_498_pocket_0	20
PDB-LIG	P15538_PF00067_42_498_pocket_1	13
PDB-LIG	P15559_PF02525_4_212_pocket_0	17
PDB-LIG	P15735_PF00069_24_291_pocket_0	18
PDB-LIG	P15813_PF16497_1_198_pocket_0	19
PDB-LIG	P15813_PF16497_1_198_pocket_1	22
PDB-LIG	P16083_PF02525_4_212_pocket_0	17
PDB-LIG	P16083_PF02525_4_212_pocket_1	19
PDB-LIG	P16118_PF01591_30_251_pocket_0	21
PDB-LIG	P16152_PF00106_6_152_pocket_0	18
PDB-LIG	P16233_PF00151_17_352_pocket_0	13
PDB-LIG	P16233_PF00151_17_352_pocket_1	18
