,strategy,pocket,PocketVec distance
28,PDB-PD,A9YTQ3_PF00010_33_80_fpocket_3,0.1646
29,AF2-PD,Q9ULL1_PF00621_117_291_fpocket_9,0.1651
30,AF2-PD,P19532_PF00010_347_400_fpocket_3,0.1654
31,AF2-PD,O95199_PF00651_384_487_fpocket_2,0.1658
32,AF2-PD,A1L390_PF00621_97_270_fpocket_10,0.1658
33,AF2-PD,Q9Y6M1_PF00013_429_493_fpocket_1,0.1659
34,AF2-PD,Q13489_PF00619_444_528_fpocket_2,0.1659
35,PDB-PD,P01031_PF17790_20_120_fpocket_5,0.166
36,AF2-PD,O14939_PF13091_626_801_fpocket_14,0.1662
37,AF2-PD,Q04656_PF00403_380_441_fpocket_1,0.1662
38,AF2-PD,Q9NYT0_PF00610_142_223_fpocket_5,0.1665
39,AF2-PD,P08758_PF00191_174_240_fpocket_5,0.1667
40,AF2-LIG,P02768_PF00273_30_202_pocket_3,0.1668
41,PDB-PD,Q7Z6Z7_PF00632_4067_4374_fpocket_1,0.167
42,AF2-PD,Q14005_PF00595_1113_1195_fpocket_5,0.1671
43,AF2-PD,Q7L0R7_PF13639_378_421_fpocket_2,0.1673
44,AF2-PD,P57771_PF00615_56_171_fpocket_8,0.1673
45,AF2-PD,Q5VT79_PF00191_181_247_fpocket_6,0.1676
46,AF2-PD,Q9Y3Q4_PF00027_613_696_fpocket_3,0.1676
47,AF2-LIG,Q09472_PF00439_1058_1144_pocket_0,0.1677
48,PDB-PD,Q9Y6M1_PF00013_429_493_fpocket_2,0.1677
49,PDB-PD,Q8NI22_PF13499_69_146_fpocket_1,0.1677
50,AF2-LIG,Q92835_PF03372_409_701_pocket_0,0.1679
51,PDB-PD,P08133_PF00191_179_245_fpocket_2,0.168
52,AF2-PD,Q86UL8_PF00595_426_506_fpocket_1,0.1681
53,AF2-PD,Q6ZMR3_PF00056_21_160_fpocket_7,0.1681
54,PDB-PD,P10828_PF00105_105_176_fpocket_2,0.1681
55,AF2-PD,Q92823_PF00041_1068_1148_fpocket_6,0.1681
56,PDB-LIG,O15164_PF00439_908_992_pocket_0,0.1684
57,AF2-PD,Q15506_PF02197_14_51_fpocket_1,0.1684
58,AF2-PD,Q6ZMV9_PF00225_28_345_fpocket_24,0.1685
59,AF2-PD,Q9P2E8_PF12906_163_208_fpocket_4,0.1686
60,AF2-PD,O96028_PF00505_455_508_fpocket_1,0.1686
61,AF2-PD,O95727_PF08205_121_207_fpocket_5,0.1687
62,AF2-PD,Q8IUH3_PF00076_396_458_fpocket_2,0.1688
63,AF2-PD,Q9Y5K5_PF18031_264_309_fpocket_3,0.1688
64,PDB-PD,Q9H251_PF00028_2179_2284_fpocket_1,0.1689
65,AF2-PD,O00339_PF00092_57_231_fpocket_2,0.1689
66,PDB-PD,P30626_PF13833_45_102_fpocket_1,0.169
67,PDB-PD,O43639_PF00017_285_359_fpocket_1,0.169
68,AF2-PD,O75443_PF08742_911_980_fpocket_3,0.1692
69,AF2-PD,O96004_PF00010_95_147_fpocket_6,0.1694
70,PDB-PD,P35442_PF02412_847_884_fpocket_2,0.1695
71,PDB-PD,Q03405_PF00021_25_99_fpocket_1,0.1696
72,AF2-PD,Q92988_PF00046_118_174_fpocket_4,0.1696
73,AF2-PD,Q15910_PF18118_158_249_fpocket_6,0.1696
74,AF2-PD,Q9Y6N7_PF07679_262_347_fpocket_3,0.1698
75,AF2-PD,O75563_PF00169_117_219_fpocket_4,0.1699
76,PDB-PD,P07437_PF03953_261_383_fpocket_5,0.1699
77,AF2-PD,Q92793_PF06001_1192_1231_fpocket_3,0.17
78,AF2-PD,Q5TAX3_PF19088_254_471_fpocket_6,0.17
79,AF2-PD,Q9NZI2_PF13833_76_129_fpocket_4,0.17
80,AF2-PD,O15116_PF01423_8_76_fpocket_3,0.17
81,AF2-PD,Q9UL25_PF00071_21_182_fpocket_1,0.1701
82,PDB-PD,Q9UDY8_PF18703_583_719_fpocket_1,0.1701
83,PDB-PD,P49792_PF12185_2631_2693_fpocket_1,0.1702
84,AF2-PD,O14948_PF00010_140_193_fpocket_1,0.1702
85,AF2-PD,Q14469_PF07527_109_148_fpocket_1,0.1703
86,AF2-PD,Q9NXX6_PF15412_133_189_fpocket_1,0.1705
87,AF2-PD,Q9BYZ6_PF00651_381_472_fpocket_2,0.1705
88,PDB-PD,Q14155_PF00307_1_91_fpocket_1,0.1706
89,PDB-PD,Q9BVI0_PF18115_89_136_fpocket_2,0.1707
90,PDB-PD,O15389_PF07686_24_140_fpocket_2,0.1711
91,AF2-PD,O43708_PF14497_114_199_fpocket_3,0.1711
92,PDB-PD,P59044_PF02758_21_95_fpocket_2,0.1712
93,AF2-PD,Q5JST6_PF06565_419_530_fpocket_4,0.1712
94,PDB-PD,Q9NV31_PF01479_109_156_fpocket_1,0.1715
95,AF2-PD,O75582_PF00069_427_687_fpocket_9,0.1715
96,PDB-LIG,P00441_PF00080_15_150_pocket_2,0.1715
97,AF2-PD,Q14257_PF13202_237_254_fpocket_2,0.1716
98,AF2-PD,Q92618_PF00096_1098_1120_fpocket_1,0.1716
99,AF2-PD,Q9BY11_PF14604_392_442_fpocket_4,0.1717
100,AF2-PD,P0DP25_PF13499_10_74_fpocket_1,0.172
101,AF2-PD,Q969H4_PF00536_5_68_fpocket_1,0.1722
102,PDB-PD,P11277_PF00435_1061_1166_fpocket_8,0.1722
103,AF2-PD,Q93033_PF07686_821_938_fpocket_5,0.1722
104,AF2-PD,P35609_PF08726_824_890_fpocket_1,0.1722
105,AF2-PD,A9YTQ3_PF00010_33_80_fpocket_3,0.1723
106,AF2-PD,Q92626_PF07679_525_611_fpocket_2,0.1723
107,AF2-PD,O75197_PF14670_605_640_fpocket_1,0.1723
108,AF2-PD,Q86U86_PF00439_667_751_fpocket_3,0.1724
109,AF2-PD,Q5T4W7_PF00019_122_218_fpocket_1,0.1724
110,AF2-PD,P11474_PF00104_224_404_fpocket_7,0.1725
111,AF2-PD,Q6QHC5_PF08557_6_42_fpocket_2,0.1725
112,AF2-PD,P20742_PF17789_346_441_fpocket_1,0.1725
113,AF2-PD,Q9H2X9_PF00324_412_699_fpocket_29,0.1726
114,AF2-PD,P13591_PF07679_214_304_fpocket_6,0.1727
115,PDB-PD,O95071_PF11547_179_230_fpocket_1,0.1729
116,AF2-PD,Q15047_PF18358_348_397_fpocket_1,0.1729
117,AF2-PD,Q92545_PF12371_108_191_fpocket_2,0.173
118,AF2-PD,P58397_PF19030_1427_1472_fpocket_1,0.173
119,AF2-PD,P55795_PF00076_291_358_fpocket_5,0.173
120,PDB-PD,Q14457_PF15285_105_129_fpocket_1,0.1731
121,AF2-PD,Q6UWN8_PF00050_30_80_fpocket_2,0.1731
122,AF2-PD,O95843_PF00036_92_120_fpocket_1,0.1732
123,AF2-PD,O43189_PF14061_530_565_fpocket_2,0.1732
124,AF2-PD,Q5VTT5_PF00047_1127_1200_fpocket_1,0.1732
125,AF2-PD,Q9UQB8_PF07653_378_435_fpocket_3,0.1734
126,PDB-PD,P30044_PF08534_57_211_fpocket_3,0.1735
127,AF2-LIG,Q92793_PF00439_1094_1180_pocket_0,0.1735
128,AF2-PD,P10643_PF00090_501_549_fpocket_1,0.1736
129,AF2-PD,Q92854_PF00047_561_639_fpocket_3,0.1736
130,AF2-PD,Q96PX1_PF13920_273_322_fpocket_1,0.1736
131,AF2-PD,Q00872_PF07679_59_159_fpocket_1,0.1737
132,AF2-PD,Q9Y5G3_PF00028_244_334_fpocket_2,0.1737
133,AF2-PD,P01860_PF07654_8_90_fpocket_2,0.1737
134,AF2-PD,Q9BRJ9_PF00010_83_137_fpocket_6,0.174
135,AF2-PD,O43252_PF01583_51_209_fpocket_5,0.174
136,AF2-PD,A1A4S6_PF16746_6_249_fpocket_18,0.174
137,AF2-PD,P29034_PF01023_6_50_fpocket_2,0.1741
138,PDB-PD,P01909_PF00993_29_108_fpocket_3,0.1743
139,AF2-PD,P01889_PF07654_211_290_fpocket_2,0.1743
140,AF2-PD,Q9HAP6_PF02828_14_67_fpocket_3,0.1743
141,AF2-PD,Q9UBN7_PF00850_500_798_fpocket_8,0.1744
142,PDB-PD,P29034_PF01023_6_50_fpocket_1,0.1745
143,AF2-PD,O15121_PF08557_6_42_fpocket_1,0.1745
144,PDB-PD,P31939_PF02142_16_130_fpocket_4,0.1746
145,AF2-PD,Q6ZWE6_PF13901_529_730_fpocket_10,0.1746
146,PDB-PD,P12081_PF00458_7_58_fpocket_1,0.1747
147,AF2-PD,P02511_PF00011_67_162_fpocket_1,0.1748
148,AF2-PD,Q96GE5_PF00096_365_387_fpocket_1,0.1748
149,AF2-PD,O14529_PF02376_549_627_fpocket_11,0.175
150,AF2-PD,Q6UXV0_PF02351_220_316_fpocket_5,0.1751
151,PDB-PD,P56470_PF00337_18_149_fpocket_7,0.1752
152,AF2-PD,A0A075B767_PF00160_7_163_fpocket_7,0.1752
153,AF2-PD,Q16342_PF04194_238_339_fpocket_1,0.1753
154,AF2-PD,Q5JVG2_PF00096_636_658_fpocket_1,0.1753
155,AF2-PD,Q9UF33_PF07714_737_930_fpocket_11,0.1753
156,AF2-PD,P55072_PF17862_669_714_fpocket_1,0.1753
157,AF2-PD,Q6MZP7_PF03638_596_633_fpocket_2,0.1754
158,AF2-PD,P61296_PF00010_100_152_fpocket_5,0.1754
159,PDB-PD,P42768_PF00786_237_296_fpocket_6,0.1755
160,PDB-LIG,Q15382_PF00071_8_169_pocket_1,0.1756
161,PDB-PD,P15882_PF00620_282_431_fpocket_5,0.1756
162,AF2-PD,P43699_PF00046_162_218_fpocket_2,0.1757
163,AF2-PD,Q6P1L6_PF00096_269_291_fpocket_2,0.1757
164,AF2-PD,Q08554_PF00028_139_233_fpocket_6,0.1758
165,AF2-PD,Q9Y221_PF17833_2_83_fpocket_7,0.1758
166,AF2-PD,Q15669_PF00071_6_172_fpocket_5,0.1758
167,AF2-PD,Q4G176_PF13193_488_563_fpocket_3,0.1759
168,AF2-PD,Q9UDV7_PF00096_602_624_fpocket_1,0.1759
169,AF2-PD,P51114_PF00013_283_353_fpocket_2,0.176
170,AF2-PD,Q86YW7_PF00007_33_130_fpocket_1,0.176
171,AF2-PD,Q06787_PF05641_62_117_fpocket_3,0.176
172,AF2-PD,Q6ZV29_PF00027_163_258_fpocket_3,0.1761
173,AF2-PD,Q86XU0_PF00096_515_537_fpocket_1,0.1762
174,PDB-PD,Q9Y221_PF03657_96_175_fpocket_1,0.1762
175,AF2-PD,P04437_PF07686_32_119_fpocket_1,0.1762
176,AF2-PD,Q9H4A4_PF01433_261_482_fpocket_6,0.1763
177,PDB-LIG,P24941_PF00069_4_286_pocket_4,0.1764
178,AF2-PD,P31939_PF02142_16_130_fpocket_2,0.1765
179,PDB-PD,P55210_PF00656_67_300_fpocket_1,0.1765
180,AF2-PD,P81133_PF00010_2_52_fpocket_2,0.1765
181,PDB-PD,P34059_PF14707_378_509_fpocket_1,0.1765
182,AF2-PD,P0DN26_PF00160_7_163_fpocket_3,0.1765
183,PDB-LIG,Q9BUB5_PF00069_50_172_pocket_0,0.1766
184,PDB-PD,Q00987_PF13920_434_485_fpocket_1,0.1766
185,PDB-PD,Q9UBG0_PF00059_255_361_fpocket_3,0.1766
186,AF2-PD,P00390_PF02852_411_522_fpocket_3,0.1766
187,AF2-PD,Q9UQG0_PF00078_76_245_fpocket_9,0.1766
188,AF2-PD,Q96NG8_PF00096_367_389_fpocket_1,0.1766
189,PDB-PD,P23458_PF18377_147_277_fpocket_1,0.1767
190,AF2-PD,Q8WWY8_PF00151_8_326_fpocket_6,0.1767
191,AF2-PD,P24278_PF00651_14_118_fpocket_5,0.1767
192,AF2-PD,P30511_PF07654_208_287_fpocket_1,0.1767
193,AF2-PD,P42684_PF08919_1082_1182_fpocket_4,0.1767
194,AF2-PD,Q9H446_PF05773_6_111_fpocket_8,0.1768
195,AF2-PD,O75608_PF02230_8_226_fpocket_1,0.1768
196,AF2-PD,Q96HP0_PF14429_544_723_fpocket_7,0.1768
197,PDB-PD,P05156_PF00530_117_215_fpocket_2,0.1769
198,AF2-PD,Q86U86_PF00439_393_475_fpocket_1,0.1769
199,PDB-PD,Q96GM5_PF02201_293_365_fpocket_3,0.1769
200,AF2-PD,Q06124_PF00017_112_197_fpocket_2,0.177
201,AF2-PD,Q9H2A3_PF00010_113_165_fpocket_2,0.177
202,AF2-PD,Q6H9L7_PF03782_400_540_fpocket_10,0.1771
203,AF2-PD,O43491_PF00373_299_409_fpocket_1,0.1771
204,AF2-PD,Q96S42_PF00019_246_346_fpocket_3,0.1771
205,AF2-PD,Q9P244_PF07679_299_387_fpocket_2,0.1772
206,AF2-PD,P09871_PF00084_294_354_fpocket_1,0.1772
207,AF2-PD,A6H8M9_PF00028_448_541_fpocket_2,0.1772
208,AF2-PD,Q9Y6M7_PF07565_306_532_fpocket_1,0.1772
209,AF2-PD,P43354_PF00104_393_579_fpocket_4,0.1773
210,AF2-PD,Q9NP87_PF10391_238_287_fpocket_3,0.1773
211,AF2-PD,O75923_PF08165_695_759_fpocket_5,0.1773
212,PDB-PD,Q7Z2Z2_PF00009_17_365_fpocket_1,0.1773
213,AF2-PD,Q9BYZ6_PF00651_490_598_fpocket_2,0.1773
214,AF2-PD,P09486_PF10591_152_289_fpocket_14,0.1774
215,PDB-PD,Q16690_PF00782_186_316_fpocket_3,0.1775
216,AF2-PD,P11712_PF00067_30_487_fpocket_27,0.1775
217,PDB-PD,P62191_PF17862_377_421_fpocket_1,0.1775
218,AF2-PD,O95747_PF12202_434_491_fpocket_1,0.1775
219,PDB-PD,Q02817_PF01826_295_351_fpocket_2,0.1775
220,AF2-PD,Q8TE59_PF19030_919_976_fpocket_1,0.1775
221,PDB-PD,P54274_PF08558_74_270_fpocket_9,0.1776
222,PDB-PD,P56915_PF00046_161_217_fpocket_4,0.1776
223,AF2-PD,Q53GT1_PF00651_40_146_fpocket_1,0.1776
224,AF2-PD,Q99873_PF13649_92_189_fpocket_2,0.1777
225,AF2-PD,Q9BQD3_PF10241_14_99_fpocket_2,0.1777
226,PDB-PD,O95486_PF04811_501_739_fpocket_5,0.1777
227,AF2-PD,Q8TBK2_PF09273_329_465_fpocket_12,0.1777
228,PDB-PD,P29692_PF10587_159_186_fpocket_3,0.1778
229,AF2-PD,Q92752_PF00041_505_585_fpocket_1,0.1778
230,AF2-PD,Q9Y663_PF00685_152_399_fpocket_12,0.1778
231,AF2-PD,Q9Y5E5_PF00028_246_337_fpocket_4,0.1778
232,AF2-PD,P06732_PF02807_24_94_fpocket_1,0.1778
233,AF2-PD,P0CG24_PF00096_265_287_fpocket_2,0.1778
234,PDB-PD,O75173_PF17771_439_507_fpocket_1,0.1779
235,AF2-PD,P46459_PF17862_423_472_fpocket_3,0.1779
236,AF2-PD,P62937_PF00160_7_163_fpocket_7,0.178
237,AF2-PD,P42696_PF00076_289_358_fpocket_1,0.178
238,AF2-PD,Q5VV63_PF07974_249_280_fpocket_1,0.1781
239,AF2-PD,P15882_PF00620_282_431_fpocket_8,0.1781
240,AF2-PD,P21912_PF13534_185_258_fpocket_1,0.1782
241,PDB-LIG,P00558_PF00162_9_406_pocket_1,0.1782
242,PDB-PD,Q12792_PF00241_9_136_fpocket_3,0.1782
243,PDB-PD,P20340_PF00071_15_175_fpocket_5,0.1782
244,AF2-PD,Q8IUF1_PF07683_274_377_fpocket_7,0.1783
245,AF2-PD,P49005_PF18018_49_176_fpocket_2,0.1783
246,AF2-PD,Q01844_PF00641_518_549_fpocket_1,0.1783
247,AF2-PD,P49736_PF14551_196_287_fpocket_5,0.1783
248,PDB-PD,O15344_PF18568_323_374_fpocket_4,0.1784
249,AF2-PD,O43184_PF00200_433_505_fpocket_1,0.1784
250,AF2-PD,Q92859_PF13927_151_225_fpocket_6,0.1784
251,AF2-PD,P00740_PF00594_52_92_fpocket_2,0.1784
252,AF2-PD,Q9HAP2_PF00010_720_770_fpocket_2,0.1784
253,PDB-PD,P24864_PF02984_244_366_fpocket_1,0.1785
254,AF2-PD,Q5VWX1_PF16274_5_57_fpocket_1,0.1785
255,AF2-PD,Q9H0I9_PF00456_15_286_fpocket_1,0.1785
256,AF2-PD,P16333_PF00017_282_356_fpocket_3,0.1785
257,AF2-PD,P21802_PF07679_162_248_fpocket_1,0.1785
258,AF2-PD,Q7Z4I7_PF00412_198_253_fpocket_3,0.1785
259,AF2-PD,P40937_PF00004_56_177_fpocket_7,0.1785
260,AF2-PD,Q03052_PF00046_340_396_fpocket_2,0.1785
261,AF2-PD,Q58FF8_PF02518_35_153_fpocket_5,0.1785
262,AF2-PD,Q14781_PF00385_12_61_fpocket_4,0.1785
263,PDB-PD,Q15047_PF18359_258_309_fpocket_2,0.1786
264,AF2-PD,Q99650_PF00041_525_609_fpocket_2,0.1786
265,AF2-PD,Q6IV72_PF00096_666_688_fpocket_1,0.1786
266,AF2-PD,O43639_PF00017_285_359_fpocket_2,0.1786
267,AF2-PD,A8MQ14_PF00096_197_219_fpocket_1,0.1786
268,AF2-PD,Q8WTR8_PF00053_212_272_fpocket_2,0.1786
269,AF2-PD,Q9H361_PF00076_296_364_fpocket_5,0.1787
270,AF2-PD,Q9Y4Y9_PF01423_16_84_fpocket_2,0.1787
271,AF2-PD,Q14318_PF00254_113_201_fpocket_6,0.1787
272,AF2-PD,Q10589_PF16716_49_136_fpocket_4,0.1787
273,AF2-PD,Q9UH73_PF16423_347_390_fpocket_3,0.1788
274,PDB-PD,P52597_PF00076_291_358_fpocket_1,0.1788
275,PDB-PD,P42574_PF00656_44_274_fpocket_1,0.1788
276,AF2-PD,O14492_PF00017_417_494_fpocket_3,0.1788
277,AF2-PD,P16581_PF00084_304_362_fpocket_2,0.1789
278,PDB-LIG,Q12888_PF09038_1483_1604_pocket_0,0.1789
279,AF2-PD,Q8N9N8_PF01176_24_87_fpocket_2,0.1789
280,AF2-PD,P49789_PF01230_9_105_fpocket_8,0.1789
281,PDB-PD,Q9P0L2_PF00627_331_367_fpocket_1,0.1789
282,AF2-PD,P86452_PF02892_133_181_fpocket_2,0.1789
283,PDB-PD,Q96GD3_PF02820_62_130_fpocket_3,0.179
284,PDB-PD,P26447_PF01023_5_49_fpocket_1,0.179
285,AF2-PD,Q14764_PF17794_273_320_fpocket_2,0.179
286,AF2-PD,Q14764_PF17795_457_518_fpocket_3,0.179
287,AF2-PD,Q9H190_PF00595_108_185_fpocket_2,0.179
288,AF2-PD,Q96DR7_PF00621_443_621_fpocket_14,0.1791
289,AF2-PD,Q8N1W2_PF00096_379_401_fpocket_1,0.1791
290,AF2-PD,Q9H159_PF00028_375_461_fpocket_1,0.1792
291,PDB-PD,Q14192_PF00412_162_217_fpocket_1,0.1792
292,PDB-PD,Q13017_PF00620_1275_1422_fpocket_4,0.1793
293,AF2-PD,Q9Y490_PF09141_491_652_fpocket_14,0.1793
294,AF2-PD,O00763_PF02785_650_758_fpocket_4,0.1794
295,AF2-PD,Q9H0F5_PF13639_461_504_fpocket_3,0.1794
296,AF2-PD,Q96QV6_PF00125_2_91_fpocket_4,0.1794
297,AF2-PD,Q8TE76_PF07496_425_470_fpocket_1,0.1795
298,AF2-PD,Q92752_PF00041_416_496_fpocket_1,0.1795
299,PDB-PD,P57052_PF00076_12_81_fpocket_3,0.1796
300,PDB-PD,Q9NVW2_PF13639_568_611_fpocket_3,0.1796
301,AF2-PD,Q96N95_PF02023_48_137_fpocket_1,0.1797
302,AF2-PD,Q9NZM1_PF00168_1302_1409_fpocket_4,0.1797
303,AF2-LIG,P20813_PF00067_31_488_pocket_1,0.1797
304,AF2-PD,O75030_PF00010_312_365_fpocket_3,0.1798
305,PDB-PD,Q96C19_PF13499_94_158_fpocket_1,0.1798
306,AF2-PD,A2A288_PF11977_88_244_fpocket_8,0.1798
307,AF2-PD,Q96EF6_PF12937_18_60_fpocket_2,0.1799
308,PDB-PD,P10646_PF00014_124_176_fpocket_2,0.1799
309,AF2-PD,Q13046_PF13895_334_413_fpocket_2,0.1799
310,AF2-PD,P01893_PF07654_211_290_fpocket_1,0.18
311,PDB-PD,P41214_PF01253_487_567_fpocket_2,0.18
312,AF2-LIG,P13631_PF00104_226_403_pocket_0,0.1801
313,PDB-PD,O75534_PF00313_349_413_fpocket_2,0.1802
314,AF2-PD,Q6GTS8_PF07687_239_389_fpocket_7,0.1802
315,AF2-PD,O60262_PF00631_3_68_fpocket_1,0.1802
316,AF2-PD,Q6ZN04_PF00013_67_129_fpocket_3,0.1802
317,AF2-PD,Q9UDT6_PF01302_221_285_fpocket_3,0.1802
318,AF2-PD,O60749_PF00787_170_265_fpocket_4,0.1803
319,PDB-PD,Q04721_PF00066_1500_1535_fpocket_1,0.1803
320,AF2-PD,P49327_PF02801_243_360_fpocket_4,0.1803
321,AF2-PD,Q8TD84_PF00041_888_974_fpocket_3,0.1803
322,AF2-PD,O95881_PF13899_39_120_fpocket_4,0.1803
323,PDB-PD,P19338_PF00076_488_554_fpocket_3,0.1804
324,PDB-PD,Q14966_PF00076_678_737_fpocket_4,0.1804
325,PDB-PD,Q9GZQ8_PF02991_15_120_fpocket_1,0.1804
326,AF2-PD,Q9Y2G2_PF00619_451_535_fpocket_7,0.1804
327,AF2-PD,O15457_PF00488_676_869_fpocket_2,0.1804
328,AF2-PD,Q8N9H8_PF01612_379_569_fpocket_3,0.1804
329,AF2-PD,Q8IZJ1_PF00090_250_299_fpocket_2,0.1804
330,AF2-PD,Q6PIV2_PF00250_172_262_fpocket_3,0.1804
331,PDB-PD,Q16543_PF03234_1_164_fpocket_14,0.1805
332,AF2-PD,Q15633_PF00035_31_95_fpocket_2,0.1805
333,AF2-PD,Q9UK12_PF00096_173_195_fpocket_2,0.1805
334,AF2-PD,P29034_PF01023_6_50_fpocket_1,0.1805
335,AF2-PD,O95450_PF19030_858_913_fpocket_1,0.1805
336,AF2-PD,Q5VZ19_PF00567_195_317_fpocket_5,0.1805
337,AF2-PD,Q6P9A2_PF00652_469_596_fpocket_2,0.1805
338,PDB-PD,Q17RS7_PF18704_398_458_fpocket_3,0.1806
339,PDB-PD,O60381_PF00505_434_501_fpocket_4,0.1806
340,AF2-PD,Q9NZM1_PF08165_677_741_fpocket_3,0.1806
341,AF2-PD,O75081_PF08788_379_445_fpocket_4,0.1806
342,AF2-PD,Q9NZD2_PF08718_18_167_fpocket_15,0.1806
343,PDB-PD,Q9NZM3_PF07653_902_954_fpocket_1,0.1806
344,AF2-PD,Q9P2W3_PF00631_3_67_fpocket_2,0.1807
345,AF2-PD,P51114_PF00013_283_353_fpocket_3,0.1807
346,PDB-PD,P52298_PF00076_42_112_fpocket_3,0.1807
347,AF2-PD,P19367_PF03727_225_459_fpocket_5,0.1808
348,AF2-PD,Q00872_PF00041_933_1016_fpocket_1,0.1808
349,AF2-PD,Q6QHK4_PF00010_66_118_fpocket_5,0.1808
350,AF2-PD,O94887_PF09379_48_111_fpocket_4,0.1808
351,AF2-PD,O15197_PF07647_945_1010_fpocket_1,0.1808
352,AF2-PD,P50151_PF00631_4_68_fpocket_1,0.1809
353,AF2-PD,Q6ZWJ8_PF00093_902_958_fpocket_3,0.1809
354,AF2-PD,Q9HCB6_PF00090_505_554_fpocket_3,0.1809
355,AF2-PD,Q9P0V3_PF00018_61_106_fpocket_3,0.1809
356,AF2-PD,Q16853_PF02727_66_152_fpocket_8,0.1809
357,AF2-PD,Q9BYE9_PF00028_590_686_fpocket_4,0.1809
358,AF2-PD,O43463_PF00385_43_92_fpocket_2,0.1809
359,AF2-PD,Q9BX70_PF07707_222_329_fpocket_8,0.181
360,PDB-PD,P28347_PF17725_214_423_fpocket_6,0.181
361,AF2-PD,P17022_PF02023_37_125_fpocket_3,0.181
362,AF2-PD,O60437_PF17902_390_453_fpocket_2,0.181
363,PDB-PD,P07358_PF00090_547_591_fpocket_3,0.181
364,PDB-PD,P07320_PF00030_3_82_fpocket_1,0.1811
365,AF2-PD,Q99742_PF00989_139_202_fpocket_1,0.1811
366,AF2-PD,P15863_PF00292_98_222_fpocket_1,0.1811
367,AF2-PD,Q6SZW1_PF07647_479_546_fpocket_3,0.1811
368,AF2-PD,Q9Y483_PF14061_544_591_fpocket_3,0.1811
369,AF2-PD,Q96RE7_PF10523_397_464_fpocket_2,0.1811
370,PDB-PD,Q8NAT2_PF12872_7_76_fpocket_5,0.1812
371,AF2-PD,Q9C0B1_PF12934_329_498_fpocket_5,0.1812
372,PDB-PD,P05556_PF08725_752_795_fpocket_1,0.1812
373,AF2-PD,Q96IT1_PF02023_38_127_fpocket_3,0.1812
374,AF2-PD,P17542_PF00010_188_240_fpocket_3,0.1812
375,AF2-PD,P28330_PF02771_54_165_fpocket_13,0.1812
376,AF2-PD,P52746_PF13912_1285_1312_fpocket_2,0.1812
377,AF2-PD,Q86TB3_PF07679_1791_1875_fpocket_1,0.1812
378,AF2-PD,Q06830_PF10417_162_197_fpocket_1,0.1812
379,AF2-PD,Q9BY66_PF02928_697_749_fpocket_2,0.1812
380,AF2-PD,P11047_PF00052_558_688_fpocket_9,0.1813
381,AF2-PD,P11940_PF00076_296_364_fpocket_4,0.1813
382,AF2-PD,O94844_PF00651_475_583_fpocket_5,0.1813
383,AF2-PD,O00451_PF02351_251_347_fpocket_2,0.1813
384,AF2-PD,P30048_PF00578_65_198_fpocket_3,0.1813
385,PDB-PD,P0DP23_PF13499_10_74_fpocket_1,0.1814
386,AF2-PD,Q2TAL6_PF00093_218_273_fpocket_1,0.1814
387,PDB-PD,Q9H1A4_PF18122_1736_1895_fpocket_8,0.1815
388,AF2-PD,Q5TBB1_PF17745_25_92_fpocket_2,0.1815
389,AF2-PD,P37275_PF00096_240_262_fpocket_2,0.1815
390,AF2-PD,O96006_PF02892_23_72_fpocket_2,0.1815
