Name	SMILES	InChI	InChIKey	Molecular Weight
Specs AP-866/42442546	Cc1ccc(S(C)(=O)=O)cc1S(=O)(=O)Nc1cccc(C(F)(F)F)c1	InChI=1S/C15H14F3NO4S2/c1-10-6-7-13(24(2,20)21)9-14(10)25(22,23)19-12-5-3-4-11(8-12)15(16,17)18/h3-9,19H,1-2H3	ZPXMSEIMSUWFCE-UHFFFAOYSA-N	393.408
EMC Microcollections 009B3204	CCC[C@@H]([NH3+])c1nc(C(=O)Nc2ccc(C(=O)c3ccc(N)cc3)cc2)co1	InChI=1S/C21H22N4O3/c1-2-3-17(23)21-25-18(12-28-21)20(27)24-16-10-6-14(7-11-16)19(26)13-4-8-15(22)9-5-13/h4-12,17H,2-3,22-23H2,1H3,(H,24,27)/p+1/t17-/m1/s1	RBOHHDQUJOUGQU-QGZVFWFLSA-O	379.4400000000001
Chembridge 9014479	CCOc1cccc([C@H]2C(C(=O)OC)=C(C)Nc3nnnn32)c1	InChI=1S/C15H17N5O3/c1-4-23-11-7-5-6-10(8-11)13-12(14(21)22-3)9(2)16-15-17-18-19-20(13)15/h5-8,13H,4H2,1-3H3,(H,16,17,19)/t13-/m0/s1	JBSDJLZOUZGNHN-ZDUSSCGKSA-N	315.3330000000001
Chem T&I NSB 0071574	COc1ccc(Cl)cc1C(=O)Nc1ccc(S(=O)(=O)Nc2cc(C)nc(C)n2)cc1	InChI=1S/C20H19ClN4O4S/c1-12-10-19(23-13(2)22-12)25-30(27,28)16-7-5-15(6-8-16)24-20(26)17-11-14(21)4-9-18(17)29-3/h4-11H,1-3H3,(H,24,26)(H,22,23,25)	WTTAQDAWRHMART-UHFFFAOYSA-N	446.9160000000001
Chem T&I AMSACS-12929	CC(C)[NH+]1CCC(NS(=O)(=O)c2ccc(F)c(F)c2)CC1	InChI=1S/C14H20F2N2O2S/c1-10(2)18-7-5-11(6-8-18)17-21(19,20)12-3-4-13(15)14(16)9-12/h3-4,9-11,17H,5-8H2,1-2H3/p+1	HKYKDHYLPBYHAU-UHFFFAOYSA-O	319.397
Life Chemicals F0396-0052	COc1ccc(C(=O)Nc2c3c(nn2-c2ccc(OC)cc2)CSC3)cc1	InChI=1S/C20H19N3O3S/c1-25-15-7-3-13(4-8-15)20(24)21-19-17-11-27-12-18(17)22-23(19)14-5-9-16(26-2)10-6-14/h3-10H,11-12H2,1-2H3,(H,21,24)	FVYNQXDOIDDVFW-UHFFFAOYSA-N	381.4570000000001
Chem T&I AMSACS-08712	Cc1cc(C)n(CCCNS(=O)(=O)c2cccc3nsnc23)n1	InChI=1S/C14H17N5O2S2/c1-10-9-11(2)19(16-10)8-4-7-15-23(20,21)13-6-3-5-12-14(13)18-22-17-12/h3,5-6,9,15H,4,7-8H2,1-2H3	GGABAWGOOVXGOP-UHFFFAOYSA-N	351.4570000000002
Life Chemicals F0560-0107	Cc1ccc2c(c1)[C@H](c1ccc(F)cc1)N(C(=O)c1ccccc1)CC(=O)N2	InChI=1S/C23H19FN2O2/c1-15-7-12-20-19(13-15)22(16-8-10-18(24)11-9-16)26(14-21(27)25-20)23(28)17-5-3-2-4-6-17/h2-13,22H,14H2,1H3,(H,25,27)/t22-/m0/s1	BTWUXRFGACPOTQ-QFIPXVFZSA-N	374.415
Chemdiv 8005-4355	C/C(=N\NC(=O)c1ccc(NC(=O)c2ccccc2)cc1)c1ccc(Br)cc1	InChI=1S/C22H18BrN3O2/c1-15(16-7-11-19(23)12-8-16)25-26-22(28)18-9-13-20(14-10-18)24-21(27)17-5-3-2-4-6-17/h2-14H,1H3,(H,24,27)(H,26,28)/b25-15+	LYJIRVHLNCYOHT-MFKUBSTISA-N	436.309
InterBioScreen STOCK5S-70232	COc1ccc(N2/C(=N/C(=O)CCc3ccccc3)S[C@H]3CS(=O)(=O)C[C@H]32)cc1	InChI=1S/C21H22N2O4S2/c1-27-17-10-8-16(9-11-17)23-18-13-29(25,26)14-19(18)28-21(23)22-20(24)12-7-15-5-3-2-4-6-15/h2-6,8-11,18-19H,7,12-14H2,1H3/b22-21-/t18-,19+/m1/s1	ABCOIBKXAHBHQV-DQBSXFRDSA-N	430.55100000000016
Chembridge 5707467	Cc1ccc(NC(=O)c2ccc(N(C)S(=O)(=O)c3ccccc3)cc2)cc1C	InChI=1S/C22H22N2O3S/c1-16-9-12-19(15-17(16)2)23-22(25)18-10-13-20(14-11-18)24(3)28(26,27)21-7-5-4-6-8-21/h4-15H,1-3H3,(H,23,25)	OPPLICLUHLAKBN-UHFFFAOYSA-N	394.4960000000001
Asinex ASN 04371767	COc1ccc2c(c1)cc(C)c1nnc(SCC(=O)c3ccc(NC(C)=O)cc3)n12	InChI=1S/C22H20N4O3S/c1-13-10-16-11-18(29-3)8-9-19(16)26-21(13)24-25-22(26)30-12-20(28)15-4-6-17(7-5-15)23-14(2)27/h4-11H,12H2,1-3H3,(H,23,27)	KNRJBOALJLSIRU-UHFFFAOYSA-N	420.49400000000014
A-Synthese-Biotech EX-14747	O=C(N/N=C/c1c(OC(=O)c2ccc(Cl)cc2)ccc2ccccc12)c1cccnc1	InChI=1S/C24H16ClN3O3/c25-19-10-7-17(8-11-19)24(30)31-22-12-9-16-4-1-2-6-20(16)21(22)15-27-28-23(29)18-5-3-13-26-14-18/h1-15H,(H,28,29)/b27-15+	ULQSAJMANSFUOE-JFLMPSFJSA-N	429.86300000000006
InterBioScreen STOCK3S-81928	CCCCNC(=O)c1c(N)n(/N=C/c2cccnc2)c2nc3ccccc3nc12	InChI=1S/C21H21N7O/c1-2-3-11-24-21(29)17-18-20(27-16-9-5-4-8-15(16)26-18)28(19(17)22)25-13-14-7-6-10-23-12-14/h4-10,12-13H,2-3,11,22H2,1H3,(H,24,29)/b25-13+	PBHABXNVSHKQHL-DHRITJCHSA-N	387.4470000000002
Nanosyn NS61821	Cc1cc(C)cc(C(=O)Nc2ccc(S(=O)(=O)Nc3nc(C)cc(C)n3)cc2)c1	InChI=1S/C21H22N4O3S/c1-13-9-14(2)11-17(10-13)20(26)24-18-5-7-19(8-6-18)29(27,28)25-21-22-15(3)12-16(4)23-21/h5-12H,1-4H3,(H,24,26)(H,22,23,25)	MAEJZEFNOOBAFY-UHFFFAOYSA-N	410.4990000000002
Asinex ASN 05317597	COc1ccc(NC(=O)c2sc(NC(=O)c3ccc([N+](=O)[O-])cc3)nc2C)cc1	InChI=1S/C19H16N4O5S/c1-11-16(18(25)21-13-5-9-15(28-2)10-6-13)29-19(20-11)22-17(24)12-3-7-14(8-4-12)23(26)27/h3-10H,1-2H3,(H,21,25)(H,20,22,24)	AZOAIICBHAIJDT-UHFFFAOYSA-N	412.42700000000013
Chem T&I AMSACS-11579	Cc1ccc(S(=O)(=O)NCCCn2cc(Br)cn2)cc1	InChI=1S/C13H16BrN3O2S/c1-11-3-5-13(6-4-11)20(18,19)16-7-2-8-17-10-12(14)9-15-17/h3-6,9-10,16H,2,7-8H2,1H3	SALVUTMVOBNFTQ-UHFFFAOYSA-N	358.2610000000002
Bionet 8K-348S	O=C(CN(c1ccccc1)S(=O)(=O)c1ccccc1)Nc1cc(Cl)cc(Cl)c1	InChI=1S/C20H16Cl2N2O3S/c21-15-11-16(22)13-17(12-15)23-20(25)14-24(18-7-3-1-4-8-18)28(26,27)19-9-5-2-6-10-19/h1-13H,14H2,(H,23,25)	FNQANIHASIKKKC-UHFFFAOYSA-N	435.332
InterBioScreen STOCK5S-22526	O=C(CCc1nc(-c2ccc(Cl)cc2)no1)Nc1ccc([N+](=O)[O-])cc1	InChI=1S/C17H13ClN4O4/c18-12-3-1-11(2-4-12)17-20-16(26-21-17)10-9-15(23)19-13-5-7-14(8-6-13)22(24)25/h1-8H,9-10H2,(H,19,23)	PXUVKWDILUUMEM-UHFFFAOYSA-N	372.76800000000014
Asinex ASN 05343028	CS(=O)(=O)Nc1ccc(-c2nnc(SCC(=O)Nc3ccccc3)o2)cc1	InChI=1S/C17H16N4O4S2/c1-27(23,24)21-14-9-7-12(8-10-14)16-19-20-17(25-16)26-11-15(22)18-13-5-3-2-4-6-13/h2-10,21H,11H2,1H3,(H,18,22)	KVHYYBOCRMIHPF-UHFFFAOYSA-N	404.4730000000002
Asinex ASN 03365236	Cc1cc2cc(CN(CCO)C(=S)Nc3ccc(F)cc3)c(=O)[nH]c2cc1C	InChI=1S/C21H22FN3O2S/c1-13-9-15-11-16(20(27)24-19(15)10-14(13)2)12-25(7-8-26)21(28)23-18-5-3-17(22)4-6-18/h3-6,9-11,26H,7-8,12H2,1-2H3,(H,23,28)(H,24,27)	UQEUWYNVCLKIKY-UHFFFAOYSA-N	399.49100000000016
Life Chemicals F0566-0293	CCn1/c(=N/C(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)sc2cc(F)ccc21	InChI=1S/C20H20FN3O3S2/c1-2-24-17-10-7-15(21)13-18(17)28-20(24)22-19(25)14-5-8-16(9-6-14)29(26,27)23-11-3-4-12-23/h5-10,13H,2-4,11-12H2,1H3/b22-20-	BRTXMBGJJMKLPU-XDOYNYLZSA-N	433.53000000000026
EMC Microcollections 001A3586	COc1ccc(Cn2c(-c3csc(-c4ccc(C)nc4)n3)cc(C(N)=O)c2C)cc1	InChI=1S/C23H22N4O2S/c1-14-4-7-17(11-25-14)23-26-20(13-30-23)21-10-19(22(24)28)15(2)27(21)12-16-5-8-18(29-3)9-6-16/h4-11,13H,12H2,1-3H3,(H2,24,28)	QZNWBVGIUWMJAI-UHFFFAOYSA-N	418.52200000000016
Chem T&I AMSACS-01505	O=S(=O)(Nc1ccn(Cc2ccc(Cl)cc2)n1)c1ccc(F)c(F)c1	InChI=1S/C16H12ClF2N3O2S/c17-12-3-1-11(2-4-12)10-22-8-7-16(20-22)21-25(23,24)13-5-6-14(18)15(19)9-13/h1-9H,10H2,(H,20,21)	XEQKKEOZARPJPN-UHFFFAOYSA-N	383.807
Chem T&I ARAK0118211	COc1ccc(/C=N/c2ccc(S(=O)(=O)N3CCC(C)CC3)cc2)cc1	InChI=1S/C20H24N2O3S/c1-16-11-13-22(14-12-16)26(23,24)20-9-5-18(6-10-20)21-15-17-3-7-19(25-2)8-4-17/h3-10,15-16H,11-14H2,1-2H3/b21-15+	HABPDFBODWMMIG-RCCKNPSSSA-N	372.4900000000001
Chembridge 7634772	Fc1ccccc1CSc1nnc(Cn2cnc3ccccc32)n1-c1ccccc1	InChI=1S/C23H18FN5S/c24-19-11-5-4-8-17(19)15-30-23-27-26-22(29(23)18-9-2-1-3-10-18)14-28-16-25-20-12-6-7-13-21(20)28/h1-13,16H,14-15H2	VTIQGDVIMPGECK-UHFFFAOYSA-N	415.497
Chem T&I IVK/0000805	Cc1ccc(C[NH+]2CCN(S(=O)(=O)c3ccc(C)c(C)c3)CC2)cc1	InChI=1S/C20H26N2O2S/c1-16-4-7-19(8-5-16)15-21-10-12-22(13-11-21)25(23,24)20-9-6-17(2)18(3)14-20/h4-9,14H,10-13,15H2,1-3H3/p+1	OLERPENIEXRZKX-UHFFFAOYSA-O	359.51500000000004
InterBioScreen STOCK5S-68320	CCCCNC(=O)/C(C#N)=C1\N=C(NC(=O)c2ccc(F)cc2)c2ccccc21	InChI=1S/C22H19FN4O2/c1-2-3-12-25-22(29)18(13-24)19-16-6-4-5-7-17(16)20(26-19)27-21(28)14-8-10-15(23)11-9-14/h4-11H,2-3,12H2,1H3,(H,25,29)(H,26,27,28)/b19-18-	LREBYHBWSJHRGZ-HNENSFHCSA-N	390.4180000000001
InterBioScreen STOCK3S-83770	Cc1ccc(-c2nn(CCC(=O)Nc3ccccc3)c(=O)c3ccccc23)cc1	InChI=1S/C24H21N3O2/c1-17-11-13-18(14-12-17)23-20-9-5-6-10-21(20)24(29)27(26-23)16-15-22(28)25-19-7-3-2-4-8-19/h2-14H,15-16H2,1H3,(H,25,28)	RZXZPZMGCDIGKA-UHFFFAOYSA-N	383.4510000000001
Life Chemicals F0529-0304	COc1ccc(-c2nnc(NC(=O)Cc3cccs3)s2)c(OC)c1	InChI=1S/C16H15N3O3S2/c1-21-10-5-6-12(13(8-10)22-2)15-18-19-16(24-15)17-14(20)9-11-4-3-7-23-11/h3-8H,9H2,1-2H3,(H,17,19,20)	ZABCTTQQCNZFKT-UHFFFAOYSA-N	361.44800000000015
Chem T&I AMSACS-12205	Cc1ccc(S(=O)(=O)Nc2ncn(Cc3cccc(Cl)c3)n2)cc1C	InChI=1S/C17H17ClN4O2S/c1-12-6-7-16(8-13(12)2)25(23,24)21-17-19-11-22(20-17)10-14-4-3-5-15(18)9-14/h3-9,11H,10H2,1-2H3,(H,20,21)	SNNGDCZHIZQPQF-UHFFFAOYSA-N	376.869
Nanosyn NS40942	Cc1ccc(NC(=O)c2cccc(S(=O)(=O)Nc3ccc(C)cc3)c2)cc1	InChI=1S/C21H20N2O3S/c1-15-6-10-18(11-7-15)22-21(24)17-4-3-5-20(14-17)27(25,26)23-19-12-8-16(2)9-13-19/h3-14,23H,1-2H3,(H,22,24)	DCTJFCSKTLGNSZ-UHFFFAOYSA-N	380.46900000000005
Comgenex CGX-3127127	Cc1ccc(-c2nnc(NC(=O)[C@H](NC(=O)c3ccc(Cl)cc3)C(C)C)s2)cc1	InChI=1S/C21H21ClN4O2S/c1-12(2)17(23-18(27)14-8-10-16(22)11-9-14)19(28)24-21-26-25-20(29-21)15-6-4-13(3)5-7-15/h4-12,17H,1-3H3,(H,23,27)(H,24,26,28)/t17-/m1/s1	YQHKSTBHBXQBIL-QGZVFWFLSA-N	428.9450000000001
Pharmeks PHAR059863	CCOc1ccc(-c2n[nH]/c(=N\C(=O)Nc3ccccc3)s2)cc1	InChI=1S/C17H16N4O2S/c1-2-23-14-10-8-12(9-11-14)15-20-21-17(24-15)19-16(22)18-13-6-4-3-5-7-13/h3-11H,2H2,1H3,(H2,18,19,21,22)	XETLAZDQHVNYKT-UHFFFAOYSA-N	340.4080000000001
Lithuania 1050567	COc1ccc(Cl)cc1/C=C1\S/C(=N\c2ccc(C(=O)[O-])cc2)N(C)C1=O	InChI=1S/C19H15ClN2O4S/c1-22-17(23)16(10-12-9-13(20)5-8-15(12)26-2)27-19(22)21-14-6-3-11(4-7-14)18(24)25/h3-10H,1-2H3,(H,24,25)/p-1/b16-10-,21-19-	NSPPTAWOGWRBCU-STCVOBJUSA-M	401.85100000000006
Chem T&I AMCLME-04601	Cc1ccc(NC(=O)C[NH+]2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1	InChI=1S/C19H22ClN3O3S/c1-15-2-6-17(7-3-15)21-19(24)14-22-10-12-23(13-11-22)27(25,26)18-8-4-16(20)5-9-18/h2-9H,10-14H2,1H3,(H,21,24)/p+1	OILFIBDMJNTZTB-UHFFFAOYSA-O	408.9310000000001
InterBioScreen STOCK4S-52524	CCCCn1c(=N)c(C(=O)N2C[C@H](C)C[C@H](C)C2)cc2c(=O)n3cccc(C)c3nc21	InChI=1S/C24H31N5O2/c1-5-6-9-28-20(25)18(23(30)27-13-15(2)11-16(3)14-27)12-19-22(28)26-21-17(4)8-7-10-29(21)24(19)31/h7-8,10,12,15-16,25H,5-6,9,11,13-14H2,1-4H3/t15-,16+	HPNPHCDSOUFAQO-IYBDPMFKSA-N	421.54500000000024
Cerep CER0136666	O=C(CCC(=O)N1CCN(c2ccccn2)CC1)Nc1ccc2c(c1)CCC2	InChI=1S/C22H26N4O2/c27-21(24-19-8-7-17-4-3-5-18(17)16-19)9-10-22(28)26-14-12-25(13-15-26)20-6-1-2-11-23-20/h1-2,6-8,11,16H,3-5,9-10,12-15H2,(H,24,27)	PSHIZGIBDYLDFD-UHFFFAOYSA-N	378.4760000000001
Asinex BAS 02903336	O=C(CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1)Nc1ccc2c(c1)OCO2	InChI=1S/C21H17ClN2O5S/c22-15-6-9-17(10-7-15)24(30(26,27)18-4-2-1-3-5-18)13-21(25)23-16-8-11-19-20(12-16)29-14-28-19/h1-12H,13-14H2,(H,23,25)	MDECGYUJWIYJGR-UHFFFAOYSA-N	444.8960000000001
Life Chemicals F0417-0114	Cc1ccc(NC(=O)CSc2nnc(NC(=O)c3ccc(Cl)cc3)s2)cc1	InChI=1S/C18H15ClN4O2S2/c1-11-2-8-14(9-3-11)20-15(24)10-26-18-23-22-17(27-18)21-16(25)12-4-6-13(19)7-5-12/h2-9H,10H2,1H3,(H,20,24)(H,21,22,25)	YEGYHCXEWCKQCL-UHFFFAOYSA-N	418.93100000000015
Life Chemicals F1359-1195	COCCn1/c(=N/C(=O)c2cccc(Cl)c2)sc2cc(S(N)(=O)=O)ccc21	InChI=1S/C17H16ClN3O4S2/c1-25-8-7-21-14-6-5-13(27(19,23)24)10-15(14)26-17(21)20-16(22)11-3-2-4-12(18)9-11/h2-6,9-10H,7-8H2,1H3,(H2,19,23,24)/b20-17-	NMQDCLNADJNCDH-JZJYNLBNSA-N	425.91900000000015
Pyxis Discovery PYX 00003417	O=c1[nH]c2c(cc1C[NH2+]Cc1ccccc1)c(-c1ccc(F)cc1)nn2-c1ccccc1	InChI=1S/C26H21FN4O/c27-21-13-11-19(12-14-21)24-23-15-20(17-28-16-18-7-3-1-4-8-18)26(32)29-25(23)31(30-24)22-9-5-2-6-10-22/h1-15,28H,16-17H2,(H,29,32)/p+1	DRXJAIKEFBGPCK-UHFFFAOYSA-O	425.4870000000001
Asinex ASN 09961559	CC(C)C(=O)N1CCc2cc(-c3csc(NC(=O)C4CCCC4)n3)ccc21	InChI=1S/C21H25N3O2S/c1-13(2)20(26)24-10-9-16-11-15(7-8-18(16)24)17-12-27-21(22-17)23-19(25)14-5-3-4-6-14/h7-8,11-14H,3-6,9-10H2,1-2H3,(H,22,23,25)	SDNGZJZTRWMCEJ-UHFFFAOYSA-N	383.5170000000002
Pyxis Discovery PYX 00004219	COc1ccc(-c2noc([C@@H]3CCCN(C(=O)c4cccc(F)c4)C3)n2)cc1OC	InChI=1S/C22H22FN3O4/c1-28-18-9-8-14(12-19(18)29-2)20-24-21(30-25-20)16-6-4-10-26(13-16)22(27)15-5-3-7-17(23)11-15/h3,5,7-9,11-12,16H,4,6,10,13H2,1-2H3/t16-/m1/s1	NINVAGHEFRRMRU-MRXNPFEDSA-N	411.43300000000016
Asinex ASN 03271999	COc1cccc(C[C@H](C(=O)Nc2cccc(C(F)(F)F)c2)c2nnn[n-]2)c1	InChI=1S/C18H16F3N5O2/c1-28-14-7-2-4-11(8-14)9-15(16-23-25-26-24-16)17(27)22-13-6-3-5-12(10-13)18(19,20)21/h2-8,10,15H,9H2,1H3,(H2,22,23,24,25,26,27)/p-1/t15-/m0/s1	BIRFYELLFBPVAM-HNNXBMFYSA-M	390.3450000000001
InterBioScreen STOCK4S-65808	CCCc1nnc(NC(=O)CCC(=O)Nc2cccc(Br)c2)s1	InChI=1S/C15H17BrN4O2S/c1-2-4-14-19-20-15(23-14)18-13(22)8-7-12(21)17-11-6-3-5-10(16)9-11/h3,5-6,9H,2,4,7-8H2,1H3,(H,17,21)(H,18,20,22)	QEIGUIVUDDOPKC-UHFFFAOYSA-N	397.29800000000006
Life Chemicals F0579-0521	Cc1ccc(NC(=O)CSc2nc3c(c(=O)n2-c2ccc(F)cc2)SCC3)cc1	InChI=1S/C21H18FN3O2S2/c1-13-2-6-15(7-3-13)23-18(26)12-29-21-24-17-10-11-28-19(17)20(27)25(21)16-8-4-14(22)5-9-16/h2-9H,10-12H2,1H3,(H,23,26)	IQVZPWUOEMOODG-UHFFFAOYSA-N	427.5260000000001
Chem T&I UZI/1102918	CCNS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc3ccccc3c2)cc1	InChI=1S/C18H18N2O4S2/c1-2-19-25(21,22)17-11-8-16(9-12-17)20-26(23,24)18-10-7-14-5-3-4-6-15(14)13-18/h3-13,19-20H,2H2,1H3	MYYDKYXGOQFPOK-UHFFFAOYSA-N	390.4860000000001
Asinex ASN 06916822	CCCC(=O)N1CCC(c2nc(O)c3nnn(Cc4ccc(C)cc4)c3n2)CC1	InChI=1S/C21H26N6O2/c1-3-4-17(28)26-11-9-16(10-12-26)19-22-20-18(21(29)23-19)24-25-27(20)13-15-7-5-14(2)6-8-15/h5-8,16H,3-4,9-13H2,1-2H3,(H,22,23,29)	BFOAVVNTFMGHJV-UHFFFAOYSA-N	394.4790000000001
Asinex ASN 04361294	O=S(=O)(NCc1cccs1)c1ccc(S(=O)(=O)N2CCCCC2)cc1	InChI=1S/C16H20N2O4S3/c19-24(20,17-13-14-5-4-12-23-14)15-6-8-16(9-7-15)25(21,22)18-10-2-1-3-11-18/h4-9,12,17H,1-3,10-11,13H2	QJHOXJPXCQWMCG-UHFFFAOYSA-N	400.5470000000002
Tripos 1557-10610	CCOC(=O)[C@@H]1CCCCN1S(=O)(=O)c1ccc2ccccc2c1	InChI=1S/C18H21NO4S/c1-2-23-18(20)17-9-5-6-12-19(17)24(21,22)16-11-10-14-7-3-4-8-15(14)13-16/h3-4,7-8,10-11,13,17H,2,5-6,9,12H2,1H3/t17-/m0/s1	GIAOHZMTWPYIRD-KRWDZBQOSA-N	347.4360000000001
Maybridge ML 00307	O=C(N/N=C/c1ccccn1)N/N=C/c1ccccn1	InChI=1S/C13H12N6O/c20-13(18-16-9-11-5-1-3-7-14-11)19-17-10-12-6-2-4-8-15-12/h1-10H,(H2,18,19,20)/b16-9+,17-10+	YIEIOROEAWCLIS-CZCYGEDCSA-N	268.28
Bionet 10X-0864	CC1CCN(S(=O)(=O)c2ccc(OCc3cnc(Cl)s3)cc2)CC1	InChI=1S/C16H19ClN2O3S2/c1-12-6-8-19(9-7-12)24(20,21)15-4-2-13(3-5-15)22-11-14-10-18-16(17)23-14/h2-5,10,12H,6-9,11H2,1H3	JNSCSTUZANJFSW-UHFFFAOYSA-N	386.92600000000016
Tripos 1526-22023	CCOC(=O)N1CCC(NC(=S)Nc2ccc(OC)cc2C)CC1	InChI=1S/C17H25N3O3S/c1-4-23-17(21)20-9-7-13(8-10-20)18-16(24)19-15-6-5-14(22-3)11-12(15)2/h5-6,11,13H,4,7-10H2,1-3H3,(H2,18,19,24)	KGIQQMIIGHUGIG-UHFFFAOYSA-N	351.4720000000001
InterBioScreen STOCK5S-13559	COc1ccc(C(=O)Nc2nnc(-c3ccc(Cl)cc3)s2)cc1OC	InChI=1S/C17H14ClN3O3S/c1-23-13-8-5-11(9-14(13)24-2)15(22)19-17-21-20-16(25-17)10-3-6-12(18)7-4-10/h3-9H,1-2H3,(H,19,21,22)	FRDONZCCYVNOJA-UHFFFAOYSA-N	375.8370000000001
Otava 0120630218	O=C(N[C@H](Cc1ccccc1)C(=O)[O-])c1ccccc1Br	InChI=1S/C16H14BrNO3/c17-13-9-5-4-8-12(13)15(19)18-14(16(20)21)10-11-6-2-1-3-7-11/h1-9,14H,10H2,(H,18,19)(H,20,21)/p-1/t14-/m1/s1	IFEXXHHSXLMJQK-CQSZACIVSA-M	347.18800000000005
Asinex ASN 02617640	Cc1ccc(-c2nnc(SCC(=O)Nc3sc(C)c(C)c3C#N)n2C)cc1	InChI=1S/C19H19N5OS2/c1-11-5-7-14(8-6-11)17-22-23-19(24(17)4)26-10-16(25)21-18-15(9-20)12(2)13(3)27-18/h5-8H,10H2,1-4H3,(H,21,25)	ITCMPPBILOAKCR-UHFFFAOYSA-N	397.5290000000002
Chem T&I AMSACS-08601	Cc1c(Cl)cnn1CCCNS(=O)(=O)c1ccc2ccccc2c1	InChI=1S/C17H18ClN3O2S/c1-13-17(18)12-19-21(13)10-4-9-20-24(22,23)16-8-7-14-5-2-3-6-15(14)11-16/h2-3,5-8,11-12,20H,4,9-10H2,1H3	XGAGOZGHWJTSPS-UHFFFAOYSA-N	363.8700000000002
