Name	SMILES	InChI	InChIKey	Molecular Weight
Bionet 10J-371S	Oc1cc(O)c(-c2cccc(Cl)c2)c(Cl)n1	InChI=1S/C11H7Cl2NO2/c12-7-3-1-2-6(4-7)10-8(15)5-9(16)14-11(10)13/h1-5H,(H2,14,15,16)	VOANCSPBFKNXOI-UHFFFAOYSA-N	256.08799999999997
Maybridge KM 02986	Cc1nn(C)c2ncc(C(=O)Nc3ccc(F)c(Cl)c3)c(SC(C)C)c12	InChI=1S/C18H18ClFN4OS/c1-9(2)26-16-12(8-21-17-15(16)10(3)23-24(17)4)18(25)22-11-5-6-14(20)13(19)7-11/h5-9H,1-4H3,(H,22,25)	DYJZPAXIMXCISV-UHFFFAOYSA-N	392.8870000000001
Bionet 10X-0864	CC1CCN(S(=O)(=O)c2ccc(OCc3cnc(Cl)s3)cc2)CC1	InChI=1S/C16H19ClN2O3S2/c1-12-6-8-19(9-7-12)24(20,21)15-4-2-13(3-5-15)22-11-14-10-18-16(17)23-14/h2-5,10,12H,6-9,11H2,1H3	JNSCSTUZANJFSW-UHFFFAOYSA-N	386.92600000000016
Biofocus 112_4406_0049	O=C(Nc1ccc(Cl)cc1)c1cnc2scc(-c3ccccc3)n2c1=O	InChI=1S/C19H12ClN3O2S/c20-13-6-8-14(9-7-13)22-17(24)15-10-21-19-23(18(15)25)16(11-26-19)12-4-2-1-3-5-12/h1-11H,(H,22,24)	OHCNTVBRSHWGNJ-UHFFFAOYSA-N	381.84400000000005
Life Chemicals F0636-0335	Cc1csc2ncc(C(=O)Nc3ccc4c(c3)OCCO4)c(=O)n12	InChI=1S/C16H13N3O4S/c1-9-8-24-16-17-7-11(15(21)19(9)16)14(20)18-10-2-3-12-13(6-10)23-5-4-22-12/h2-3,6-8H,4-5H2,1H3,(H,18,20)	IATNOHDXNTYYTM-UHFFFAOYSA-N	343.36400000000015
Biofocus 119_0552_0135	COc1cccc(CC(=O)Nc2cnc3cnc(-c4cccc(N(C)C)c4)cn23)c1	InChI=1S/C23H23N5O2/c1-27(2)18-8-5-7-17(12-18)20-15-28-21(13-24-20)25-14-22(28)26-23(29)11-16-6-4-9-19(10-16)30-3/h4-10,12-15H,11H2,1-3H3,(H,26,29)	NDTRDMJWXRAPIJ-UHFFFAOYSA-N	401.47000000000014
ASDI 650008660	N#Cc1cnn2c1ncc1c(/C=C/Nc3ccc(I)cc3)nccc12	InChI=1S/C18H11IN6/c19-13-1-3-14(4-2-13)21-7-5-16-15-11-23-18-12(9-20)10-24-25(18)17(15)6-8-22-16/h1-8,10-11,21H/b7-5+	DNNHQNHVMGNVSF-FNORWQNLSA-N	438.232
ASDI 150016433	N#C[C@H](O)c1ccccc1	InChI=1S/C8H7NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H/t8-/m0/s1	NNICRUQPODTGRU-QMMMGPOBSA-N	133.14999999999998
Biofocus 152_5817_5814_4423	Cc1nc2c(C)cccn2c1C(=O)N1CCC2(CC1)OCCO2	InChI=1S/C17H21N3O3/c1-12-4-3-7-20-14(13(2)18-15(12)20)16(21)19-8-5-17(6-9-19)22-10-11-23-17/h3-4,7H,5-6,8-11H2,1-2H3	LHETZVSGPMFNAA-UHFFFAOYSA-N	315.37300000000005
Chemdiv 1648-3187	Cc1occc1C(=O)N/N=C/c1cc(Br)cc([N+](=O)[O-])c1O	InChI=1S/C13H10BrN3O5/c1-7-10(2-3-22-7)13(19)16-15-6-8-4-9(14)5-11(12(8)18)17(20)21/h2-6,18H,1H3,(H,16,19)/b15-6+	KTALEHRPBCOOHE-GIDUJCDVSA-N	368.14300000000003
Biofocus 170_0148_0349	C[C@@H](c1ccccc1)n1c(=O)[nH]c2ncc(-c3cccc(C(=O)N(C)C)c3)nc21	InChI=1S/C22H21N5O2/c1-14(15-8-5-4-6-9-15)27-20-19(25-22(27)29)23-13-18(24-20)16-10-7-11-17(12-16)21(28)26(2)3/h4-14H,1-3H3,(H,23,25,29)/t14-/m0/s1	LWENFWOCIAMHKA-AWEZNQCLSA-N	387.4430000000001
Biofocus 170_4347_0164	COCCCn1c(=O)[nH]c2ncc(-c3ccc(F)c(Cl)c3)nc21	InChI=1S/C15H14ClFN4O2/c1-23-6-2-5-21-14-13(20-15(21)22)18-8-12(19-14)9-3-4-11(17)10(16)7-9/h3-4,7-8H,2,5-6H2,1H3,(H,18,20,22)	OPPPUTPXHWQRBN-UHFFFAOYSA-N	336.75400000000013
Biofocus 179_0146_0280	COc1ccc(-c2cnn3c(NCc4cccs4)ccnc23)cc1	InChI=1S/C18H16N4OS/c1-23-14-6-4-13(5-7-14)16-12-21-22-17(8-9-19-18(16)22)20-11-15-3-2-10-24-15/h2-10,12,20H,11H2,1H3	RZDSDTKEUFFHEA-UHFFFAOYSA-N	336.42000000000013
Asinex BAS 01074185	Cc1ccc(C(=O)C[n+]2ccc3ccccc3c2C)cc1	InChI=1S/C19H18NO/c1-14-7-9-17(10-8-14)19(21)13-20-12-11-16-5-3-4-6-18(16)15(20)2/h3-12H,13H2,1-2H3/q+1	FCYMCVLBKMOTFU-UHFFFAOYSA-N	276.359
Bionet 8R-0635	O=C([O-])C[C@@H](c1ccc(F)cc1)N1Cc2ccccc2C1=O	InChI=1S/C17H14FNO3/c18-13-7-5-11(6-8-13)15(9-16(20)21)19-10-12-3-1-2-4-14(12)17(19)22/h1-8,15H,9-10H2,(H,20,21)/p-1/t15-/m0/s1	ALGXSMHFVYATIX-HNNXBMFYSA-M	298.293
Chem T&I AMCLME-04217	CCCN1CCN(Cc2ccc(Cl)cc2)CC1	InChI=1S/C14H21ClN2/c1-2-7-16-8-10-17(11-9-16)12-13-3-5-14(15)6-4-13/h3-6H,2,7-12H2,1H3	BYQWCICKEFTCNF-UHFFFAOYSA-N	252.789
Chemdiv 2081-1026	Cc1cc([N+](=O)[O-])ccc1NC(=O)c1cc(Cl)ccc1Cl	InChI=1S/C14H10Cl2N2O3/c1-8-6-10(18(20)21)3-5-13(8)17-14(19)11-7-9(15)2-4-12(11)16/h2-7H,1H3,(H,17,19)	SZMANFIYPDHWOI-UHFFFAOYSA-N	325.151
Chem T&I NSB 0020467	CCc1cccc(NC(=O)c2c(OC)cccc2OC)c1	InChI=1S/C17H19NO3/c1-4-12-7-5-8-13(11-12)18-17(19)16-14(20-2)9-6-10-15(16)21-3/h5-11H,4H2,1-3H3,(H,18,19)	IRDFHDWTGPNMLI-UHFFFAOYSA-N	285.343
Biofocus 229_0146_0280	COc1ccc(-c2cnc3ccc(NCc4cccs4)[nH+]n23)cc1	InChI=1S/C18H16N4OS/c1-23-14-6-4-13(5-7-14)16-12-20-18-9-8-17(21-22(16)18)19-11-15-3-2-10-24-15/h2-10,12H,11H2,1H3,(H,19,21)/p+1	ZOTXSOHNAXPEFS-UHFFFAOYSA-O	337.42800000000017
Bionet 2K-538S	N#Cc1cc(S(=O)(=O)c2ccc(F)cc2)c(N)nc1O	InChI=1S/C12H8FN3O3S/c13-8-1-3-9(4-2-8)20(18,19)10-5-7(6-14)12(17)16-11(10)15/h1-5H,(H3,15,16,17)	VLYCSYJSOFIBIL-UHFFFAOYSA-N	293.279
Bionet 2M-901	CCOC(=O)C1=NO[C@@H](C(=O)NN(C)c2ncc(C(F)(F)F)cc2Cl)C1	InChI=1S/C14H14ClF3N4O4/c1-3-25-13(24)9-5-10(26-21-9)12(23)20-22(2)11-8(15)4-7(6-19-11)14(16,17)18/h4,6,10H,3,5H2,1-2H3,(H,20,23)/t10-/m1/s1	JAXKNEPBYSBXDC-SNVBAGLBSA-N	394.7370000000001
Chemdiv 3284-0088	C[C@H](Nc1ccc(Cl)cc1)C(=O)N/N=C/c1c[nH]c2ccccc12	InChI=1S/C18H17ClN4O/c1-12(22-15-8-6-14(19)7-9-15)18(24)23-21-11-13-10-20-17-5-3-2-4-16(13)17/h2-12,20,22H,1H3,(H,23,24)/b21-11+/t12-/m0/s1	RUOUATZJHSPCTF-OVMKCGGTSA-N	340.8140000000001
Chem T&I NSB 0068299	COc1cc(/C=N/NC(=O)c2ccc(C)c(C)c2)cc(OC)c1O	InChI=1S/C18H20N2O4/c1-11-5-6-14(7-12(11)2)18(22)20-19-10-13-8-15(23-3)17(21)16(9-13)24-4/h5-10,21H,1-4H3,(H,20,22)/b19-10+	ZXOCKNRKBFTJCI-VXLYETTFSA-N	328.3680000000001
Biofocus 330_7150_8043_6008	COc1ccc2c(c1)[C@@](C)(Cc1ccc(Cl)cc1)C(=O)N2	InChI=1S/C17H16ClNO2/c1-17(10-11-3-5-12(18)6-4-11)14-9-13(21-2)7-8-15(14)19-16(17)20/h3-9H,10H2,1-2H3,(H,19,20)/t17-/m1/s1	RMKNZPXEAOBCQE-QGZVFWFLSA-N	301.773
Chemdiv 3365-7624	CCOC(=O)c1ccc(NC(=O)CCCOc2ccc(Cl)cc2C)cc1	InChI=1S/C20H22ClNO4/c1-3-25-20(24)15-6-9-17(10-7-15)22-19(23)5-4-12-26-18-11-8-16(21)13-14(18)2/h6-11,13H,3-5,12H2,1-2H3,(H,22,23)	KIZQPYNMLYEFPF-UHFFFAOYSA-N	375.85200000000026
BiotechCA 34633P	O=C(Nc1cc2nc3ccccc3[n+]([O-])c2cc1NC(=O)c1ccccc1)c1ccccc1	InChI=1S/C26H18N4O3/c31-25(17-9-3-1-4-10-17)28-20-15-22-24(30(33)23-14-8-7-13-19(23)27-22)16-21(20)29-26(32)18-11-5-2-6-12-18/h1-16H,(H,28,31)(H,29,32)	AWVKISSUZJIFSB-UHFFFAOYSA-N	434.45500000000004
Chemical Block A3553/0150643	CCC(=O)Nc1nonc1-c1nc2ccccc2n1Cc1cccc(F)c1	InChI=1S/C19H16FN5O2/c1-2-16(26)22-18-17(23-27-24-18)19-21-14-8-3-4-9-15(14)25(19)11-12-6-5-7-13(20)10-12/h3-10H,2,11H2,1H3,(H,22,24,26)	XZUZJWQEXZVERE-UHFFFAOYSA-N	365.36800000000005
Chemdiv 3660-0363	O=C([O-])c1ccccc1Nc1c([N+](=O)[O-])ccc2nonc12	InChI=1S/C13H8N4O5/c18-13(19)7-3-1-2-4-8(7)14-12-10(17(20)21)6-5-9-11(12)16-22-15-9/h1-6,14H,(H,18,19)/p-1	YASSFASVSWBWGJ-UHFFFAOYSA-M	299.222
Labotest LTBB002607	Cc1ccc(C(C)C)cc1O	InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3	RECUKUPTGUEGMW-UHFFFAOYSA-N	150.22099999999998
Chemdiv 2262-3022	C/C(=N\NC(=O)c1cc(C)nc2ccccc12)c1ccc(C)cc1	InChI=1S/C20H19N3O/c1-13-8-10-16(11-9-13)15(3)22-23-20(24)18-12-14(2)21-19-7-5-4-6-17(18)19/h4-12H,1-3H3,(H,23,24)/b22-15+	ILQNFJGHUWWLCM-PXLXIMEGSA-N	317.39200000000005
Bionet 1D-121	CO/N=C/c1ccc(Oc2ccc(C)cc2)c([N+](=O)[O-])c1	InChI=1S/C15H14N2O4/c1-11-3-6-13(7-4-11)21-15-8-5-12(10-16-20-2)9-14(15)17(18)19/h3-10H,1-2H3/b16-10+	UIBGZGQMTKXKIE-MHWRWJLKSA-N	286.28700000000003
Bionet 3G-002	N#C[C@H](c1ccccc1)c1ncc(C(F)(F)F)cc1Cl	InChI=1S/C14H8ClF3N2/c15-12-6-10(14(16,17)18)8-20-13(12)11(7-19)9-4-2-1-3-5-9/h1-6,8,11H/t11-/m1/s1	HFUBHWSPCDGFND-LLVKDONJSA-N	296.679
Bionet 3W-0208	Cc1ccc(C)n1-c1ccc(-c2cc[nH]n2)cc1	InChI=1S/C15H15N3/c1-11-3-4-12(2)18(11)14-7-5-13(6-8-14)15-9-10-16-17-15/h3-10H,1-2H3,(H,16,17)	HIZICVBMBKOZOF-UHFFFAOYSA-N	237.306
BiotechCA 4173	CCC(=O)c1cc(C)n2ccccc12	InChI=1S/C12H13NO/c1-3-12(14)10-8-9(2)13-7-5-4-6-11(10)13/h4-8H,3H2,1-2H3	OMOWSKUUARCCNZ-UHFFFAOYSA-N	187.24199999999993
Bionet 2G-385S	CCOC(=O)c1sc(-c2ccc(C)cc2)nc1C	InChI=1S/C14H15NO2S/c1-4-17-14(16)12-10(3)15-13(18-12)11-7-5-9(2)6-8-11/h5-8H,4H2,1-3H3	UFWPFKJUNKKTKL-UHFFFAOYSA-N	261.346
Chembridge 5363217	c1ccc2cc(OCCC[NH+]3CCCC3)ccc2c1	InChI=1S/C17H21NO/c1-2-7-16-14-17(9-8-15(16)6-1)19-13-5-12-18-10-3-4-11-18/h1-2,6-9,14H,3-5,10-13H2/p+1	IDLCZFVPLYDJSI-UHFFFAOYSA-O	256.3689999999999
Maybridge ML 00286	CCOC(=O)N/N=C/c1cc(Cl)ccc1O	InChI=1S/C10H11ClN2O3/c1-2-16-10(15)13-12-6-7-5-8(11)3-4-9(7)14/h3-6,14H,2H2,1H3,(H,13,15)/b12-6+	LSWNJACXLUTMOQ-WUXMJOGZSA-N	242.66199999999995
Labotest LT00409011	CCn1c(=O)c(/C=N/c2cccc3ccccc23)c(O)c2ccccc21	InChI=1S/C22H18N2O2/c1-2-24-20-13-6-5-11-17(20)21(25)18(22(24)26)14-23-19-12-7-9-15-8-3-4-10-16(15)19/h3-14,25H,2H2,1H3/b23-14+	IOJIGQGWOGCITE-OEAKJJBVSA-N	342.398
Chembridge 7782169	O=C(NC1CCCCC1)c1cc(Br)ccc1Cl	InChI=1S/C13H15BrClNO/c14-9-6-7-12(15)11(8-9)13(17)16-10-4-2-1-3-5-10/h6-8,10H,1-5H2,(H,16,17)	UZVJVHGWRPJYPW-UHFFFAOYSA-N	316.6260000000002
Chembridge 5234119	Cc1cc(C)n(/N=C/c2ccc(F)cc2)c(=O)c1C(N)=O	InChI=1S/C15H14FN3O2/c1-9-7-10(2)19(15(21)13(9)14(17)20)18-8-11-3-5-12(16)6-4-11/h3-8H,1-2H3,(H2,17,20)/b18-8+	IRWISWFIMVEMBF-QGMBQPNBSA-N	287.294
Labotest LT00996361	c1ccc2cc3c(cc2c1)[nH]c1ccccc13	InChI=1S/C16H11N/c1-2-6-12-10-16-14(9-11(12)5-1)13-7-3-4-8-15(13)17-16/h1-10,17H	ROEOVWIEALGNLM-UHFFFAOYSA-N	217.27100000000002
Chembridge 5266789	CCCC(=O)c1c(Nc2ccccc2)cc(C)oc1=O	InChI=1S/C16H17NO3/c1-3-7-14(18)15-13(10-11(2)20-16(15)19)17-12-8-5-4-6-9-12/h4-6,8-10,17H,3,7H2,1-2H3	VWWNUEAFVBJJNR-UHFFFAOYSA-N	271.316
Akos LT-1117 X 229	c1ccc(C[NH2+]Cc2ccc(-c3ccccc3)o2)cc1	InChI=1S/C18H17NO/c1-3-7-15(8-4-1)13-19-14-17-11-12-18(20-17)16-9-5-2-6-10-16/h1-12,19H,13-14H2/p+1	SAUMFLOIZRAZHI-UHFFFAOYSA-O	264.348
Chemical Block A0158/0007075	Cc1ccc2cc(/N=C/c3cccc([N+](=O)[O-])c3O)ccc2n1	InChI=1S/C17H13N3O3/c1-11-5-6-12-9-14(7-8-15(12)19-11)18-10-13-3-2-4-16(17(13)21)20(22)23/h2-10,21H,1H3/b18-10+	LYANCEOUKARONQ-VCHYOVAHSA-N	307.309
Chembridge 5285134	O=C(C[NH+]1CCSCC1)N/N=C/c1ccc2ccccc2c1	InChI=1S/C17H19N3OS/c21-17(13-20-7-9-22-10-8-20)19-18-12-14-5-6-15-3-1-2-4-16(15)11-14/h1-6,11-12H,7-10,13H2,(H,19,21)/p+1/b18-12+	WFMJYFBWJHYCFE-LDADJPATSA-O	314.434
Chembridge 5346089	O=C(c1cc(S(=O)(=O)N2CCCCC2)ccc1Cl)N1CCCCC1	InChI=1S/C17H23ClN2O3S/c18-16-8-7-14(24(22,23)20-11-5-2-6-12-20)13-15(16)17(21)19-9-3-1-4-10-19/h7-8,13H,1-6,9-12H2	YGDWVXJUORWKEU-UHFFFAOYSA-N	370.9020000000004
Chembridge 5347669	CCN(C(=O)c1ccc(C(=O)N(CC)c2ccccc2C)cc1)c1ccccc1C	InChI=1S/C26H28N2O2/c1-5-27(23-13-9-7-11-19(23)3)25(29)21-15-17-22(18-16-21)26(30)28(6-2)24-14-10-8-12-20(24)4/h7-18H,5-6H2,1-4H3	ZFUKXWBGKSIMNP-UHFFFAOYSA-N	400.5220000000001
Chem T&I AMSACS-04541	CCn1cc(CN(C)S(=O)(=O)c2ccc(C)cc2)c(C)n1	InChI=1S/C15H21N3O2S/c1-5-18-11-14(13(3)16-18)10-17(4)21(19,20)15-8-6-12(2)7-9-15/h6-9,11H,5,10H2,1-4H3	IJSHCJNWLVDSRO-UHFFFAOYSA-N	307.4190000000001
Chembridge 5367995	CCOC(=O)C(CCCOc1cccc(C)c1)C(=O)OCC	InChI=1S/C17H24O5/c1-4-20-16(18)15(17(19)21-5-2)10-7-11-22-14-9-6-8-13(3)12-14/h6,8-9,12,15H,4-5,7,10-11H2,1-3H3	GBIMJHBYTJVNER-UHFFFAOYSA-N	308.374
Chembridge 5418691	O=[N+]([O-])c1cccc(C[N@H+]2CC=C(c3ccc(F)cc3)CC2)c1	InChI=1S/C18H17FN2O2/c19-17-6-4-15(5-7-17)16-8-10-20(11-9-16)13-14-2-1-3-18(12-14)21(22)23/h1-8,12H,9-11,13H2/p+1	VLXKKLBPHRIIRN-UHFFFAOYSA-O	313.352
Chembridge 5456601	CCC[NH+]1CCC([NH2+]Cc2ccc(F)cc2)CC1	InChI=1S/C15H23FN2/c1-2-9-18-10-7-15(8-11-18)17-12-13-3-5-14(16)6-4-13/h3-6,15,17H,2,7-12H2,1H3/p+2	AIYRXRFTMFTKOD-UHFFFAOYSA-P	252.37699999999998
Specs AG-690/13704539	c1ccc2cc(C[NH+]3CCC([NH+]4CCCCC4)CC3)ccc2c1	InChI=1S/C21H28N2/c1-4-12-23(13-5-1)21-10-14-22(15-11-21)17-18-8-9-19-6-2-3-7-20(19)16-18/h2-3,6-9,16,21H,1,4-5,10-15,17H2/p+2	GFDUCIZPKXTZAX-UHFFFAOYSA-P	310.48500000000007
Chembridge 5424021	Cc1ccc2occ(C[NH+]3CCN(c4cccc(C(F)(F)F)c4)CC3)c(=O)c2c1	InChI=1S/C22H21F3N2O2/c1-15-5-6-20-19(11-15)21(28)16(14-29-20)13-26-7-9-27(10-8-26)18-4-2-3-17(12-18)22(23,24)25/h2-6,11-12,14H,7-10,13H2,1H3/p+1	XHODKCVWZJTTBK-UHFFFAOYSA-O	403.4240000000001
Chembridge 5269683	COc1cc2c(cc1OC)C[N@@H+](Cc1ccc3ccccc3c1)CC2	InChI=1S/C22H23NO2/c1-24-21-12-19-9-10-23(15-20(19)13-22(21)25-2)14-16-7-8-17-5-3-4-6-18(17)11-16/h3-8,11-13H,9-10,14-15H2,1-2H3/p+1	PJCLDWQOWBBYNN-UHFFFAOYSA-O	334.439
Chembridge 5460952	c1cc2c(cc1CNc1ccc3c(c1)CCC3)OCO2	InChI=1S/C17H17NO2/c1-2-13-5-6-15(9-14(13)3-1)18-10-12-4-7-16-17(8-12)20-11-19-16/h4-9,18H,1-3,10-11H2	GPZIVVMHXFCIRW-UHFFFAOYSA-N	267.328
Chembridge 5509842	CCCCOc1cccc(NC(=O)c2cc([N+](=O)[O-])ccc2Cl)c1	InChI=1S/C17H17ClN2O4/c1-2-3-9-24-14-6-4-5-12(10-14)19-17(21)15-11-13(20(22)23)7-8-16(15)18/h4-8,10-11H,2-3,9H2,1H3,(H,19,21)	KLXDDQGHBXWIHF-UHFFFAOYSA-N	348.7860000000002
Chemdiv 0896-2223	Cc1cc(Cl)ccc1OCC(=O)N/N=C/c1cc(Br)ccc1O	InChI=1S/C16H14BrClN2O3/c1-10-6-13(18)3-5-15(10)23-9-16(22)20-19-8-11-7-12(17)2-4-14(11)21/h2-8,21H,9H2,1H3,(H,20,22)/b19-8+	MXJKKPMGKVTFET-UFWORHAWSA-N	397.656
Chembridge 5695101	Cc1sc(NC(=O)c2cc(Cl)ccc2Cl)c(C#N)c1C	InChI=1S/C14H10Cl2N2OS/c1-7-8(2)20-14(11(7)6-17)18-13(19)10-5-9(15)3-4-12(10)16/h3-5H,1-2H3,(H,18,19)	XFMLHKWNOKETBI-UHFFFAOYSA-N	325.2200000000001
Chembridge 5729068	COc1cccc2cc(-c3csc(Nc4cccc(C)c4)n3)c(=O)oc12	InChI=1S/C20H16N2O3S/c1-12-5-3-7-14(9-12)21-20-22-16(11-26-20)15-10-13-6-4-8-17(24-2)18(13)25-19(15)23/h3-11H,1-2H3,(H,21,22)	PJSNMICFSBBQGQ-UHFFFAOYSA-N	364.4260000000001
Chembridge 5808022	COc1ccc([C@@H]2C3=C(CC(C)(C)CC3=O)Nc3nc(O)nc(O)c32)cc1	InChI=1S/C20H21N3O4/c1-20(2)8-12-15(13(24)9-20)14(10-4-6-11(27-3)7-5-10)16-17(21-12)22-19(26)23-18(16)25/h4-7,14H,8-9H2,1-3H3,(H3,21,22,23,25,26)/t14-/m1/s1	IBEHWIJZTXNDPW-CQSZACIVSA-N	367.4050000000001
Chembridge 5839398	O=C(Nc1cccc(-c2nc3cc(Cl)ccc3o2)c1)c1ccccc1[N+](=O)[O-]	InChI=1S/C20H12ClN3O4/c21-13-8-9-18-16(11-13)23-20(28-18)12-4-3-5-14(10-12)22-19(25)15-6-1-2-7-17(15)24(26)27/h1-11H,(H,22,25)	GATCNBPZWBMMGY-UHFFFAOYSA-N	393.78600000000006
Chembridge 5859646	CCOC(=O)N1CCN(C(=O)c2ccc(C#CC(C)(C)O)cc2)CC1	InChI=1S/C19H24N2O4/c1-4-25-18(23)21-13-11-20(12-14-21)17(22)16-7-5-15(6-8-16)9-10-19(2,3)24/h5-8,24H,4,11-14H2,1-3H3	TXZHTJLFMQZDEB-UHFFFAOYSA-N	344.41100000000006
