	domain	reference	fpocket	drug score	prank rescore	buriedness
41	A1Z1Q3_PF01661_88_201	4IQY_A	fpocket1	0.114	6.9487	15
42	A2RUC4_PF13621_16_256	3AL5_D	fpocket2	0.709	25.84	25
43	A2RUC4_PF13621_16_256	3AL5_D	fpocket11	0.0	20.7988	17
44	A4D126_PF18706_283_451	4CVH_A	fpocket2	0.88	6.8085	15
45	A4D126_PF18706_283_451	4CVH_A	fpocket5	0.194	2.8004	19
46	A4D1E9_PF01018_16_143	7OI6_y	fpocket3	0.283	4.2886	15
47	A4D1E9_PF01018_16_143	7OI6_y	fpocket8	0.005	3.7301	17
48	A4GXA9_PF02732_80_250	7F6L_B	fpocket6	0.024	6.9139	15
49	A4GXA9_PF02732_80_250	7F6L_B	fpocket3	0.081	5.2298	15
50	A5YKK6_PF12842_1387_1534	4CRU_A	fpocket4	0.001	4.7971	14
51	A5YKK6_PF12842_1387_1534	4CRU_A	fpocket2	0.875	4.7775	20
52	A5YKK6_PF16415_1087_1313	4CRW_A	fpocket9	0.009	6.2162	14
53	A5YKK6_PF16415_1087_1313	4CRW_A	fpocket5	0.006	3.9193	16
54	A5YKK6_PF16417_813_1004	4J8S_A	fpocket1	0.177	10.9572	17
55	A5YKK6_PF16417_813_1004	4J8S_A	fpocket4	0.023	2.8786	17
56	A6H8Y1_PF15963_293_399	5N9G_C	fpocket3	0.046	4.785	12
57	A6H8Y1_PF15963_293_399	5N9G_C	fpocket2	0.7	3.0855	17
58	A6ND01_PF03024_26_208	5F4E_B	fpocket2	0.505	18.8655	19
59	A6ND01_PF03024_26_208	5F4E_B	fpocket10	0.0	7.3797	13
60	A6NGN9_PF00047_37_127	6DLD_A	fpocket1	0.306	4.1776	11
61	A6NGN9_PF00047_37_127	6DLD_A	fpocket2	0.005	2.9708	15
62	A6NGN9_PF13927_134_199	6DLD_A	fpocket5	0.0	3.5297	10
63	A6NGN9_PF13927_134_199	6DLD_A	fpocket2	0.063	3.4722	14
64	A6NGN9_PF13927_217_295	6DLD_A	fpocket1	0.844	12.9408	17
65	A6NGN9_PF13927_217_295	6DLD_A	fpocket3	0.003	1.5165	12
66	A6NHR9_PF13589_139_295	6MW7_C	fpocket10	0.457	84.0823	22
67	A6NHR9_PF13589_139_295	6MW7_C	fpocket9	0.114	25.4108	19
68	A6NI73_PF13895_46_135	2D3V_A	fpocket1	0.0	1.2657	11
69	A6NI73_PF13895_46_135	2D3V_A	fpocket2	0.016	1.2519	13
70	A6NK06_PF03972_8_254	6R6U_A	fpocket8	0.005	7.6971	20
71	A6NK06_PF03972_8_254	6R6U_A	fpocket5	0.0	6.4134	21
72	A6NK06_PF19305_274_447	6R6U_A	fpocket6	0.0	6.0357	15
73	A6NK06_PF19305_274_447	6R6U_A	fpocket1	0.766	4.57	13
74	A6NK44_PF00903_37_154	3ZW5_A	fpocket1	0.072	4.9076	18
75	A6NK44_PF00903_37_154	3ZW5_A	fpocket6	0.004	3.3078	10
76	A7KAX9_PF00620_386_534	3IUG_A	fpocket3	0.853	7.0462	15
77	A7KAX9_PF00620_386_534	3IUG_A	fpocket4	0.004	4.1615	18
78	A8K7I4_PF13519_307_414	6PYO_A	fpocket1	0.012	3.1248	12
79	A8K7I4_PF13519_307_414	6PYO_A	fpocket3	0.008	2.4212	10
80	A8MT69_PF09415_12_81	4NE3_B	fpocket2	0.111	1.0973	12
81	A8MT69_PF09415_12_81	4NE3_B	fpocket1	0.008	0.5713	15
82	A8MUM7_PF00337_5_137	6LJQ_A	fpocket6	0.001	9.7481	18
83	A8MUM7_PF00337_5_137	6LJQ_A	fpocket1	0.749	2.8904	13
84	A8MW92_PF02820_17_69	6L1P_A	fpocket1	0.342	9.774	13
85	A8MW92_PF02820_17_69	6L1P_A	fpocket3	0.0	0.7087	11
86	A8MW92_PF18104_90_123	2EQU_A	fpocket2	0.069	3.8029	10
87	A8MW92_PF18104_90_123	2EQU_A	fpocket1	0.021	0.2896	14
88	A9YTQ3_PF00010_33_80	5Y7Y_A	fpocket3	0.376	1.8349	14
89	A9YTQ3_PF00010_33_80	5Y7Y_A	fpocket2	0.118	1.2292	12
90	A9YTQ3_PF00989_114_187	5Y7Y_A	fpocket2	0.502	6.9123	21
91	A9YTQ3_PF00989_114_187	5Y7Y_A	fpocket1	0.008	2.2774	17
92	B2RXH2_PF02373_176_292	2W2I_A	fpocket2	0.026	37.369	18
93	B2RXH2_PF02373_176_292	2W2I_A	fpocket3	0.084	5.3779	19
94	B7Z8K6_PF07654_2_78	1HXM_A	fpocket1	0.371	1.3509	16
95	B7Z8K6_PF07654_2_78	1HXM_A	fpocket3	0.0	1.2837	10
96	D3W0D1_PF00059_95_195	4IOP_B	fpocket2	0.01	5.0412	18
97	D3W0D1_PF00059_95_195	4IOP_B	fpocket3	0.029	1.3544	15
98	O00139_PF00225_229_553	6BBN_E	fpocket3	0.003	27.9572	21
99	O00139_PF00225_229_553	6BBN_E	fpocket1	0.917	27.6316	20
100	O00141_PF00069_98_355	2R5T_A	fpocket3	0.599	36.6057	24
101	O00141_PF00069_98_355	2R5T_A	fpocket24	0.0	18.1877	20
102	O00151_PF00412_260_314	1X62_A	fpocket1	0.405	1.9612	15
103	O00151_PF00412_260_314	1X62_A	fpocket3	0.009	1.6731	17
104	O00151_PF00595_3_82	2PKT_A	fpocket1	0.283	5.9431	13
105	O00151_PF00595_3_82	2PKT_A	fpocket2	0.001	3.1531	18
106	O00154_PF03061_242_317	2QQ2_C	fpocket4	0.014	26.3824	20
107	O00154_PF03061_242_317	2QQ2_C	fpocket2	0.021	3.1053	12
108	O00159_PF00063_48_718	4BYF_A	fpocket2	0.002	26.7981	26
109	O00159_PF00063_48_718	4BYF_A	fpocket22	0.001	21.5936	18
110	O00167_PF00702_268_514	4EGC_B	fpocket1	0.09	6.9217	21
111	O00167_PF00702_268_514	4EGC_B	fpocket5	0.016	6.389	15
112	O00170_PF00254_26_95	2LKN_A	fpocket3	0.289	18.7751	17
113	O00170_PF00254_26_95	2LKN_A	fpocket2	0.048	3.9981	14
114	O00175_PF00048_31_89	1EIG_A	fpocket1	0.431	6.495	18
115	O00175_PF00048_31_89	1EIG_A	fpocket6	0.0	3.2441	18
116	O00182_PF00337_16_147	2ZHN_A	fpocket1	0.001	8.4108	16
117	O00182_PF00337_16_147	2ZHN_A	fpocket4	0.0	6.4624	21
118	O00182_PF00337_226_355	3NV1_A	fpocket2	0.006	7.082	16
119	O00182_PF00337_226_355	3NV1_A	fpocket3	0.009	1.5242	16
120	O00187_PF00084_300_361	1ZJK_A	fpocket1	0.663	1.5254	15
121	O00187_PF00084_366_430	3TVJ_A	fpocket1	0.001	0.9895	16
122	O00187_PF00084_366_430	3TVJ_A	fpocket2	0.504	0.8298	13
123	O00187_PF00089_445_679	3TVJ_B	fpocket15	0.002	9.5326	14
124	O00187_PF00089_445_679	3TVJ_B	fpocket18	0.036	8.7953	15
125	O00187_PF00431_24_134	1SZB_A	fpocket4	0.0	2.6833	13
126	O00187_PF00431_24_134	1SZB_A	fpocket1	0.011	2.1981	14
127	O00187_PF07645_138_180	1SZB_A	fpocket1	0.121	1.3267	9
128	O00194_PF00071_11_183	2F7S_A	fpocket13	0.002	11.3778	17
129	O00194_PF00071_11_183	2F7S_A	fpocket15	0.0	9.9327	14
130	O00204_PF00685_60_305	1Q20_A	fpocket1	0.976	69.5287	25
131	O00204_PF00685_60_305	1Q20_A	fpocket5	0.003	7.6859	10
132	O00212_PF00071_19_192	7KDC_A	fpocket1	0.792	30.4102	20
133	O00212_PF00071_19_192	7KDC_A	fpocket7	0.0	9.7228	21
134	O00213_PF00397_255_283	2HO2_A	fpocket1	0.017	2.4976	10
135	O00213_PF00397_255_283	2HO2_A	fpocket2	0.228	0.8505	13
136	O00213_PF00640_370_509	3D8D_A	fpocket12	0.385	45.8547	15
137	O00213_PF00640_370_509	3D8D_A	fpocket11	0.013	3.6239	14
138	O00213_PF00640_543_664	3DXE_A	fpocket1	0.5	7.7908	12
139	O00213_PF00640_543_664	3DXE_A	fpocket5	0.007	2.9035	16
140	O00214_PF00337_186_316	4GXL_A	fpocket2	0.036	8.4022	14
141	O00214_PF00337_186_316	4GXL_A	fpocket10	0.046	4.6833	16
142	O00214_PF00337_18_151	5GZC_A	fpocket4	0.003	4.2376	16
143	O00214_PF00337_18_151	5GZC_A	fpocket1	0.272	3.9918	21
144	O00217_PF12838_110_164	5XTB_B	fpocket1	0.421	9.0464	20
145	O00217_PF12838_110_164	5XTB_B	fpocket4	0.015	6.2285	21
146	O00220_PF00020_148_188	5CIR_G	fpocket2	0.015	1.9404	11
147	O00220_PF00020_148_188	5CIR_G	fpocket1	0.0	0.1354	9
148	O00231_PF01399_285_389	5VGZ_X	fpocket1	0.874	7.7937	26
149	O00231_PF01399_285_389	5VGZ_X	fpocket6	0.027	7.0787	25
150	O00231_PF18055_12_129	5GJQ_Q	fpocket7	0.008	7.6892	21
151	O00231_PF18055_12_129	5GJQ_Q	fpocket3	0.002	3.8933	14
152	O00232_PF01399_300_417	5VGZ_W	fpocket1	0.962	20.0817	22
153	O00232_PF01399_300_417	5VGZ_W	fpocket2	0.0	14.6706	17
154	O00232_PF18098_422_454	5VGZ_W	fpocket1	0.031	2.3447	12
155	O00232_PF18098_422_454	5VGZ_W	fpocket2	0.145	2.01	13
156	O00238_PF07714_204_491	3MDY_A	fpocket5	0.175	19.6784	25
157	O00238_PF07714_204_491	3MDY_A	fpocket12	0.001	8.4906	16
158	O00241_PF07686_37_144	2JJU_B	fpocket1	0.026	4.6874	19
159	O00241_PF07686_37_144	2JJU_B	fpocket3	0.0	4.3966	19
160	O00244_PF00403_5_61	3IWL_A	fpocket1	0.432	1.0765	12
161	O00244_PF00403_5_61	3IWL_A	fpocket2	0.391	0.5482	14
162	O00257_PF00385_11_60	3I8Z_A	fpocket2	0.041	2.752	13
163	O00257_PF00385_11_60	3I8Z_A	fpocket3	0.341	1.8103	12
164	O00264_PF00173_74_171	4X8Y_A	fpocket1	0.475	9.3589	16
165	O00264_PF00173_74_171	4X8Y_A	fpocket2	0.01	7.4425	13
166	O00273_PF02017_18_95	1IBX_B	fpocket1	0.649	9.3448	29
167	O00273_PF02017_18_95	1IBX_B	fpocket10	0.0	2.1355	16
168	O00294_PF01167_295_537	3C5N_A	fpocket8	0.361	5.3959	17
169	O00294_PF01167_295_537	3C5N_A	fpocket4	0.005	5.2294	19
170	O00299_PF13409_23_87	4K0N_A	fpocket4	0.068	12.4633	14
171	O00299_PF13409_23_87	4K0N_A	fpocket3	0.01	3.5378	11
172	O00299_PF13410_123_211	4K0N_A	fpocket4	0.013	2.5279	12
173	O00299_PF13410_123_211	4K0N_A	fpocket2	0.057	2.1523	14
174	O00300_PF00020_107_142	3URF_Z	fpocket3	0.001	0.9633	12
175	O00300_PF00020_107_142	3URF_Z	fpocket1	0.017	0.8573	14
176	O00300_PF00020_25_62	3URF_Z	fpocket1	0.001	3.2444	13
177	O00300_PF00020_25_62	3URF_Z	fpocket2	0.506	1.51	10
178	O00300_PF00020_65_105	3URF_Z	fpocket2	0.0	2.239	6
179	O00300_PF00020_65_105	3URF_Z	fpocket1	0.256	2.059	12
180	O00305_PF12052_50_91	2D46_A	fpocket1	0.0	5.5724	18
181	O00305_PF12052_50_91	2D46_A	fpocket2	0.001	1.9968	12
182	O00308_PF00397_332_361	6J1Z_A	fpocket1	0.315	2.1857	13
183	O00308_PF00397_446_475	6RSS_A	fpocket1	0.154	2.4243	11
184	O00308_PF00632_565_870	5TJ8_A	fpocket2	0.553	30.6158	26
185	O00308_PF00632_565_870	5TJ8_A	fpocket1	0.969	8.7197	21
186	O00311_PF00069_357_482	6YA6_A	fpocket1	0.488	5.4636	19
187	O00311_PF00069_357_482	6YA6_A	fpocket3	0.005	3.5553	16
188	O00311_PF00069_58_221	6YA6_A	fpocket1	0.844	33.1314	20
189	O00311_PF00069_58_221	6YA6_A	fpocket2	0.009	7.0879	19
190	O00327_PF00010_73_126	4H10_A	fpocket3	0.0	2.0857	14
191	O00327_PF00010_73_126	4H10_A	fpocket2	0.111	1.7484	11
192	O00329_PF00792_337_464	6PYR_A	fpocket6	0.002	7.1029	17
193	O00329_PF00792_337_464	6PYR_A	fpocket3	0.372	5.6701	18
194	O00329_PF00794_175_281	6PYR_A	fpocket4	0.001	4.6439	14
195	O00329_PF00794_175_281	6PYR_A	fpocket6	0.099	3.5131	14
196	O00330_PF00364_57_131	2DNC_A	fpocket1	0.17	3.8773	18
197	O00330_PF00364_57_131	2DNC_A	fpocket2	0.0	1.8369	14
198	O00338_PF00685_39_289	3BFX_A	fpocket1	0.901	46.4433	19
199	O00338_PF00685_39_289	3BFX_A	fpocket10	0.003	12.0843	23
200	O00370_PF03372_11_230	2V0S_A	fpocket17	0.0	9.9715	15
201	O00370_PF03372_11_230	2V0S_A	fpocket11	0.0	6.3127	13
202	O00391_PF00085_42_147	3Q6O_A	fpocket1	0.797	10.6197	19
203	O00391_PF00085_42_147	3Q6O_A	fpocket7	0.001	3.1439	13
204	O00391_PF18108_162_269	3Q6O_A	fpocket2	0.001	2.8194	20
205	O00391_PF18108_162_269	3Q6O_A	fpocket9	0.001	2.4942	10
206	O00391_PF18371_295_396	3LLK_C	fpocket6	0.001	3.0384	15
207	O00391_PF18371_295_396	3LLK_C	fpocket1	0.003	2.9558	13
208	O00408_PF00233_655_888	5U00_A	fpocket7	0.881	49.3996	14
209	O00408_PF00233_655_888	5U00_A	fpocket2	0.063	7.8979	17
210	O00408_PF01590_241_372	3IBJ_A	fpocket4	0.035	6.0928	15
211	O00408_PF01590_241_372	3IBJ_A	fpocket6	0.001	3.014	17
212	O00408_PF01590_409_548	3IBJ_A	fpocket3	0.002	9.8811	19
213	O00408_PF01590_409_548	3IBJ_A	fpocket10	0.004	7.0417	24
214	O00409_PF00250_113_200	6NCE_A	fpocket1	0.356	5.8134	15
215	O00409_PF00250_113_200	6NCE_A	fpocket3	0.002	4.4601	14
216	O00411_PF14700_411_704	4BOC_A	fpocket21	0.977	26.6066	19
217	O00411_PF14700_411_704	4BOC_A	fpocket6	0.556	10.0213	22
218	O00425_PF00076_4_69	6FQ1_A	fpocket2	0.347	3.3201	28
219	O00425_PF00076_4_69	6FQ1_A	fpocket5	0.003	0.8042	10
220	O00425_PF00076_83_150	6FQ1_A	fpocket1	0.384	3.6093	18
221	O00425_PF00076_83_150	6FQ1_A	fpocket9	0.0	1.7182	9
222	O00429_PF00350_28_217	3W6P_B	fpocket1	0.002	24.7198	24
223	O00429_PF00350_28_217	3W6P_B	fpocket6	0.016	7.4737	21
224	O00443_PF00168_1572_1680	6BTY_A	fpocket5	0.638	20.9028	17
225	O00443_PF00168_1572_1680	6BTY_A	fpocket8	0.0	4.8306	12
226	O00443_PF00787_1450_1534	2AR5_A	fpocket5	0.352	7.8654	15
227	O00443_PF00787_1450_1534	2AR5_A	fpocket2	0.076	5.2153	13
228	O00444_PF00069_12_265	3COK_A	fpocket10	0.645	22.1525	23
229	O00444_PF00069_12_265	3COK_A	fpocket4	0.004	15.1868	19
230	O00444_PF18190_591_697	4N9J_A	fpocket1	0.261	5.8066	16
231	O00444_PF18190_591_697	4N9J_A	fpocket2	0.0	4.7136	15
232	O00444_PF18409_699_807	4N9J_A	fpocket1	0.491	7.7026	16
233	O00444_PF18409_699_807	4N9J_A	fpocket4	0.001	7.4272	15
234	O00445_PF00168_123_229	5H4Y_A	fpocket5	0.046	20.3467	17
235	O00445_PF00168_123_229	5H4Y_A	fpocket2	0.013	4.8687	14
236	O00451_PF02351_161_241	5MR5_C	fpocket4	0.01	3.0963	15
237	O00451_PF02351_161_241	5MR5_C	fpocket1	0.202	2.4512	20
238	O00451_PF02351_251_347	5MR5_C	fpocket1	0.111	8.5817	19
239	O00451_PF02351_251_347	5MR5_C	fpocket2	0.0	4.3273	13
240	O00451_PF02351_40_115	5MR4_C	fpocket2	0.005	4.3376	13
241	O00451_PF02351_40_115	5MR4_C	fpocket1	0.453	4.1482	18
242	O00459_PF00017_330_405	7RNU_A	fpocket7	0.017	5.0291	17
243	O00459_PF00017_330_405	7RNU_A	fpocket3	0.275	4.1567	16
244	O00459_PF00620_125_259	2XS6_A	fpocket3	0.926	8.4746	19
245	O00459_PF00620_125_259	2XS6_A	fpocket6	0.0	3.946	12
246	O00459_PF16454_428_596	3MTT_A	fpocket1	0.482	7.4503	19
247	O00459_PF16454_428_596	3MTT_A	fpocket3	0.159	3.239	14
248	O00463_PF00097_45_83	7L3L_A	fpocket1	0.202	3.5515	20
249	O00472_PF07303_532_633	5JW9_B	fpocket10	0.001	5.9763	15
250	O00472_PF07303_532_633	5JW9_B	fpocket1	0.141	4.6518	15
251	O00478_PF07686_35_144	4F8T_A	fpocket2	0.496	2.4107	19
252	O00478_PF07686_35_144	4F8T_A	fpocket6	0.0	2.0044	14
253	O00481_PF07686_35_144	4K55_A	fpocket1	0.078	2.3295	18
254	O00481_PF07686_35_144	4K55_A	fpocket11	0.039	2.0352	14
255	O00482_PF00104_330_523	6VC2_A	fpocket8	0.788	36.7306	21
256	O00482_PF00104_330_523	6VC2_A	fpocket6	0.004	15.6191	20
257	O00482_PF00105_84_153	5L0M_A	fpocket1	0.186	3.0329	13
258	O00482_PF00105_84_153	5L0M_A	fpocket4	0.003	2.4989	16
259	O00499_PF14604_527_590	1MUZ_A	fpocket4	0.654	3.8507	17
260	O00499_PF14604_527_590	1MUZ_A	fpocket1	0.001	2.5841	16
261	O00506_PF00069_20_270	2XIK_A	fpocket5	0.459	20.0035	25
262	O00506_PF00069_20_270	2XIK_A	fpocket19	0.009	15.7238	19
263	O00522_PF00373_517_640	4HDO_A	fpocket2	0.001	3.8236	21
264	O00522_PF00373_517_640	4HDO_A	fpocket3	0.459	3.6708	17
265	O00522_PF16705_22_198	4DX8_H	fpocket1	0.016	21.7798	22
266	O00522_PF16705_22_198	4DX8_H	fpocket4	0.0	3.3821	16
267	O00548_PF00008_285_324	4XBM_B	fpocket1	0.158	1.7086	17
268	O00548_PF00008_285_324	4XBM_B	fpocket3	0.135	1.4091	8
269	O00548_PF00008_332_361	4XBM_B	fpocket1	0.001	2.3574	16
270	O00548_PF00008_370_399	4XBM_B	fpocket1	0.001	1.7572	10
271	O00548_PF01414_179_224	4XBM_A	fpocket1	0.003	1.8743	13
272	O00560_PF00595_114_191	1W9E_A	fpocket1	0.098	8.1453	17
273	O00560_PF00595_114_191	1W9E_A	fpocket4	0.014	2.7488	9
274	O00560_PF00595_198_270	1R6J_A	fpocket2	0.424	9.4485	16
275	O00560_PF00595_198_270	1R6J_A	fpocket1	0.0	4.6096	16
276	O00571_PF00270_204_392	2I4I_A	fpocket2	0.0	8.2708	21
277	O00571_PF00270_204_392	2I4I_A	fpocket6	0.0	4.2037	20
278	O00571_PF00271_426_536	5E7I_C	fpocket1	0.046	2.7321	15
279	O00571_PF00271_426_536	5E7I_C	fpocket3	0.037	1.319	12
280	O00584_PF00445_34_213	3T0O_A	fpocket6	0.014	24.118	14
281	O00584_PF00445_34_213	3T0O_A	fpocket2	0.41	14.9572	21
282	O00585_PF00048_29_90	5EKI_F	fpocket1	0.25	3.4275	14
283	O00585_PF00048_29_90	5EKI_F	fpocket2	0.012	0.9349	20
284	O00602_PF00147_114_326	2WNP_F	fpocket1	0.079	8.5337	17
285	O00602_PF00147_114_326	2WNP_F	fpocket11	0.0	7.6906	16
286	O00625_PF05726_171_277	6N0K_A	fpocket1	0.075	4.1333	14
287	O00625_PF05726_171_277	6N0K_A	fpocket3	0.003	0.9845	18
288	O00746_PF00334_38_172	1EHW_A	fpocket8	0.774	14.5308	14
289	O00746_PF00334_38_172	1EHW_A	fpocket5	0.0	7.668	16
290	O00757_PF00316_12_199	3IFA_D	fpocket2	0.067	19.4868	21
291	O00757_PF00316_12_199	3IFA_D	fpocket6	0.0	9.5463	13
292	O00757_PF18913_203_333	4HE2_A	fpocket2	0.096	3.6843	15
293	O00757_PF18913_203_333	4HE2_A	fpocket9	0.079	2.791	13
294	O00762_PF00179_34_170	4YII_U	fpocket6	0.0	6.5017	15
295	O00762_PF00179_34_170	4YII_U	fpocket1	0.179	2.698	20
296	O00763_PF00289_259_379	3GLK_A	fpocket7	0.005	4.5949	16
297	O00763_PF00289_259_379	3GLK_A	fpocket4	0.0	3.7097	16
298	O00763_PF00364_895_961	2DN8_A	fpocket3	0.002	3.6086	12
299	O00763_PF00364_895_961	2DN8_A	fpocket5	0.107	1.9343	10
300	O00763_PF02785_650_758	2HJW_A	fpocket1	0.361	3.3963	14
301	O00763_PF02785_650_758	2HJW_A	fpocket2	0.009	3.3568	21
302	O00763_PF02786_417_616	2HJW_A	fpocket2	0.59	16.5533	15
303	O00763_PF02786_417_616	2HJW_A	fpocket10	0.0	8.0745	14
304	O14492_PF08916_22_78	1Q2H_C	fpocket4	0.202	12.8143	11
305	O14492_PF08916_22_78	1Q2H_C	fpocket2	0.555	10.4149	17
306	O14497_PF01388_1019_1104	1RYU_A	fpocket1	0.471	4.7497	11
307	O14497_PF01388_1019_1104	1RYU_A	fpocket6	0.008	4.7058	17
308	O14508_PF00017_48_129	2C9W_A	fpocket6	0.0	4.3978	18
309	O14508_PF00017_48_129	2C9W_A	fpocket2	0.009	3.893	13
310	O14508_PF07525_159_192	2C9W_A	fpocket1	0.759	3.7291	14
311	O14522_PF00102_912_1142	2OOQ_A	fpocket8	0.025	11.6859	16
312	O14522_PF00102_912_1142	2OOQ_A	fpocket4	0.013	11.273	17
313	O14523_PF18696_102_253	5TOD_F	fpocket1	0.949	28.9207	22
314	O14523_PF18696_102_253	5TOD_F	fpocket5	0.0	4.6992	14
315	O14529_PF02376_1043_1120	1WH8_A	fpocket6	0.002	2.3899	16
316	O14529_PF02376_1043_1120	1WH8_A	fpocket3	0.475	1.8343	12
317	O14529_PF02376_549_627	1X2L_A	fpocket3	0.0	4.6545	11
318	O14529_PF02376_549_627	1X2L_A	fpocket2	0.04	2.309	18
319	O14529_PF02376_892_967	1WH6_A	fpocket6	0.009	4.1247	14
320	O14529_PF02376_892_967	1WH6_A	fpocket1	0.003	4.0663	16
321	O14531_PF01979_64_453	5NKS_A	fpocket2	0.88	24.4023	17
322	O14531_PF01979_64_453	5NKS_A	fpocket1	0.0	6.1061	19
323	O14544_PF00017_384_461	2VIF_A	fpocket4	0.0	10.0806	13
324	O14544_PF00017_384_461	2VIF_A	fpocket7	0.241	4.5729	13
325	O14556_PF00044_76_176	3H9E_O	fpocket1	0.364	8.3132	19
326	O14556_PF00044_76_176	3H9E_O	fpocket5	0.0	3.1078	11
327	O14556_PF02800_229_386	3H9E_O	fpocket15	0.005	10.5439	21
328	O14556_PF02800_229_386	3H9E_O	fpocket12	0.068	4.2698	18
329	O14558_PF00011_66_158	4JUS_B	fpocket4	0.14	3.6185	11
330	O14558_PF00011_66_158	4JUS_B	fpocket6	0.001	2.7722	12
331	O14561_PF00550_81_148	6ODD_A	fpocket1	0.283	3.5662	14
332	O14561_PF00550_81_148	6ODD_A	fpocket2	0.106	0.8628	13
333	O14607_PF02373_1080_1188	4UF0_A	fpocket1	0.009	32.3727	19
334	O14607_PF02373_1080_1188	4UF0_A	fpocket2	0.301	4.1786	19
335	O14618_PF00080_99_230	6FN8_A	fpocket1	0.025	12.749	16
336	O14618_PF00080_99_230	6FN8_A	fpocket2	0.135	9.4979	22
337	O14618_PF00403_15_72	6FP6_D	fpocket3	0.0	2.3365	11
338	O14618_PF00403_15_72	6FP6_D	fpocket2	0.066	1.3362	13
339	O14625_PF00048_28_89	1RJT_A	fpocket2	0.435	6.7237	18
340	O14625_PF00048_28_89	1RJT_A	fpocket1	0.16	3.9871	17
341	O14638_PF01223_613_856	6C02_A	fpocket2	0.794	9.0489	21
342	O14638_PF01223_613_856	6C02_A	fpocket1	0.124	8.7278	21
343	O14640_PF00595_251_336	6LCA_G	fpocket2	0.0	4.9724	17
344	O14640_PF00595_251_336	6LCA_G	fpocket1	0.762	4.8503	17
345	O14641_PF00595_267_352	3CBZ_A	fpocket1	0.352	4.0248	16
346	O14641_PF00595_267_352	3CBZ_A	fpocket4	0.008	2.2668	13
