	uniprot	numb domains	domains
113	A0A0B4J272	1	{'PF07686': 1}
114	A0A0B4J273	1	{'PF07686': 1}
115	A0A0B4J274	1	{'PF07686': 1}
116	A0A0B4J275	1	{'PF07686': 1}
117	A0A0B4J276	1	{'PF07686': 1}
118	A0A0B4J277	1	{'PF07686': 1}
119	A0A0B4J279	1	{'PF07686': 1}
120	A0A0B4J280	1	{'PF07686': 1}
121	A0A0B4J2A2	1	{'PF00160': 1}
122	A0A0B4J2D9	1	{'PF07686': 1}
123	A0A0B4J2E0	1	{'PF07686': 1}
124	A0A0B4J2F2	1	{'PF00069': 1}
125	A0A0B4J2H0	1	{'PF07686': 1}
126	A0A0C4DH24	1	{'PF07686': 1}
127	A0A0C4DH25	1	{'PF07686': 1}
128	A0A0C4DH26	1	{'PF07686': 1}
129	A0A0C4DH27	1	{'PF07686': 1}
130	A0A0C4DH28	1	{'PF07686': 1}
131	A0A0C4DH29	1	{'PF07686': 1}
132	A0A0C4DH30	1	{'PF07686': 1}
133	A0A0C4DH31	1	{'PF07686': 1}
134	A0A0C4DH32	1	{'PF07686': 1}
135	A0A0C4DH33	1	{'PF07686': 1}
136	A0A0C4DH34	1	{'PF07686': 1}
137	A0A0C4DH35	1	{'PF07686': 1}
138	A0A0C4DH36	1	{'PF07686': 1}
139	A0A0C4DH38	1	{'PF07686': 1}
140	A0A0C4DH39	1	{'PF07686': 1}
141	A0A0C4DH41	1	{'PF07686': 1}
142	A0A0C4DH42	1	{'PF07686': 1}
143	A0A0C4DH43	1	{'PF07686': 1}
144	A0A0C4DH55	1	{'PF07686': 1}
145	A0A0C4DH59	1	{'PF07686': 1}
146	A0A0C4DH67	1	{'PF07686': 1}
147	A0A0C4DH68	1	{'PF07686': 1}
148	A0A0C4DH69	1	{'PF07686': 1}
149	A0A0C4DH72	1	{'PF07686': 1}
150	A0A0C4DH73	1	{'PF07686': 1}
151	A0A0G2JMI3	1	{'PF07686': 1}
152	A0A0G2JS06	1	{'PF07686': 1}
153	A0A0J9YVY3	1	{'PF07686': 1}
154	A0A0J9YX35	1	{'PF07686': 1}
155	A0A0J9YX75	1	{'PF07686': 1}
156	A0A0J9YXX1	1	{'PF07686': 1}
157	A0A0J9YXY3	1	{'PF07686': 1}
158	A0A0K0K1A3	1	{'PF07686': 1}
159	A0A0K0K1A5	1	{'PF07686': 1}
160	A0A0K0K1B3	1	{'PF07686': 1}
161	A0A0K0K1C0	1	{'PF07686': 1}
162	A0A0K0K1C4	1	{'PF07686': 1}
163	A0A0K0K1D8	1	{'PF07686': 1}
164	A0A0K0K1E9	1	{'PF07686': 1}
165	A0A0K0K1G6	1	{'PF07686': 1}
166	A0A0K0K1G8	1	{'PF07686': 1}
167	A0A0K2S4Q6	1	{'PF07686': 1}
168	A0A0U1RQI7	2	{'PF00096': 2}
169	A0A0U1RR11	1	{'PF04828': 1}
170	A0A0U1RRI6	1	{'PF04828': 1}
171	A0A1B0GTS1	1	{'PF00447': 1}
172	A0A1B0GUS4	1	{'PF00179': 1}
173	A0A1B0GVH4	1	{'PF00089': 1}
174	A0A1B0GVZ6	1	{'PF16564': 1}
175	A0A1B0GW35	1	{'PF15277': 1}
176	A0A1B0GWH4	1	{'PF00447': 1}
177	A0A1B0GWK0	1	{'PF13499': 1}
178	A0A1B0GX31	1	{'PF07686': 1}
179	A0A1B0GX49	1	{'PF07686': 1}
180	A0A1B0GX51	1	{'PF07686': 1}
181	A0A1B0GX56	1	{'PF07686': 1}
182	A0A1B0GX68	1	{'PF07686': 1}
183	A0A1B0GX78	1	{'PF07686': 1}
184	A0A1B0GX95	1	{'PF07686': 1}
185	A0A1B0GXF2	1	{'PF07686': 1}
186	A0A1W2PPF3	2	{'PF00046': 2}
187	A0A1W2PPK0	1	{'PF00046': 1}
188	A0A1W2PPM1	1	{'PF00046': 1}
189	A0A1W2PQ73	1	{'PF00178': 1}
190	A0A1W2PQL4	6	{'PF00096': 6}
191	A0A1W2PR19	2	{'PF00043': 1, 'PF13417': 1}
192	A0A1W2PRP0	1	{'PF00250': 1}
193	A0A2R8Y4L2	2	{'PF00076': 2}
194	A0A2R8Y619	1	{'PF00125': 1}
195	A0A2Z4LIS9	1	{'PF00250': 1}
196	A0A3B3IRV3	1	{'PF17832': 1}
197	A0A3B3IT33	1	{'PF15227': 1}
198	A0A539	1	{'PF07686': 1}
199	A0A576	1	{'PF07686': 1}
200	A0A577	1	{'PF07686': 1}
201	A0A578	1	{'PF07686': 1}
202	A0A584	1	{'PF07686': 1}
203	A0A589	1	{'PF07686': 1}
204	A0A597	1	{'PF07686': 1}
205	A0A599	1	{'PF07686': 1}
206	A0A5A2	1	{'PF07686': 1}
207	A0A5A6	1	{'PF07686': 1}
208	A0A5B0	1	{'PF07686': 1}
209	A0A5B6	1	{'PF07686': 1}
210	A0A5B7	1	{'PF07686': 1}
211	A0A5B9	1	{'PF07654': 1}
212	A0AV02	1	{'PF00324': 1}
213	A0AV96	3	{'PF00076': 3}
214	A0AVI2	9	{'PF00168': 7, 'PF08150': 1, 'PF08165': 1}
215	A0AVK6	2	{'PF02319': 2}
216	A0AVT1	6	{'PF00899': 2, 'PF09358': 1, 'PF10585': 1, 'PF16190': 1, 'PF16191': 1}
217	A0FGR8	4	{'PF00168': 3, 'PF17047': 1}
218	A0FGR9	4	{'PF00168': 3, 'PF17047': 1}
219	A0JD32	1	{'PF07686': 1}
220	A0JD36	1	{'PF07686': 1}
221	A0JD37	1	{'PF07686': 1}
222	A0M8Q6	1	{'PF07654': 1}
223	A0PG75	1	{'PF03803': 1}
224	A0PJE2	1	{'PF00106': 1}
225	A0PJX0	1	{'PF13499': 1}
226	A0PJX2	1	{'PF07534': 1}
227	A0PJY2	6	{'PF00096': 5, 'PF13912': 1}
228	A1A4S6	4	{'PF00620': 1, 'PF14604': 1, 'PF16746': 1, 'PF00169': 1}
229	A1IGU5	3	{'PF00621': 1, 'PF07653': 1, 'PF00018': 1}
230	A1KZ92	6	{'PF00093': 1, 'PF03098': 1, 'PF07679': 3, 'PF13927': 1}
231	A1L020	3	{'PF00013': 2, 'PF13920': 1}
232	A1L0T0	3	{'PF00205': 1, 'PF02775': 1, 'PF02776': 1}
233	A1L167	1	{'PF00179': 1}
234	A1L390	2	{'PF00621': 1, 'PF00169': 1}
235	A1L3X4	1	{'PF00131': 1}
236	A1L453	1	{'PF00089': 1}
237	A1L4H1	5	{'PF00530': 5}
238	A1L4K1	1	{'PF00041': 1}
239	A1X283	5	{'PF00787': 1, 'PF07653': 1, 'PF00018': 3}
240	A1YPR0	3	{'PF00096': 2, 'PF00651': 1}
241	A1Z1Q3	1	{'PF01661': 1}
242	A2A288	2	{'PF11977': 1, 'PF18039': 1}
243	A2A2Y4	3	{'PF00373': 1, 'PF09379': 1, 'PF09380': 1}
244	A2A3K4	1	{'PF00782': 1}
245	A2A3N6	1	{'PF13519': 1}
246	A2CJ06	3	{'PF00569': 1, 'PF09068': 1, 'PF09069': 1}
247	A2NJV5	1	{'PF07686': 1}
248	A2PYH4	2	{'PF00270': 1, 'PF00271': 1}
249	A2RRD8	11	{'PF00096': 11}
250	A2RTX5	4	{'PF00587': 1, 'PF02824': 1, 'PF03129': 1, 'PF07973': 1}
251	A2RU54	1	{'PF00046': 1}
252	A2RUC4	1	{'PF13621': 1}
253	A2RUH7	3	{'PF00041': 1, 'PF07679': 2}
254	A2VDJ0	1	{'PF12371': 1}
255	A2VEC9	41	{'PF00090': 22, 'PF00094': 3, 'PF00754': 1, 'PF01826': 12, 'PF08742': 3}
256	A3KMH1	3	{'PF07728': 3}
257	A3KN83	2	{'PF13871': 1, 'PF13872': 1}
258	A4D0S4	14	{'PF00053': 13, 'PF00055': 1}
259	A4D126	1	{'PF18706': 1}
260	A4D1E9	1	{'PF01018': 1}
261	A4D1S0	1	{'PF00059': 1}
262	A4D1S5	1	{'PF00071': 1}
263	A4D1T9	1	{'PF00089': 1}
264	A4D1Z8	1	{'PF00337': 1}
265	A4D256	2	{'PF00782': 1, 'PF14671': 1}
266	A4D2B0	1	{'PF00753': 1}
267	A4D2B8	1	{'PF13589': 1}
268	A4D2P6	2	{'PF00595': 2}
269	A4FU01	2	{'PF06602': 2}
270	A4FU49	1	{'PF07653': 1}
271	A4GXA9	1	{'PF02732': 1}
272	A5D8T8	2	{'PF00059': 1, 'PF00188': 1}
273	A5D8V6	1	{'PF07200': 1}
274	A5LHX3	1	{'PF00227': 1}
275	A5PKW4	2	{'PF01369': 1, 'PF00169': 1}
276	A5PLK6	1	{'PF00615': 1}
277	A5PLL7	1	{'PF10520': 1}
278	A5YKK6	4	{'PF12842': 1, 'PF16415': 1, 'PF16417': 1, 'PF16418': 1}
279	A5YM72	2	{'PF15632': 1, 'PF18130': 1}
280	A6BM72	12	{'PF00053': 8, 'PF12661': 4}
281	A6H8M9	1	{'PF00028': 1}
282	A6H8Y1	1	{'PF15963': 1}
283	A6NC42	1	{'PF16005': 1}
284	A6NC86	2	{'PF00021': 1, 'PF02988': 1}
285	A6NC98	1	{'PF19047': 1}
286	A6NCE7	1	{'PF02991': 1}
287	A6NCF5	1	{'PF07707': 1}
288	A6NCI4	3	{'PF13768': 3}
289	A6NCK2	1	{'PF15227': 1}
290	A6NCM1	1	{'PF00004': 1}
291	A6NCQ9	1	{'PF13639': 1}
292	A6NCS4	1	{'PF00046': 1}
293	A6ND01	1	{'PF03024': 1}
294	A6ND91	1	{'PF03447': 1}
295	A6NDA9	1	{'PF13927': 1}
296	A6NDE4	1	{'PF00076': 1}
297	A6NDG6	2	{'PF13242': 1, 'PF13344': 1}
298	A6NDI0	2	{'PF00643': 1, 'PF15227': 1}
299	A6NDN8	1	{'PF00240': 1}
300	A6NDP7	2	{'PF01284': 2}
301	A6NDX5	16	{'PF00096': 13, 'PF13912': 3}
302	A6NDY0	1	{'PF00076': 1}
303	A6NDY2	1	{'PF15288': 1}
304	A6NDZ8	1	{'PF16564': 1}
305	A6NE02	2	{'PF00651': 1, 'PF07707': 1}
306	A6NE82	1	{'PF16564': 1}
307	A6NEC2	2	{'PF01433': 1, 'PF17900': 1}
308	A6NEE1	1	{'PF00169': 1}
309	A6NEK1	2	{'PF00339': 1, 'PF02752': 1}
310	A6NEQ0	1	{'PF00076': 1}
311	A6NF34	2	{'PF00092': 1, 'PF05587': 1}
312	A6NFD8	2	{'PF00010': 1, 'PF07527': 1}
313	A6NFH5	1	{'PF00061': 1}
314	A6NFI3	13	{'PF00096': 13}
315	A6NFN3	1	{'PF00076': 1}
316	A6NFN9	1	{'PF00240': 1}
317	A6NFQ2	2	{'PF13402': 1, 'PF17291': 1}
318	A6NFQ7	1	{'PF00046': 1}
319	A6NFU0	1	{'PF07686': 1}
320	A6NFU8	1	{'PF01470': 1}
321	A6NGC4	1	{'PF03798': 1}
322	A6NGD5	5	{'PF00096': 3, 'PF02023': 1, 'PF12874': 1}
323	A6NGE7	1	{'PF09349': 1}
324	A6NGJ6	1	{'PF00097': 1}
325	A6NGN9	3	{'PF00047': 1, 'PF13927': 2}
326	A6NGQ2	1	{'PF16005': 1}
327	A6NGU5	1	{'PF01019': 1}
328	A6NH11	1	{'PF08718': 1}
329	A6NH57	1	{'PF00025': 1}
330	A6NHC0	1	{'PF01067': 1}
331	A6NHG4	1	{'PF01187': 1}
332	A6NHJ4	10	{'PF00096': 10}
333	A6NHL2	2	{'PF00091': 1, 'PF03953': 1}
334	A6NHM9	3	{'PF01082': 1, 'PF03351': 1, 'PF03712': 1}
335	A6NHN0	1	{'PF00386': 1}
336	A6NHQ2	1	{'PF01269': 1}
337	A6NHR9	2	{'PF06470': 1, 'PF13589': 1}
338	A6NHS7	1	{'PF07502': 1}
339	A6NHT5	1	{'PF00046': 1}
340	A6NHX0	3	{'PF13840': 2, 'PF18700': 1}
341	A6NI03	1	{'PF00097': 1}
342	A6NI15	1	{'PF00010': 1}
343	A6NI28	4	{'PF00620': 1, 'PF14604': 1, 'PF16746': 1, 'PF00169': 1}
344	A6NI72	3	{'PF00787': 1, 'PF00018': 2}
345	A6NI73	1	{'PF13895': 1}
346	A6NIE9	1	{'PF00089': 1}
347	A6NIJ5	1	{'PF15288': 1}
348	A6NIN4	1	{'PF14634': 1}
349	A6NIR3	1	{'PF01412': 1}
350	A6NIX2	3	{'PF00412': 3}
351	A6NIZ1	1	{'PF00071': 1}
352	A6NJ08	1	{'PF16564': 1}
353	A6NJ46	1	{'PF00046': 1}
354	A6NJG6	1	{'PF00046': 1}
355	A6NJL1	6	{'PF00096': 4, 'PF02023': 1, 'PF12874': 1}
356	A6NJQ4	1	{'PF15288': 1}
357	A6NJT0	1	{'PF00046': 1}
358	A6NJW9	1	{'PF07686': 1}
359	A6NJZ7	2	{'PF07653': 1, 'PF14604': 1}
360	A6NK02	2	{'PF00643': 1, 'PF15227': 1}
361	A6NK06	2	{'PF03972': 1, 'PF19305': 1}
362	A6NK44	1	{'PF00903': 1}
363	A6NK53	6	{'PF00096': 6}
364	A6NK59	1	{'PF07525': 1}
365	A6NK75	13	{'PF00096': 13}
366	A6NKC0	1	{'PF15288': 1}
367	A6NKC9	1	{'PF00017': 1}
368	A6NKF2	1	{'PF01388': 1}
369	A6NKG5	1	{'PF17919': 1}
370	A6NKQ9	1	{'PF00007': 1}
371	A6NKT7	3	{'PF00638': 2, 'PF16704': 1}
372	A6NLC8	1	{'PF04719': 1}
373	A6NLU0	2	{'PF11002': 1, 'PF15227': 1}
374	A6NLU5	1	{'PF07686': 1}
375	A6NLW8	2	{'PF00046': 2}
376	A6NM28	8	{'PF00096': 8}
377	A6NMB1	3	{'PF07686': 1, 'PF13895': 1, 'PF13927': 1}
378	A6NMB9	1	{'PF00004': 1}
379	A6NMK7	2	{'PF14608': 2}
380	A6NMT0	1	{'PF00046': 1}
381	A6NMX2	1	{'PF01652': 1}
382	A6NMY6	4	{'PF00191': 4}
383	A6NMZ7	8	{'PF00092': 8}
384	A6NN14	30	{'PF00096': 29, 'PF13912': 1}
385	A6NN92	2	{'PF00029': 2}
386	A6NNA2	1	{'PF08312': 1}
387	A6NNA5	1	{'PF00046': 1}
388	A6NNE9	1	{'PF12906': 1}
389	A6NNF4	16	{'PF00096': 16}
390	A6NNH2	1	{'PF15288': 1}
391	A6NNJ1	1	{'PF15288': 1}
392	A6NNM3	2	{'PF07653': 1, 'PF14604': 1}
393	A6NNS2	1	{'PF00106': 1}
394	A6NNW6	1	{'PF00113': 1}
395	A6NNX1	1	{'PF02197': 1}
396	A6NNZ2	2	{'PF00091': 1, 'PF03953': 1}
397	A6NP11	8	{'PF00096': 8}
398	A6NP61	1	{'PF13695': 1}
399	A6PVI3	1	{'PF00076': 1}
400	A6QL63	1	{'PF00651': 1}
401	A6XGL0	1	{'PF03853': 1}
402	A7E2Y1	2	{'PF00063': 1, 'PF02736': 1}
403	A7KAX9	2	{'PF00620': 1, 'PF14604': 1}
404	A8K0Z3	1	{'PF11945': 1}
405	A8K2U0	5	{'PF01835': 1, 'PF07677': 1, 'PF17789': 1, 'PF17791': 1, 'PF07703': 1}
406	A8K4G0	1	{'PF07686': 1}
407	A8K7I4	1	{'PF13519': 1}
408	A8K8V0	6	{'PF00096': 6}
409	A8K979	1	{'PF06839': 1}
410	A8MPP1	1	{'PF13307': 1}
411	A8MQ14	28	{'PF00096': 28}
412	A8MQ27	3	{'PF07177': 2, 'PF13920': 1}
413	A8MT19	1	{'PF03097': 1}
414	A8MT65	6	{'PF00096': 3, 'PF13465': 2, 'PF13912': 1}
415	A8MT69	1	{'PF09415': 1}
416	A8MTI9	1	{'PF00089': 1}
417	A8MTJ3	1	{'PF00503': 1}
418	A8MTJ6	1	{'PF00250': 1}
419	A8MTL9	1	{'PF00079': 1}
420	A8MTQ0	1	{'PF00046': 1}
421	A8MTY0	14	{'PF00096': 14}
422	A8MU46	1	{'PF00307': 1}
423	A8MUH7	3	{'PF00595': 2, 'PF17820': 1}
424	A8MUM7	1	{'PF00337': 1}
425	A8MUP2	1	{'PF13649': 1}
426	A8MUU1	1	{'PF00061': 1}
427	A8MUV8	7	{'PF00096': 5, 'PF13894': 2}
428	A8MUZ8	2	{'PF00096': 2}
429	A8MV23	1	{'PF00079': 1}
430	A8MV57	1	{'PF00354': 1}
431	A8MVS5	1	{'PF17737': 1}
432	A8MVU1	3	{'PF00787': 1, 'PF00018': 2}
433	A8MVW5	1	{'PF13927': 1}
434	A8MVX0	1	{'PF00621': 1}
435	A8MVZ5	1	{'PF07686': 1}
436	A8MW92	2	{'PF02820': 1, 'PF18104': 1}
437	A8MW95	1	{'PF04111': 1}
438	A8MWA4	2	{'PF00096': 2}
439	A8MWA6	1	{'PF15288': 1}
440	A8MWD9	1	{'PF01423': 1}
441	A8MWK0	2	{'PF00173': 1, 'PF00487': 1}
442	A8MWL6	1	{'PF01284': 1}
443	A8MWX3	1	{'PF11945': 1}
444	A8MX19	1	{'PF15288': 1}
445	A8MX76	1	{'PF01067': 1}
446	A8MXD5	1	{'PF00462': 1}
447	A8MXJ8	1	{'PF15288': 1}
448	A8MXU0	1	{'PF13841': 1}
449	A8MXY4	19	{'PF00096': 19}
450	A8MXZ1	1	{'PF15288': 1}
451	A8MY62	1	{'PF00144': 1}
452	A8MYZ0	1	{'PF13898': 1}
453	A8MYZ6	2	{'PF00250': 1, 'PF16676': 1}
454	A8MZ59	1	{'PF00046': 1}
455	A8TX70	9	{'PF00092': 9}
456	A9YTQ3	2	{'PF00010': 1, 'PF00989': 1}
457	A9Z1Z3	7	{'PF00168': 5, 'PF08150': 1, 'PF08151': 1}
458	B0I1T2	2	{'PF00063': 1, 'PF06017': 1}
459	B1AKI9	2	{'PF00090': 1, 'PF03782': 1}
460	B1APH4	3	{'PF00096': 3}
461	B2RD01	2	{'PF03221': 1, 'PF04218': 1}
462	B2RNN3	1	{'PF00386': 1}
463	B2RPK0	2	{'PF00505': 1, 'PF09011': 1}
464	B2RTY4	4	{'PF00063': 2, 'PF00620': 1, 'PF00788': 1}
465	B2RXF5	4	{'PF00096': 2, 'PF00651': 1, 'PF13894': 1}
466	B2RXH2	1	{'PF02373': 1}
467	B2RXH4	1	{'PF00651': 1}
468	B2RXH8	1	{'PF00076': 1}
469	B4DH59	10	{'PF06758': 10}
470	B4DU55	12	{'PF00096': 11, 'PF13912': 1}
471	B4DX44	6	{'PF00096': 5, 'PF13912': 1}
472	B4DXR9	8	{'PF00096': 7, 'PF13912': 1}
473	B5MCN3	1	{'PF00650': 1}
474	B5MCY1	7	{'PF00567': 7}
475	B5MD39	1	{'PF01019': 1}
476	B5ME19	1	{'PF01399': 1}
477	B6A8C7	1	{'PF13895': 1}
478	B7U540	2	{'PF01007': 1, 'PF17655': 1}
479	B7Z1M9	1	{'PF00168': 1}
480	B7Z6K7	22	{'PF00096': 22}
481	B7Z8K6	1	{'PF07654': 1}
482	B7ZBB8	1	{'PF03370': 1}
483	B7ZC32	1	{'PF00225': 1}
484	B7ZW38	1	{'PF00076': 1}
485	B9A064	1	{'PF07654': 1}
486	C4AMC7	1	{'PF11945': 1}
487	C9J1S8	1	{'PF15227': 1}
488	C9J798	3	{'PF00168': 2, 'PF00169': 1}
489	C9JJ37	2	{'PF00651': 1, 'PF07707': 1}
490	C9JLR9	4	{'PF18658': 4}
491	C9JN71	12	{'PF00096': 12}
492	C9JR72	1	{'PF00651': 1}
493	C9JRZ8	1	{'PF00248': 1}
494	C9JSJ3	2	{'PF00010': 1, 'PF00505': 1}
495	D3W0D1	1	{'PF00059': 1}
496	D6RGX4	1	{'PF15288': 1}
497	E2RYF6	1	{'PF14654': 1}
498	E5RG02	1	{'PF00089': 1}
499	E5RQL4	1	{'PF07837': 1}
500	E7ERA6	1	{'PF13639': 1}
501	E7ETH6	5	{'PF00096': 5}
502	E9PAV3	1	{'PF19026': 1}
503	E9PGG2	2	{'PF00046': 1, 'PF16878': 1}
504	F5H284	1	{'PF00160': 1}
505	F8VTS6	2	{'PF11002': 1, 'PF15227': 1}
506	F8WCM5	1	{'PF00049': 1}
507	G3V0H7	1	{'PF07648': 1}
508	G9CGD6	4	{'PF00536': 1, 'PF00595': 1, 'PF10534': 1, 'PF00169': 1}
509	H0UI37	1	{'PF00581': 1}
510	H3BQJ8	1	{'PF00021': 1}
511	I1YAP6	1	{'PF00097': 1}
512	K9M1U5	1	{'PF15177': 1}
513	M0QZC1	1	{'PF13639': 1}
514	O00110	2	{'PF00096': 2}
515	O00116	2	{'PF01565': 1, 'PF02913': 1}
516	O00124	1	{'PF00789': 1}
517	O00139	1	{'PF00225': 1}
518	O00141	1	{'PF00069': 1}
519	O00142	1	{'PF01712': 1}
520	O00144	1	{'PF01392': 1}
521	O00148	2	{'PF00270': 1, 'PF00271': 1}
522	O00151	2	{'PF00412': 1, 'PF00595': 1}
523	O00154	2	{'PF03061': 2}
524	O00159	2	{'PF00063': 1, 'PF06017': 1}
525	O00160	3	{'PF00063': 1, 'PF06017': 1, 'PF00018': 1}
526	O00167	1	{'PF00702': 1}
527	O00170	1	{'PF00254': 1}
528	O00175	1	{'PF00048': 1}
529	O00178	1	{'PF00009': 1}
530	O00182	2	{'PF00337': 2}
531	O00187	6	{'PF00084': 2, 'PF00089': 1, 'PF00431': 2, 'PF07645': 1}
532	O00189	1	{'PF01217': 1}
533	O00194	1	{'PF00071': 1}
534	O00204	1	{'PF00685': 1}
535	O00212	1	{'PF00071': 1}
536	O00213	3	{'PF00397': 1, 'PF00640': 2}
537	O00214	2	{'PF00337': 2}
538	O00217	1	{'PF12838': 1}
539	O00219	1	{'PF13641': 1}
540	O00220	3	{'PF00020': 2, 'PF00531': 1}
541	O00222	1	{'PF00003': 1}
542	O00231	3	{'PF01399': 1, 'PF18055': 1, 'PF18503': 1}
543	O00232	2	{'PF01399': 1, 'PF18098': 1}
544	O00233	2	{'PF18265': 1, 'PF17820': 1}
545	O00237	1	{'PF13639': 1}
546	O00238	2	{'PF01064': 1, 'PF07714': 1}
547	O00241	3	{'PF07654': 2, 'PF07686': 1}
548	O00244	1	{'PF00403': 1}
549	O00257	1	{'PF00385': 1}
550	O00264	1	{'PF00173': 1}
551	O00267	1	{'PF11942': 1}
552	O00273	2	{'PF02017': 1, 'PF09033': 1}
