	domain	fpocket	druggability score	prank rescore	buriedness	min pLDDT
121	A0A0A0MRZ9_PF07686_24_124	fpocket2	0.017	9.6811	15	94.78
122	A0A0A0MS00_PF07686_23_114	fpocket3	0.034	9.6673	16	72.91
123	A0A0A0MS01_PF07686_23_119	fpocket2	0.217	4.9851	18	92.56
124	A0A0A0MS01_PF07686_23_119	fpocket6	0.05	9.3666	9	84.29
125	A0A0A0MS02_PF07686_25_117	fpocket1	0.646	16.4821	21	72.18
126	A0A0A0MS03_PF07686_25_113	fpocket1	0.706	8.4064	17	95.96
127	A0A0A0MS03_PF07686_25_113	fpocket3	0.004	3.4051	10	93.35
128	A0A0A0MS04_PF07686_25_114	fpocket4	0.433	7.708	16	95.08
129	A0A0A0MS04_PF07686_25_114	fpocket7	0.003	2.5527	18	94.73
130	A0A0A0MS05_PF07686_25_113	fpocket1	0.196	6.3861	17	95.44
131	A0A0A0MS05_PF07686_25_113	fpocket3	0.012	4.0973	11	97.08
132	A0A0A0MS06_PF07686_25_115	fpocket1	0.387	6.7906	16	94.18
133	A0A0A0MS06_PF07686_25_115	fpocket6	0.001	2.3907	16	91.97
134	A0A0A0MS14_PF07686_25_117	fpocket1	0.262	6.1215	16	96.31
135	A0A0A0MS14_PF07686_25_117	fpocket2	0.342	7.2371	13	90.27
136	A0A0A0MS15_PF07686_26_119	fpocket1	0.201	13.4175	20	95.19
137	A0A0A0MS15_PF07686_26_119	fpocket4	0.454	4.8658	10	97.58
138	A0A0A0MT36_PF07686_25_113	fpocket1	0.583	9.4108	18	94.04
139	A0A0A0MT36_PF07686_25_113	fpocket5	0.003	3.03	18	95.63
140	A0A0A6YYC5_PF07686_26_116	fpocket2	0.307	10.185	15	89.67
141	A0A0A6YYC5_PF07686_26_116	fpocket3	0.019	3.595	10	96.97
142	A0A0A6YYD4_PF07686_35_123	fpocket1	0.658	8.5736	18	96.12
143	A0A0A6YYD4_PF07686_35_123	fpocket5	0.044	4.8811	14	95.97
144	A0A0A6YYG2_PF07686_25_114	fpocket1	0.629	10.1608	16	95.71
145	A0A0A6YYG2_PF07686_25_114	fpocket4	0.001	2.8455	17	95.01
146	A0A0A6YYG3_PF07686_25_113	fpocket2	0.665	9.8125	17	93.87
147	A0A0A6YYG3_PF07686_25_113	fpocket3	0.0	1.9554	17	94.96
148	A0A0A6YYJ7_PF07686_24_113	fpocket1	0.509	12.0048	16	92.21
149	A0A0A6YYJ7_PF07686_24_113	fpocket2	0.008	5.2205	8	93.36
150	A0A0A6YYK1_PF07686_25_113	fpocket1	0.184	11.1753	18	80.5
151	A0A0A6YYK1_PF07686_25_113	fpocket4	0.002	4.0068	13	86.9
152	A0A0A6YYK4_PF07686_27_115	fpocket4	0.0	1.6069	11	70.73
153	A0A0A6YYK6_PF07686_24_109	fpocket1	0.003	2.8254	14	95.44
154	A0A0A6YYK6_PF07686_24_109	fpocket3	0.854	7.1306	15	95.12
155	A0A0A6YYK7_PF07686_26_116	fpocket1	0.13	5.7553	16	96.06
156	A0A0A6YYK7_PF07686_26_116	fpocket5	0.002	3.6672	9	94.19
157	A0A0B4J1U3_PF07686_24_116	fpocket1	0.152	5.1809	16	95.1
158	A0A0B4J1U3_PF07686_24_116	fpocket2	0.001	8.338	13	94.66
159	A0A0B4J1U4_PF07686_25_118	fpocket1	0.165	11.0885	18	81.4
160	A0A0B4J1U4_PF07686_25_118	fpocket2	0.167	8.183	17	73.33
161	A0A0B4J1U6_PF07686_25_114	fpocket1	0.268	6.9268	16	95.45
162	A0A0B4J1U6_PF07686_25_114	fpocket5	0.287	2.4197	10	85.49
163	A0A0B4J1U7_PF07686_25_121	fpocket1	0.221	3.7442	20	93.64
164	A0A0B4J1U7_PF07686_25_121	fpocket5	0.003	3.5194	15	95.52
165	A0A0B4J1V0_PF07686_26_119	fpocket1	0.025	9.9625	18	96.05
166	A0A0B4J1V0_PF07686_26_119	fpocket7	0.008	5.7835	14	94.51
167	A0A0B4J1V1_PF07686_26_117	fpocket1	0.522	12.4129	17	92.88
168	A0A0B4J1V1_PF07686_26_117	fpocket4	0.0	8.6659	13	97.48
169	A0A0B4J1V2_PF07686_24_119	fpocket1	0.531	4.1221	16	95.76
170	A0A0B4J1V2_PF07686_24_119	fpocket4	0.001	3.179	15	96.81
171	A0A0B4J1V6_PF07686_26_119	fpocket1	0.969	16.0831	18	92.67
172	A0A0B4J1V6_PF07686_26_119	fpocket2	0.022	4.5379	14	92.68
173	A0A0B4J1V7_PF07686_24_117	fpocket1	0.927	13.7963	14	91.85
174	A0A0B4J1V7_PF07686_24_117	fpocket2	0.001	3.2831	15	92.03
175	A0A0B4J1X5_PF07686_26_117	fpocket1	0.557	14.6446	18	95.14
176	A0A0B4J1X5_PF07686_26_117	fpocket3	0.001	8.3417	13	97.96
177	A0A0B4J1X8_PF07686_24_118	fpocket1	0.591	7.3835	20	91.02
178	A0A0B4J1X8_PF07686_24_118	fpocket4	0.004	3.466	19	91.02
179	A0A0B4J1Y8_PF07686_24_122	fpocket1	0.007	8.734	15	96.64
180	A0A0B4J1Y9_PF07686_26_119	fpocket1	0.744	11.6178	18	95.66
181	A0A0B4J1Y9_PF07686_26_119	fpocket4	0.121	3.6329	10	97.73
182	A0A0B4J1Z2_PF07686_28_117	fpocket1	0.603	15.1293	20	96.37
183	A0A0B4J1Z2_PF07686_28_117	fpocket2	0.08	7.8331	12	96.55
184	A0A0B4J234_PF07686_30_112	fpocket1	0.392	6.7367	15	96.78
185	A0A0B4J234_PF07686_30_112	fpocket2	0.002	4.6011	14	97.63
186	A0A0B4J235_PF07686_27_113	fpocket5	0.082	10.1057	17	88.42
187	A0A0B4J235_PF07686_27_113	fpocket6	0.007	2.4414	13	77.77
188	A0A0B4J237_PF07686_25_113	fpocket1	0.156	12.5396	17	88.05
189	A0A0B4J237_PF07686_25_113	fpocket5	0.002	3.9941	12	87.7
190	A0A0B4J238_PF07686_22_106	fpocket2	0.229	9.2058	16	90.99
191	A0A0B4J238_PF07686_22_106	fpocket3	0.018	4.7371	18	85.06
192	A0A0B4J240_PF07686_27_114	fpocket1	0.304	8.7241	18	95.73
193	A0A0B4J240_PF07686_27_114	fpocket2	0.0	3.2759	16	93.85
194	A0A0B4J241_PF07686_25_112	fpocket1	0.122	6.8636	18	97.35
195	A0A0B4J241_PF07686_25_112	fpocket2	0.484	5.2908	18	96.95
196	A0A0B4J244_PF07686_25_114	fpocket1	0.18	4.7757	16	96.4
197	A0A0B4J244_PF07686_25_114	fpocket3	0.009	3.892	15	95.15
198	A0A0B4J245_PF07686_27_112	fpocket1	0.006	4.2908	16	86.43
199	A0A0B4J245_PF07686_27_112	fpocket2	0.672	6.0436	15	82.67
200	A0A0B4J248_PF07686_22_108	fpocket1	0.131	8.9394	18	93.04
201	A0A0B4J248_PF07686_22_108	fpocket2	0.0	4.2367	13	87.25
202	A0A0B4J249_PF07686_25_112	fpocket1	0.05	10.8842	16	80.47
203	A0A0B4J249_PF07686_25_112	fpocket3	0.043	2.6995	11	93.9
204	A0A0B4J262_PF07686_25_113	fpocket1	0.042	5.6749	16	83.91
205	A0A0B4J262_PF07686_25_113	fpocket3	0.0	3.6266	15	93.38
206	A0A0B4J263_PF07686_24_110	fpocket1	0.269	9.124	18	91.62
207	A0A0B4J263_PF07686_24_110	fpocket2	0.021	3.2905	16	91.62
208	A0A0B4J264_PF07686_26_116	fpocket1	0.372	7.6545	17	85.22
209	A0A0B4J264_PF07686_26_116	fpocket4	0.002	1.6878	10	91.62
210	A0A0B4J265_PF07686_22_109	fpocket1	0.192	7.9503	14	90.85
211	A0A0B4J265_PF07686_22_109	fpocket4	0.001	2.805	15	94.79
212	A0A0B4J266_PF07686_28_112	fpocket1	0.12	6.0358	16	95.63
213	A0A0B4J266_PF07686_28_112	fpocket2	0.0	4.4117	12	93.93
214	A0A0B4J268_PF07686_22_109	fpocket1	0.073	9.0253	17	93.88
215	A0A0B4J268_PF07686_22_109	fpocket4	0.125	5.2227	14	94.97
216	A0A0B4J271_PF07686_28_114	fpocket1	0.182	6.9082	16	90.44
217	A0A0B4J272_PF07686_28_114	fpocket1	0.029	8.6876	16	95.48
218	A0A0B4J272_PF07686_28_114	fpocket2	0.0	2.2134	14	94.97
219	A0A0B4J273_PF07686_26_112	fpocket1	0.749	6.233	18	83.83
220	A0A0B4J273_PF07686_26_112	fpocket5	0.025	4.8484	14	89.0
221	A0A0B4J274_PF07686_27_112	fpocket1	0.595	3.9364	17	94.04
222	A0A0B4J274_PF07686_27_112	fpocket2	0.008	4.7504	15	96.86
223	A0A0B4J275_PF07686_26_112	fpocket3	0.016	13.5781	17	83.67
224	A0A0B4J276_PF07686_24_109	fpocket1	0.324	14.4194	19	92.48
225	A0A0B4J276_PF07686_24_109	fpocket2	0.0	3.1514	15	96.29
226	A0A0B4J277_PF07686_26_110	fpocket1	0.093	6.5678	17	94.97
227	A0A0B4J277_PF07686_26_110	fpocket2	0.002	2.7893	10	92.19
228	A0A0B4J279_PF07686_25_112	fpocket1	0.352	7.9066	16	95.32
229	A0A0B4J279_PF07686_25_112	fpocket2	0.001	2.1366	13	90.41
230	A0A0B4J280_PF07686_23_105	fpocket1	0.425	8.6038	17	95.96
231	A0A0B4J280_PF07686_23_105	fpocket4	0.004	2.7207	9	95.28
232	A0A0B4J2A2_PF00160_7_163	fpocket2	0.019	3.3654	13	90.12
233	A0A0B4J2A2_PF00160_7_163	fpocket7	0.014	6.9927	18	94.49
234	A0A0B4J2D9_PF07686_28_117	fpocket1	0.429	12.2782	16	96.24
235	A0A0B4J2D9_PF07686_28_117	fpocket3	0.051	3.2362	13	97.66
236	A0A0B4J2E0_PF07686_25_114	fpocket1	0.281	8.3729	15	95.05
237	A0A0B4J2E0_PF07686_25_114	fpocket5	0.046	4.9566	10	95.98
238	A0A0B4J2F2_PF00069_27_278	fpocket11	0.004	7.1696	14	75.64
239	A0A0B4J2F2_PF00069_27_278	fpocket4	0.486	16.5175	20	87.8
240	A0A0B4J2H0_PF07686_25_117	fpocket1	0.025	8.3186	16	94.14
241	A0A0B4J2H0_PF07686_25_117	fpocket2	0.655	4.7263	15	96.8
242	A0A0C4DH24_PF07686_25_113	fpocket2	0.317	9.2441	17	94.45
243	A0A0C4DH24_PF07686_25_113	fpocket5	0.113	3.9183	12	97.59
244	A0A0C4DH25_PF07686_26_116	fpocket1	0.66	12.7363	19	96.06
245	A0A0C4DH25_PF07686_26_116	fpocket2	0.015	4.0501	12	97.1
246	A0A0C4DH26_PF07686_26_115	fpocket1	0.569	12.096	17	95.46
247	A0A0C4DH26_PF07686_26_115	fpocket4	0.002	2.5105	14	96.56
248	A0A0C4DH27_PF07686_25_118	fpocket1	0.217	14.1475	20	80.33
249	A0A0C4DH28_PF07686_25_118	fpocket3	0.429	11.7345	19	82.97
250	A0A0C4DH28_PF07686_25_118	fpocket5	0.048	6.4697	12	74.71
251	A0A0C4DH29_PF07686_25_117	fpocket1	0.792	5.2626	15	96.71
252	A0A0C4DH29_PF07686_25_117	fpocket4	0.047	4.2059	10	97.59
253	A0A0C4DH30_PF07686_26_117	fpocket1	0.007	8.503	14	94.12
254	A0A0C4DH30_PF07686_26_117	fpocket2	0.006	8.9139	16	87.97
255	A0A0C4DH31_PF07686_25_117	fpocket1	0.748	4.6686	15	95.93
256	A0A0C4DH31_PF07686_25_117	fpocket3	0.076	2.9398	10	97.18
257	A0A0C4DH32_PF07686_29_117	fpocket1	0.306	10.0608	19	93.23
258	A0A0C4DH32_PF07686_29_117	fpocket3	0.539	1.9536	11	94.56
259	A0A0C4DH33_PF07686_25_117	fpocket1	0.173	4.3339	15	96.16
260	A0A0C4DH33_PF07686_25_117	fpocket2	0.173	5.8658	15	88.34
261	A0A0C4DH34_PF07686_24_117	fpocket1	0.299	5.0004	18	94.69
262	A0A0C4DH34_PF07686_24_117	fpocket5	0.006	3.8301	15	94.69
263	A0A0C4DH35_PF07686_26_117	fpocket2	0.519	7.6863	22	94.11
264	A0A0C4DH35_PF07686_26_117	fpocket5	0.001	8.109	13	97.6
265	A0A0C4DH36_PF07686_28_116	fpocket1	0.567	11.943	18	88.96
266	A0A0C4DH36_PF07686_28_116	fpocket3	0.097	3.3856	10	96.85
267	A0A0C4DH38_PF07686_25_117	fpocket1	0.752	7.5139	14	95.99
268	A0A0C4DH38_PF07686_25_117	fpocket2	0.0	1.8166	15	94.13
269	A0A0C4DH39_PF07686_25_117	fpocket1	0.54	5.2906	16	96.58
270	A0A0C4DH39_PF07686_25_117	fpocket3	0.002	1.517	11	93.91
271	A0A0C4DH41_PF07686_24_118	fpocket1	0.619	3.8836	18	94.6
272	A0A0C4DH41_PF07686_24_118	fpocket3	0.001	3.3392	13	88.14
273	A0A0C4DH42_PF07686_30_116	fpocket1	0.175	4.426	15	93.76
274	A0A0C4DH42_PF07686_30_116	fpocket2	0.014	5.9448	10	90.25
275	A0A0C4DH43_PF07686_24_119	fpocket1	0.373	4.1744	17	95.59
276	A0A0C4DH43_PF07686_24_119	fpocket3	0.001	4.0387	15	96.26
277	A0A0C4DH55_PF07686_29_118	fpocket1	0.402	11.3358	18	96.35
278	A0A0C4DH59_PF07686_25_113	fpocket1	0.715	7.3464	16	95.46
279	A0A0C4DH59_PF07686_25_113	fpocket4	0.0	4.0962	13	92.94
280	A0A0C4DH67_PF07686_26_115	fpocket1	0.272	12.2163	19	90.97
281	A0A0C4DH67_PF07686_26_115	fpocket3	0.003	2.073	10	96.76
282	A0A0C4DH68_PF07686_26_119	fpocket1	0.784	7.7481	18	86.82
283	A0A0C4DH68_PF07686_26_119	fpocket4	0.01	4.3053	9	97.43
284	A0A0C4DH69_PF07686_28_117	fpocket1	0.379	12.7684	19	95.64
285	A0A0C4DH69_PF07686_28_117	fpocket2	0.011	2.1568	14	97.91
286	A0A0C4DH72_PF07686_28_117	fpocket1	0.345	9.3623	18	96.95
287	A0A0C4DH72_PF07686_28_117	fpocket6	0.011	5.3543	18	78.31
288	A0A0C4DH73_PF07686_28_116	fpocket4	0.227	11.851	18	96.02
289	A0A0C4DH73_PF07686_28_116	fpocket6	0.026	5.946	19	94.82
290	A0A0G2JMI3_PF07686_25_117	fpocket1	0.686	5.5216	15	96.68
291	A0A0G2JMI3_PF07686_25_117	fpocket5	0.008	4.5261	13	96.69
292	A0A0G2JS06_PF07686_24_123	fpocket1	0.005	7.8032	15	95.12
293	A0A0G2JS06_PF07686_24_123	fpocket6	0.222	6.1737	10	78.17
294	A0A0J9YVY3_PF07686_24_117	fpocket1	0.66	6.9064	18	95.68
295	A0A0J9YVY3_PF07686_24_117	fpocket5	0.311	4.5444	10	97.87
296	A0A0J9YX35_PF07686_26_117	fpocket2	0.011	7.0208	18	92.55
297	A0A0J9YX35_PF07686_26_117	fpocket4	0.002	7.0816	13	97.42
298	A0A0J9YX75_PF07686_25_114	fpocket1	0.374	9.6621	17	95.48
299	A0A0J9YX75_PF07686_25_114	fpocket4	0.026	2.2543	11	94.76
300	A0A0J9YXX1_PF07686_25_117	fpocket1	0.701	6.0653	14	95.56
301	A0A0J9YXY3_PF07686_25_114	fpocket1	0.308	6.7825	17	96.23
302	A0A0J9YXY3_PF07686_25_114	fpocket4	0.001	2.1168	14	96.95
303	A0A0K0K1A3_PF07686_25_114	fpocket1	0.399	8.2597	16	95.82
304	A0A0K0K1A3_PF07686_25_114	fpocket2	0.001	4.8608	17	91.12
305	A0A0K0K1A5_PF07686_25_114	fpocket1	0.516	9.4468	17	95.67
306	A0A0K0K1A5_PF07686_25_114	fpocket8	0.008	3.3972	10	96.67
307	A0A0K0K1B3_PF07686_23_111	fpocket1	0.587	11.4437	16	94.03
308	A0A0K0K1B3_PF07686_23_111	fpocket2	0.004	4.0321	16	87.01
309	A0A0K0K1C0_PF07686_25_114	fpocket1	0.003	3.8565	20	94.59
310	A0A0K0K1C0_PF07686_25_114	fpocket6	0.001	2.4279	11	82.32
311	A0A0K0K1C4_PF07686_25_113	fpocket2	0.566	11.4211	17	92.32
312	A0A0K0K1C4_PF07686_25_113	fpocket5	0.0	3.3683	19	96.62
313	A0A0K0K1D8_PF07686_25_114	fpocket1	0.0	2.7349	15	95.11
314	A0A0K0K1D8_PF07686_25_114	fpocket2	0.174	8.2985	17	96.22
315	A0A0K0K1E9_PF07686_25_114	fpocket4	0.001	2.313	15	88.93
316	A0A0K0K1E9_PF07686_25_114	fpocket6	0.012	10.4136	17	95.22
317	A0A0K0K1G6_PF07686_25_114	fpocket1	0.541	6.5663	16	96.55
318	A0A0K0K1G6_PF07686_25_114	fpocket4	0.164	3.6711	11	96.45
319	A0A0K0K1G8_PF07686_25_114	fpocket1	0.44	8.2383	17	96.03
320	A0A0K0K1G8_PF07686_25_114	fpocket2	0.012	6.4313	12	90.67
321	A0A0K2S4Q6_PF07686_26_125	fpocket1	0.085	8.8758	18	91.76
322	A0A0K2S4Q6_PF07686_26_125	fpocket3	0.001	9.5481	14	89.82
323	A0A0U1RR11_PF04828_155_238	fpocket7	0.001	9.6384	14	94.01
324	A0A0U1RRI6_PF04828_170_253	fpocket1	0.008	5.89	20	88.16
325	A0A1B0GTS1_PF00447_83_182	fpocket2	0.168	3.689	14	92.27
326	A0A1B0GUS4_PF00179_6_144	fpocket12	0.018	5.0765	15	86.76
327	A0A1B0GUS4_PF00179_6_144	fpocket6	0.013	3.9515	14	91.46
328	A0A1B0GVH4_PF00089_41_121	fpocket8	0.003	7.3699	12	72.91
329	A0A1B0GW35_PF15277_30_120	fpocket4	0.159	8.425	18	94.97
330	A0A1B0GW35_PF15277_30_120	fpocket9	0.001	6.5613	5	95.1
331	A0A1B0GWH4_PF00447_83_182	fpocket3	0.082	3.0922	15	92.42
332	A0A1B0GX31_PF07686_25_114	fpocket1	0.259	8.9604	15	95.23
333	A0A1B0GX31_PF07686_25_114	fpocket6	0.0	3.4747	7	95.23
